,chain,hash,from,to,value,method,chain_tx_time
0,gno,0x3ecfb29a682d2e9f24e047a89d9f4568926062da124bb3d7bbc04a85534fbbbd,0x50577bd02611c3b1bddd82e4c71734dc3af62c46,0x4b1e2c2762667331bc91648052f646d1b0d35984,0.0,"approve(address _spender, uint256 _value)",2023-07-30 00:05:35
1,gno,0x1533a914e8fae49f25e32c7183b333cb47cb9becfcb7f033a1c2b442e7558f47,0x82e2e267abb4877e491d2a7e3b3c199fdf617552,0x4b1e2c2762667331bc91648052f646d1b0d35984,0.0,"approve(address _spender, uint256 _value)",2023-07-30 02:15:35
2,gno,0xb6b4638fb0626aa1d1c12cf23da1839e65ffac19cebc40f5030f2b7df84a4d65,0x8b3c57c944d005dec37ddde0bbc1606b7c62b489,0x4b1e2c2762667331bc91648052f646d1b0d35984,0.0,"approve(address _spender, uint256 _value)",2023-07-30 02:15:40
3,gno,0xfedac459d0e2b70227a0efecb204f6814500df11aa162223bd63b2b94e143820,0x2aa0383ff1540e2639ef489b59102aabd5fbc6b1,0x4b1e2c2762667331bc91648052f646d1b0d35984,0.0,"approve(address _spender, uint256 _value)",2023-07-30 02:15:40
4,gno,0xc208088d5157e00b3ab576ba5e1472632272035e156263b7470e6864f8621652,0xee11fe315013b4a04f150219991afb4f2eeff0e4,0x4b1e2c2762667331bc91648052f646d1b0d35984,0.0,"approve(address _spender, uint256 _value)",2023-07-30 02:15:40
5,gno,0x85b05912b9cb9f8f6970b11ca5dcd422e53c169521f8bb4e66d6b2533234bb91,0x50577bd02611c3b1bddd82e4c71734dc3af62c46,0x4b1e2c2762667331bc91648052f646d1b0d35984,0.0,"approve(address _spender, uint256 _value)",2023-07-30 02:15:40
6,gno,0x0f659b2a4bd80c9745cff96498da1556478fe8fd3a4814aa4ddc22050f091dba,0xb3c8bffac7b98dae3b0f4fcfd2043f5d93295f5c,0x4b1e2c2762667331bc91648052f646d1b0d35984,0.0,"approve(address _spender, uint256 _value)",2023-07-30 02:15:40
7,gno,0x140b5742e2491fcc22a961f1625e1fa1f1ca87fb9610d87f4af0b990b47fd600,0xc06503ee48914505d1d2225830f7962bdfb3523f,0x4b1e2c2762667331bc91648052f646d1b0d35984,0.0,"approve(address _spender, uint256 _value)",2023-07-30 02:15:40
8,gno,0x59b0cc1cc0868905594e92f1a6b08ea4a7b0408d598a030c1d2ce7cb29f3fdfc,0x6ac35578503504215d011a436110c6c3012ed34c,0x4b1e2c2762667331bc91648052f646d1b0d35984,0.0,"approve(address _spender, uint256 _value)",2023-07-30 02:15:40
9,gno,0x4294566b7b0d1a13de9dddd37c4cdadbd6bc12b4a85208544a4a1d80ff938549,0x0cff7d5aa67863c4ac0363ac61da6c242bb5fa42,0x4b1e2c2762667331bc91648052f646d1b0d35984,0.0,"approve(address _spender, uint256 _value)",2023-07-30 02:15:40
