,id,groupid,line_no,first_relate_chain,first_relate_chain_usegas,second_relate_chain,second_relate_chain_usegas,rankid,total,address,tx_count,angle,angle_firsttime,angle_lasttime,merkly,merkly_firsttime,merkly_lasttime,stargate,stargate_firsttime,stargate_lasttime,sum_stargate_swap_usd
0,139995,2.02405E+19,60,op,0.23906629,zksync,0.03580307,1600276,16.97536157,0xed260bd78fcf2f6de2deb830155fd8e7ba39df58,131,6,2023/7/29 21:24,2023/8/7 12:16,115,2023/8/13 6:10,2024/4/28 20:47,10,2023/7/31 21:41,2023/8/15 13:43,1.00E-04
1,139994,2.02405E+19,59,op,0.23906629,zksync,0.03580307,1600160,16.97737521,0x6ac35578503504215d011a436110c6c3012ed34c,131,6,2023/7/29 21:22,2023/8/7 12:14,115,2023/8/13 6:02,2024/4/28 20:47,10,2023/7/31 21:38,2023/8/15 13:40,1.00E-04
2,139993,2.02405E+19,58,op,0.23906629,zksync,0.03580307,1600107,16.97836453,0x83f3ba63b732c8af6841e56aba8fa05b7d8f22be,131,6,2023/7/29 18:30,2023/8/7 12:10,115,2023/8/13 6:01,2024/4/28 20:46,10,2023/7/31 21:36,2023/8/15 13:38,1.00E-04
3,139992,2.02405E+19,57,op,0.23906629,zksync,0.03580307,1599989,16.98032326,0x26f1a0943afd0292cf4db136d12ca24a5174deef,131,6,2023/7/29 21:25,2023/8/7 12:17,115,2023/8/13 6:10,2024/4/28 20:47,10,2023/7/31 21:41,2023/8/15 13:45,1.00E-04
4,139991,2.02405E+19,56,op,0.23906629,zksync,0.03580307,1599964,16.98079964,0x6f41f62d3efad04cc697e46002f03295b9b955d6,131,6,2023/7/29 21:27,2023/8/7 13:02,115,2023/8/13 6:13,2024/4/28 20:47,10,2023/7/31 21:44,2023/8/15 13:48,1.00E-04
5,139990,2.02405E+19,55,op,0.23906629,zksync,0.03580307,1599945,16.98102534,0x6a9739911d66f9ca4d819de7d6cad09a0f864f4b,131,6,2023/7/29 21:23,2023/8/7 12:15,115,2023/8/13 6:09,2024/4/28 20:47,10,2023/7/31 21:39,2023/8/15 13:42,1.00E-04
6,139989,2.02405E+19,54,op,0.23906629,zksync,0.03580307,1599849,16.98241105,0x43333b36656f4195bc9b011185f24779934f070c,131,6,2023/7/29 21:32,2023/8/7 13:08,115,2023/8/13 6:13,2024/4/28 20:47,10,2023/7/31 21:55,2023/8/15 13:54,1.00E-04
7,139988,2.02405E+19,53,op,0.23906629,zksync,0.03580307,1599674,16.98541168,0x51b82d63403379cf965e44e26e78f972e7532c62,130,6,2023/7/30 2:13,2023/8/7 15:15,114,2023/8/13 6:32,2024/4/28 20:49,10,2023/7/31 22:28,2023/8/15 14:29,1.00E-04
8,139987,2.02405E+19,52,op,0.23906629,zksync,0.03580307,1598667,17.00297776,0x9e4b02b0656d8590804b2492466150d42924ab44,131,6,2023/7/29 18:23,2023/8/7 12:02,115,2023/8/13 5:59,2024/4/28 20:46,10,2023/7/31 21:28,2023/8/15 13:27,1.00E-04
9,139986,2.02405E+19,51,op,0.23906629,zksync,0.03580307,1597752,17.01901339,0xa24615584e19eda1adc9efe571e9a19f63dbdd66,131,6,2023/7/30 2:32,2023/8/7 15:38,115,2023/8/13 6:40,2024/4/28 20:52,10,2023/7/31 22:52,2023/8/15 15:18,1.00E-04
10,139985,2.02405E+19,50,op,0.23906629,zksync,0.03580307,1597385,17.02615681,0xf9023e70bdf596f9a1c71fe09918dfea5b41fff2,131,6,2023/7/30 2:30,2023/8/7 15:36,115,2023/8/13 6:39,2024/4/28 20:52,10,2023/7/31 22:49,2023/8/15 15:15,1.00E-04
11,139984,2.02405E+19,49,op,0.23906629,zksync,0.03580307,1597323,17.0273753,0x6ee58d985503f85b43cc7d901a43e375bbda2019,131,6,2023/7/30 2:28,2023/8/7 15:34,115,2023/8/13 6:39,2024/4/28 20:52,10,2023/7/31 22:46,2023/8/15 15:09,1.00E-04
