,id,groupid,line_no,first_relate_chain,first_relate_chain_usegas,second_relate_chain,second_relate_chain_usegas,rankid,total,address,tx_count,stargate,stargate_firsttime,stargate_lasttime,testnetbridge,testnetbridge_firsttime,testnetbridge_lasttime,sum_stargate_swap_usd
0,145515,2.02405E+19,28,op,4.76219158,linea,1.73696893,1991896,10.90931268,0x07e090109a89ab4f1dcc206f81dafba6f7d89a48,7,5,2023/12/19 2:56,2023/12/26 9:48,2,2023/12/26 2:15,2023/12/26 9:59,1757.434218
1,145514,2.02405E+19,27,op,4.76219158,linea,1.73696893,1990918,10.92022892,0xbbf4c1cd3a722a681016cb4e999e43ef0011ccb8,7,5,2023/12/19 7:54,2023/12/26 12:36,2,2023/12/26 3:55,2023/12/26 12:42,1643.407832
2,145513,2.02405E+19,26,op,4.76219158,linea,1.73696893,1989947,10.93121761,0x754935542858e489bc268d9eb270d1b7bcdd016f,7,5,2023/12/19 8:48,2023/12/26 3:27,2,2023/12/25 2:52,2023/12/26 3:32,1418.759115
3,145512,2.02405E+19,25,op,4.76219158,linea,1.73696893,1978833,11.0614152,0x75a75b9d61734a351454643c6afcb9f02fc1b835,7,5,2023/12/19 7:24,2023/12/26 3:25,2,2023/12/25 4:18,2023/12/26 3:30,1750.710503
4,145511,2.02405E+19,24,op,4.76219158,linea,1.73696893,1975960,11.09262443,0xeb50a47f67f7f6cb9e1aae35c652992b98c00d71,7,5,2023/12/19 8:50,2023/12/26 3:25,2,2023/12/25 2:20,2023/12/26 3:29,1862.050173
5,145510,2.02405E+19,23,op,4.76219158,linea,1.73696893,1975307,11.10010888,0x286990c4deb091f2fcc121027a130a0343f5d580,7,5,2023/12/19 4:41,2023/12/26 4:40,2,2023/12/25 11:46,2023/12/26 4:47,1678.58514
6,145509,2.02405E+19,22,op,4.76219158,linea,1.73696893,1973323,11.12264131,0x5ae32d1fa2484f5c070199097e356de45c101beb,7,5,2023/12/19 4:27,2023/12/26 9:29,2,2023/12/25 8:27,2023/12/26 9:32,2908.67869
7,145508,2.02405E+19,21,op,4.76219158,linea,1.73696893,1971472,11.14484062,0x67f9e32c11d331afede85abe0719be0df91ec8f6,7,5,2023/12/19 6:27,2023/12/26 9:25,2,2023/12/25 8:36,2023/12/26 9:29,1795.517597
8,145507,2.02405E+19,20,op,4.76219158,linea,1.73696893,1969927,11.16326757,0x0b0bb6dba42f6180e3d2f50288ee5489e8d2619a,7,5,2023/12/19 5:11,2023/12/26 2:35,2,2023/12/25 0:48,2023/12/26 2:51,1767.639752
9,145506,2.02405E+19,19,op,4.76219158,linea,1.73696893,1967389,11.19406774,0xcc4b47ad22595097aef71c9da2e50c47f45d9e18,7,5,2023/12/19 5:10,2023/12/26 4:40,2,2023/12/25 11:48,2023/12/26 11:23,1708.9907
