,id,groupid,line_no,first_relate_chain,first_relate_chain_usegas,second_relate_chain,second_relate_chain_usegas,rankid,total,address,tx_count,angle,angle_firsttime,angle_lasttime,merkly,merkly_firsttime,merkly_lasttime,stargate,stargate_firsttime,stargate_lasttime,sum_stargate_swap_usd
0,181509,2.02405E+19,20,op,0.3198134,gno,0.14969588,1656361,16.00666407,0x0410969668905820f97a193a62400692b7f792cb,130,6,2023/7/30 16:26,2023/8/8 21:10,114,2023/8/13 9:12,2024/4/28 21:10,10,2023/8/1 14:34,2023/8/16 12:23,1.00E-04
1,181508,2.02405E+19,19,op,0.3198134,gno,0.14969588,1649155,16.13180917,0xe980a6098902673a93d62201d39e5fe40aa5e6e2,130,7,2023/7/30 16:38,2023/8/8 21:20,114,2023/8/13 9:21,2024/4/28 21:11,9,2023/8/1 15:02,2023/8/16 12:38,1.00E-04
2,181507,2.02405E+19,18,op,0.3198134,gno,0.14969588,1635891,16.35985469,0x68da32529b70601a40db098228ee5f8d7784de9d,130,6,2023/7/30 16:32,2023/8/8 21:12,114,2023/8/13 9:18,2024/4/28 21:10,10,2023/8/1 14:37,2023/8/16 12:26,1.00E-04
3,181506,2.02405E+19,17,op,0.3198134,gno,0.14969588,1614625,16.72787152,0x623ad83106d24a101d168e1c09fa40415ade6bf2,130,6,2023/7/30 16:50,2023/8/8 22:10,114,2023/8/13 9:25,2024/4/28 21:11,10,2023/8/1 15:19,2023/8/16 12:52,1.00E-04
4,181505,2.02405E+19,16,op,0.3198134,gno,0.14969588,1614597,16.72835732,0x6dfa1d2ad884377e2201e19016d27d2625202036,130,6,2023/7/30 16:47,2023/8/8 22:08,114,2023/8/13 9:24,2024/4/28 21:11,10,2023/8/1 15:16,2023/8/16 12:50,1.00E-04
5,181504,2.02405E+19,15,op,0.3198134,gno,0.14969588,1612662,16.76147831,0x33305125974658b5d74234890940476331fc778b,131,8,2023/7/30 16:25,2023/8/8 21:09,113,2023/8/13 9:12,2024/4/28 21:10,10,2023/8/1 14:32,2023/8/16 12:22,1.00E-04
6,181503,2.02405E+19,14,op,0.3198134,gno,0.14969588,1598181,17.0115989,0xb4325eb43b4afd3d3d657b9c1b4a69ef9038c70a,129,6,2023/7/30 16:41,2023/8/8 22:00,113,2023/8/13 9:21,2024/4/28 21:11,10,2023/8/1 15:05,2023/8/16 12:41,1.00E-04
7,181502,2.02405E+19,13,op,0.3198134,gno,0.14969588,1597495,17.02351194,0xe32fd01f1637aa977e54eda8cfffe7c28b530159,130,6,2023/7/30 16:43,2023/8/8 22:02,114,2023/8/13 9:22,2024/4/28 21:11,10,2023/8/1 15:08,2023/8/16 12:44,1.00E-04
8,181501,2.02405E+19,12,op,0.3198134,gno,0.14969588,1595069,17.06367178,0x45a0a0214b1d59999cbedeece6016bde3fee258c,128,6,2023/7/30 16:46,2023/8/8 22:07,112,2023/8/13 9:24,2024/4/28 21:11,10,2023/8/1 15:14,2023/8/16 12:49,1.00E-04
9,181500,2.02405E+19,11,op,0.3198134,gno,0.14969588,1594816,17.06763627,0xd463ab03cc3f7f4dc8a0046d9140a1cc4c967b83,130,6,2023/7/30 16:36,2023/8/8 21:18,114,2023/8/13 9:19,2024/4/28 21:10,10,2023/8/1 14:59,2023/8/16 12:34,1.00E-04
10,181499,2.02405E+19,10,op,0.3198134,gno,0.14969588,1594782,17.06809655,0xc09013f049af41c4c509d1264624b81aa9e9e679,130,6,2023/7/30 16:45,2023/8/8 22:05,114,2023/8/13 9:23,2024/4/28 21:11,10,2023/8/1 15:13,2023/8/16 12:47,1.00E-04
11,181498,2.02405E+19,9,op,0.3198134,gno,0.14969588,1589076,17.16729177,0xa3b0fdfb96d8794981185b3ce935109fc57d2e69,130,6,2023/7/30 16:44,2023/8/8 22:04,114,2023/8/13 9:24,2024/4/28 21:11,10,2023/8/1 15:08,2023/8/16 12:45,1.00E-04
12,181497,2.02405E+19,8,op,0.3198134,gno,0.14969588,1589075,17.16735107,0xce8399709bf9744963647d2f00d633253ad85d7d,130,6,2023/7/30 16:48,2023/8/8 22:09,114,2023/8/13 9:24,2024/4/28 21:11,10,2023/8/1 15:17,2023/8/16 12:51,1.00E-04
13,181496,2.02405E+19,7,op,0.3198134,gno,0.14969588,1589071,17.16740592,0x02b933d8e2a4dd4a4abf60908e81c7b6a7e39273,130,6,2023/7/30 16:39,2023/8/8 21:22,114,2023/8/13 9:21,2024/4/28 21:10,10,2023/8/1 15:03,2023/8/16 12:40,1.00E-04
14,181495,2.02405E+19,6,op,0.3198134,gno,0.14969588,1589058,17.16761989,0xeeb098da02be25c85ee177c079354f9c3c6ff832,130,6,2023/7/30 16:37,2023/8/8 21:19,114,2023/8/13 9:20,2024/4/28 21:10,10,2023/8/1 15:01,2023/8/16 12:35,1.00E-04
15,181494,2.02405E+19,5,op,0.3198134,gno,0.14969588,1589038,17.16799918,0x4ff9ebe257cdde63c07ba499dd6e08812add3f8c,130,6,2023/7/30 16:35,2023/8/8 21:17,114,2023/8/13 9:19,2024/4/28 21:10,10,2023/8/1 14:58,2023/8/16 12:31,1.00E-04
16,181493,2.02405E+19,4,op,0.3198134,gno,0.14969588,1589006,17.1685648,0xe1283fe1c6e3ae2c9037b67f35e4fc1abd8cec26,130,6,2023/7/30 16:30,2023/8/8 21:11,114,2023/8/13 9:13,2024/4/28 21:10,10,2023/8/1 14:35,2023/8/16 12:25,1.00E-04
