,chain,hash,from,to,value,method,chain_tx_time
0,bsc,0xd2e1dda39346b3b9efd6986863833786de8e713551c128e69a3870a7737cafa2,0x8b0d19cbd7a184cb5774bb33ba86ec7f38acc509,0x55d398326f99059ff775485246999027b3197955,0.0,"approve(address _spender, uint256 _value)",2023-07-19 22:32:49
1,bsc,0xde18ea28e4572c5d0987b8fe4f2621170cc8d57243e244a830d1c67310fb7464,0xaa1fdea236a03a90e0239b364264a88bb4c39801,0x55d398326f99059ff775485246999027b3197955,0.0,"approve(address _spender, uint256 _value)",2023-07-19 22:32:52
2,bsc,0xa52937dd159834951f61972e0e1890186f939b723957837cafd8742a64c57b47,0x3563a70b770e1cf9f16dba1939a96816eb980462,0x55d398326f99059ff775485246999027b3197955,0.0,"approve(address _spender, uint256 _value)",2023-07-19 22:32:52
3,bsc,0x73a24e6a012d2b3017d4e68a2b4e654caa624750c8e35f8033c1d4f7303d010b,0x9c59a158681058d3a70d80dd89c23bda41fd71e7,0x55d398326f99059ff775485246999027b3197955,0.0,"approve(address _spender, uint256 _value)",2023-07-19 22:32:52
4,bsc,0x3170e945cc41cb189780e52ed3dd63554898686c99196db7e8460120a8cbf1e4,0x0fcaba1ad4c621212bb5bbc90fc4345421293ecc,0x55d398326f99059ff775485246999027b3197955,0.0,"approve(address _spender, uint256 _value)",2023-07-19 22:32:52
5,bsc,0x793966e45fbde0b5209da0438077b84bb2b866a6d0d0f5de8f7cc617bdc78b0e,0x8b0d19cbd7a184cb5774bb33ba86ec7f38acc509,0x4a364f8c717caad9a442737eb7b8a55cc6cf18d8,0.00192358828965191,"swap(uint16 _dstChainId,uint256 _srcPoolId,uint256",2023-07-19 22:33:07
6,bsc,0x3c5a19fc141a8e7dcbafe64166e05d555836db7e8f6953f566b02a1e81ba4c2d,0x0fcaba1ad4c621212bb5bbc90fc4345421293ecc,0x4a364f8c717caad9a442737eb7b8a55cc6cf18d8,0.00192358828965191,"swap(uint16 _dstChainId,uint256 _srcPoolId,uint256",2023-07-19 22:33:07
7,bsc,0x15c9dc49be82559d51ceb80165b23603f0624f1d8d21fb228962c05ef874d877,0xaa1fdea236a03a90e0239b364264a88bb4c39801,0x4a364f8c717caad9a442737eb7b8a55cc6cf18d8,0.00192358828965191,"swap(uint16 _dstChainId,uint256 _srcPoolId,uint256",2023-07-19 22:33:10
8,bsc,0x6035cbcffdab909cc5162c20970ba4356a580d99b60e21d579f60648ed56d71c,0x9c59a158681058d3a70d80dd89c23bda41fd71e7,0x4a364f8c717caad9a442737eb7b8a55cc6cf18d8,0.00192358828965191,"swap(uint16 _dstChainId,uint256 _srcPoolId,uint256",2023-07-19 22:33:10
9,bsc,0x130ba65758c58abb9f68c9738535e7638ca88cf9d6644168aaefa692a940dc3d,0x3563a70b770e1cf9f16dba1939a96816eb980462,0x4a364f8c717caad9a442737eb7b8a55cc6cf18d8,0.00192358828965191,"swap(uint16 _dstChainId,uint256 _srcPoolId,uint256",2023-07-19 22:33:13
