,id,groupid,line_no,first_relate_chain,first_relate_chain_usegas,second_relate_chain,second_relate_chain_usegas,rankid,total,address,tx_count,merkly,merkly_firsttime,merkly_lasttime,stargate,stargate_firsttime,stargate_lasttime,getmint,getmint_firsttime,getmint_lasttime,zerius,zerius_firsttime,zerius_lasttime,sum_stargate_swap_usd
0,215215,2.02405E+19,25,linea,0.21233578,bsc,1.13495556,965563,31.3146677,0x92d59592eb175beac66a437c9f999f9a733d49e1,41,8,2024/2/6 12:47,2024/3/8 12:30,31,2023/7/18 21:54,2024/4/23 11:22,1,2024/1/31 4:34,2024/1/31 4:34,1,2023/10/21 13:43,2023/10/21 13:43,2455.112577
1,215214,2.02405E+19,24,linea,0.21233578,bsc,1.13495556,953435,31.69305763,0xf44b624ff76906e94cca83688c6773f428a096a4,44,10,2024/2/6 20:20,2024/3/8 16:16,32,2023/7/18 22:46,2024/4/23 10:59,1,2024/1/31 20:00,2024/1/31 20:00,1,2023/10/21 10:53,2023/10/21 10:53,2447.218305
2,215213,2.02405E+19,23,linea,0.21233578,bsc,1.13495556,939716,32.1397967,0x2268452fd96e8bbcba194b8287505e17471c183b,43,10,2024/2/6 6:06,2024/3/8 14:55,31,2023/7/18 22:53,2024/4/23 1:51,1,2024/1/31 5:49,2024/1/31 5:49,1,2023/10/21 15:16,2023/10/21 15:16,2441.121569
3,215212,2.02405E+19,22,linea,0.21233578,bsc,1.13495556,934652,32.30663199,0xaa1fdea236a03a90e0239b364264a88bb4c39801,38,7,2024/2/5 23:41,2024/3/8 16:39,29,2023/7/18 21:47,2024/4/23 0:12,1,2024/1/31 2:08,2024/1/31 2:08,1,2023/10/21 11:34,2023/10/21 11:34,2422.907525
4,215211,2.02405E+19,21,linea,0.21233578,bsc,1.13495556,921379,32.74227439,0x9c59a158681058d3a70d80dd89c23bda41fd71e7,41,9,2024/2/6 7:56,2024/3/8 21:23,30,2023/7/18 23:59,2024/4/23 0:28,1,2024/1/31 6:52,2024/1/31 6:52,1,2023/10/21 11:19,2023/10/21 11:19,2449.337532
5,215210,2.02405E+19,20,linea,0.21233578,bsc,1.13495556,910422,33.11903853,0x0fcaba1ad4c621212bb5bbc90fc4345421293ecc,43,8,2024/2/6 6:46,2024/3/8 13:59,33,2023/7/18 23:13,2024/4/23 11:08,1,2024/1/31 4:23,2024/1/31 4:23,1,2023/10/21 14:09,2023/10/21 14:09,2422.179134
6,215209,2.02405E+19,19,linea,0.21233578,bsc,1.13495556,898472,33.53813347,0x3563a70b770e1cf9f16dba1939a96816eb980462,35,6,2024/2/5 23:12,2024/3/8 19:27,27,2023/7/18 23:07,2024/4/22 23:47,1,2024/1/31 2:50,2024/1/31 2:50,1,2023/10/21 14:30,2023/10/21 14:30,2395.128673
7,215208,2.02405E+19,18,linea,0.21233578,bsc,1.13495556,893117,33.7241908,0x374b6ba181dcd0fdaba9f7aa7c0c7d3bd1c932eb,40,6,2024/2/6 2:30,2024/3/8 13:49,32,2023/7/18 22:26,2024/4/23 10:24,1,2024/1/30 23:18,2024/1/30 23:18,1,2023/10/21 11:24,2023/10/21 11:24,2370.424247
8,215207,2.02405E+19,17,linea,0.21233578,bsc,1.13495556,888778,33.87456184,0xfe512191c86a0c4e7c3060effadf98f180887d9c,41,8,2024/2/6 3:52,2024/3/8 19:04,31,2023/7/18 21:40,2024/4/23 10:58,1,2024/1/31 0:52,2024/1/31 0:52,1,2023/10/21 14:04,2023/10/21 14:04,2479.739947
9,215206,2.02405E+19,16,linea,0.21233578,bsc,1.13495556,886386,33.95818172,0x8b0d19cbd7a184cb5774bb33ba86ec7f38acc509,42,8,2024/2/6 1:13,2024/3/8 14:33,32,2023/7/18 22:33,2024/4/23 12:19,1,2024/1/31 1:31,2024/1/31 1:31,1,2023/10/21 19:55,2023/10/21 19:55,2375.842109
10,215205,2.02405E+19,15,linea,0.21233578,bsc,1.13495556,872651,34.44908575,0x8f00b5de8f0e5da0152c817d29bec64667975eb5,43,9,2024/2/6 17:00,2024/3/8 18:09,32,2023/7/18 22:40,2024/4/23 10:32,1,2024/1/31 3:16,2024/1/31 3:16,1,2023/10/21 14:14,2023/10/21 14:14,2483.732217
11,215204,2.02405E+19,14,linea,0.21233578,bsc,1.13495556,869465,34.56231475,0xc2433ab4a13f406eb05044b406e215972bbf493a,42,9,2024/2/6 12:32,2024/3/8 17:23,31,2023/7/18 23:27,2024/4/23 0:04,1,2024/1/30 23:10,2024/1/30 23:10,1,2023/10/21 13:18,2023/10/21 13:18,2416.031189
12,215203,2.02405E+19,13,linea,0.21233578,bsc,1.13495556,855290,35.09265896,0x4b8f06dd0fe0ae31bdefee9a2ecc00180e5d10d0,40,6,2024/2/6 9:02,2024/3/8 13:15,32,2023/7/19 12:14,2024/4/23 1:40,1,2024/1/30 23:41,2024/1/30 23:41,1,2023/10/21 19:49,2023/10/21 19:49,2347.373943
13,215202,2.02405E+19,12,linea,0.21233578,bsc,1.13495556,852084,35.21105637,0x132040405a51160960985eaa5e9f173e827cc7df,38,6,2024/2/6 3:28,2024/3/8 12:42,30,2023/7/18 23:33,2024/4/23 0:36,1,2024/1/30 22:44,2024/1/30 22:44,1,2023/10/21 11:14,2023/10/21 11:14,2443.108374
14,215201,2.02405E+19,11,linea,0.21233578,bsc,1.13495556,850846,35.25516088,0x10a73af4e8c722f95177c55c199732423537753f,39,6,2024/2/6 10:53,2024/3/8 18:20,31,2023/7/18 23:40,2024/4/23 10:17,1,2024/1/31 4:10,2024/1/31 4:10,1,2023/10/21 13:48,2023/10/21 13:48,2473.790006
15,215200,2.02405E+19,10,linea,0.21233578,bsc,1.13495556,835791,35.81278586,0x4f21665c10ed42e41087f16e18bba03d9323f92a,39,6,2024/2/6 16:22,2024/3/8 13:37,31,2023/7/18 22:07,2024/4/23 1:26,1,2024/1/31 19:54,2024/1/31 19:54,1,2023/10/21 14:50,2023/10/21 14:50,2443.383882
16,215199,2.02405E+19,9,linea,0.21233578,bsc,1.13495556,822973,36.30266523,0x183f20e6f1f7ad3c8b7192f56187a224fdef4832,40,6,2024/2/5 23:26,2024/3/8 14:43,32,2023/7/18 22:20,2024/4/23 11:23,1,2024/1/31 0:40,2024/1/31 0:40,1,2023/10/21 10:48,2023/10/21 10:48,2434.449673
17,215198,2.02405E+19,8,linea,0.21233578,bsc,1.13495556,810146,36.79977571,0xfdbd546100c8a70f2ece6c7867d6cd2eb30837f9,41,8,2024/2/6 6:32,2024/3/8 21:11,31,2023/7/19 0:05,2024/4/23 0:23,1,2024/1/31 5:27,2024/1/31 5:27,1,2023/10/21 10:37,2023/10/21 10:37,2489.589734
18,215197,2.02405E+19,7,linea,0.21233578,bsc,1.13495556,801487,37.14983346,0x6893128192e32e1c63d31617c396f89bcc09dff1,41,8,2024/2/6 5:33,2024/3/8 20:36,31,2023/7/19 0:12,2024/4/22 23:56,1,2024/1/31 6:01,2024/1/31 6:01,1,2023/10/21 12:30,2023/10/21 12:30,2409.248489
19,215196,2.02405E+19,6,linea,0.21233578,bsc,1.13495556,798849,37.25793354,0x89957877b08edcdcd1e07168841919a967d54f28,43,7,2024/2/6 10:25,2024/3/8 18:31,34,2023/7/18 22:00,2024/4/23 11:32,1,2024/1/31 5:14,2024/1/31 5:14,1,2023/10/21 12:09,2023/10/21 12:09,2429.15216
20,215195,2.02405E+19,5,linea,0.21233578,bsc,1.13495556,798124,37.2876237,0x373ff1cc2775adf4168fc47c2c509eb4d26bc8ad,40,10,2024/2/6 18:22,2024/3/8 17:11,28,2023/7/19 0:19,2024/4/23 1:12,1,2024/1/31 4:16,2024/1/31 4:16,1,2023/10/21 11:43,2023/10/21 11:43,2747.964259
21,215194,2.02405E+19,4,linea,0.21233578,bsc,1.13495556,765097,38.68134506,0x5015deae1fdd31c4b678edab1bdb1d5f3ccb0caf,41,8,2024/2/6 11:34,2024/3/8 18:53,31,2023/7/18 21:26,2024/4/23 0:48,1,2024/1/31 19:32,2024/1/31 19:32,1,2023/10/21 15:53,2023/10/21 15:53,2420.351086
22,215193,2.02405E+19,3,linea,0.21233578,bsc,1.13495556,737861,39.88727232,0xeeb39eeee586ffad7d3fe4bc79186dcdb7b4abb3,42,9,2024/2/6 18:33,2024/3/8 15:30,31,2023/7/18 23:00,2024/4/23 1:31,1,2024/1/31 19:33,2024/1/31 19:33,1,2023/10/21 13:32,2023/10/21 13:32,2434.012477
23,215192,2.02405E+19,2,linea,0.21233578,bsc,1.13495556,730622,40.21043566,0x3988d2f2c27b65c727ef8cea0168634a7d37f52f,44,10,2024/2/6 1:00,2024/3/8 18:43,32,2023/7/18 23:20,2024/4/23 12:50,1,2024/1/31 2:36,2024/1/31 2:36,1,2023/10/21 15:47,2023/10/21 15:47,2431.077051
24,215191,2.02405E+19,1,linea,0.21233578,bsc,1.13495556,679178,42.66997107,0x453be99076b6793257d5b884ec2ccec07747e9d8,45,10,2024/2/6 2:17,2024/3/8 16:05,33,2023/7/18 21:33,2024/4/23 10:40,1,2024/1/31 7:26,2024/1/31 7:26,1,2023/10/21 12:14,2023/10/21 12:14,2359.542901
