,chain,hash,from,to,value,method,chain_tx_time
0,linea,0x82d985cb498537ce5f25cea33194c6b3b8c4eafb0a95d9e1c7bc50f9efc3fe89,0x80c67432656d59144ceff962e8faf8926599bcf8,0x0fcaba1ad4c621212bb5bbc90fc4345421293ecc,0.138267,Transfer,2024-04-23 01:43:46
1,linea,0x5438049c8c6a35b574881a5798087f29676cc9298c6bd21add5a77abbff175be,0xe4edb277e41dc89ab076a1f049f4a3efa700bce8,0x3563a70b770e1cf9f16dba1939a96816eb980462,0.134547,Transfer,2024-04-23 01:50:04
2,linea,0x92087b0b1c92308e2662aa2aae07a0ae3601cce0cb1687e8ccb41211d364a614,0x80c67432656d59144ceff962e8faf8926599bcf8,0x8b0d19cbd7a184cb5774bb33ba86ec7f38acc509,0.135477,Transfer,2024-04-23 01:52:55
3,linea,0x52c33a2ac335d9e74633b8b397f078ac54fbf8ec58effdedb3d0fe340d5a3525,0x80c67432656d59144ceff962e8faf8926599bcf8,0x4b8f06dd0fe0ae31bdefee9a2ecc00180e5d10d0,0.135477,Transfer,2024-04-23 01:55:58
4,linea,0xf6f4e2828c16c59e89cf74af6c77d15c95e4b38929c595ce8ccd48e0ebf62e39,0x80c67432656d59144ceff962e8faf8926599bcf8,0xfdbd546100c8a70f2ece6c7867d6cd2eb30837f9,0.143847,Transfer,2024-04-23 02:01:22
5,linea,0xcc4bb51f2f42633888b53fd8dd0109ad69b1dfa75a965d45b4583f03273fff60,0x80c67432656d59144ceff962e8faf8926599bcf8,0x3988d2f2c27b65c727ef8cea0168634a7d37f52f,0.141057,Transfer,2024-04-23 02:01:58
6,linea,0x5cd6f60350e8e9b3a36f13d9306e66a0b763dc99e960e281e8f7b5bd23f6ca9c,0x80c67432656d59144ceff962e8faf8926599bcf8,0x453be99076b6793257d5b884ec2ccec07747e9d8,0.135477,Transfer,2024-04-23 02:06:34
7,linea,0x355203722f3e505cae2beb235a0a1a3e1b535a06a546c11c31553f871220ca99,0xe4edb277e41dc89ab076a1f049f4a3efa700bce8,0x8f00b5de8f0e5da0152c817d29bec64667975eb5,0.141057,Transfer,2024-04-23 02:07:04
8,linea,0x372ec7c5fc22c5b300ccf996ce809d189b4d6256c3799d0a1080ebf0c7f775d6,0x80c67432656d59144ceff962e8faf8926599bcf8,0x89957877b08edcdcd1e07168841919a967d54f28,0.139078,Transfer,2024-04-23 02:14:07
9,linea,0x7e359d199b71b0fea89b0a8cb9a4bb51d71f522b78b3c1afb2f3cbf71fb2e3e6,0x80c67432656d59144ceff962e8faf8926599bcf8,0x373ff1cc2775adf4168fc47c2c509eb4d26bc8ad,0.17112,Transfer,2024-04-23 02:20:46
10,linea,0x97a083d3d8cb28787e789ae6f3a9e3ea22144437c10e9b6c4409ddb286aa3f50,0x80c67432656d59144ceff962e8faf8926599bcf8,0xf44b624ff76906e94cca83688c6773f428a096a4,0.143728,Transfer,2024-04-23 02:21:31
11,linea,0x1921c80430ca5d0d4526d7a1f9563a7b8ba9a1fa01ec8de276da2ab237c434ae,0x80c67432656d59144ceff962e8faf8926599bcf8,0x132040405a51160960985eaa5e9f173e827cc7df,0.141987,Transfer,2024-04-23 02:26:58
12,linea,0x18170e626429c552ed77279ea9605f251c806e21c14ec1b2f24a365b0dc1bf07,0x80c67432656d59144ceff962e8faf8926599bcf8,0x6893128192e32e1c63d31617c396f89bcc09dff1,0.136407,Transfer,2024-04-23 02:32:20
13,linea,0x89e0a11494197b81f032a0cdb9bf800c6420335f765cd328cb4e176a42a96cdf,0xe4edb277e41dc89ab076a1f049f4a3efa700bce8,0x5015deae1fdd31c4b678edab1bdb1d5f3ccb0caf,0.138267,Transfer,2024-04-23 02:32:20
14,linea,0x38fa24bc8764a7ad742db5946e8495a833d7be63222140e1f3520a0a2d349cb7,0x80c67432656d59144ceff962e8faf8926599bcf8,0x374b6ba181dcd0fdaba9f7aa7c0c7d3bd1c932eb,0.136407,Transfer,2024-04-23 02:37:44
15,linea,0x81d42dd9543b05bb8a8181b3f15624e70e75d6639922d26fa765912f34583bd0,0x80c67432656d59144ceff962e8faf8926599bcf8,0xeeb39eeee586ffad7d3fe4bc79186dcdb7b4abb3,0.142917,Transfer,2024-04-23 02:38:44
