,chain,hash,from,to,value,method,chain_tx_time
0,arb,0x19ad9d7f7f9c0d5826e23dcbbe2276bca38fe5d46836ff6aa5e4549870e6095e,0x4f7c85c1707f708a0a483169070a487c0b991d71,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,0.0,"approve(address spender, uint256 amount)",2023-08-01 21:05:12
1,arb,0x9c2692fec452c6f19f91d06411164be9fd7e193aff15a3d4893391ee90e88479,0x4f7c85c1707f708a0a483169070a487c0b991d71,0x53bf833a5d6c4dda888f69c22c88c9f356a41614,0.000242923762042745,"swap(uint16 _dstChainId,uint256 _srcPoolId,uint256",2023-08-01 21:05:27
2,arb,0x893c501064b9f31d58f02773999545799fb7a6cc456b665d635f2120337e45a6,0x61d430a4ca78c08d8a8e194a6b3cfbafec0dc6ed,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,0.0,"approve(address spender, uint256 amount)",2023-08-02 00:41:28
3,arb,0x75effb5c9915d58dc91a2cbc424fc7b9393f787a52c1fa38147d77704d73a5b9,0x61d430a4ca78c08d8a8e194a6b3cfbafec0dc6ed,0x53bf833a5d6c4dda888f69c22c88c9f356a41614,0.000242923762042745,"swap(uint16 _dstChainId,uint256 _srcPoolId,uint256",2023-08-02 00:41:39
4,arb,0xbe182f3f60c5ba86d6b9a9055d4eb70bb8221ffe0e90d1be64b32a83dad2fa76,0xabdbdef9be941e27b5215ed6e898274c3f41f20a,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,0.0,"approve(address spender, uint256 amount)",2023-08-02 00:51:22
5,arb,0x0da150f6e6018858ec15b109983a49bff9901423ead5ff4ffea6e2e8899068d2,0xabdbdef9be941e27b5215ed6e898274c3f41f20a,0x53bf833a5d6c4dda888f69c22c88c9f356a41614,0.000242923762042745,"swap(uint16 _dstChainId,uint256 _srcPoolId,uint256",2023-08-02 00:51:33
6,arb,0xbe551210d562536b980bf648ca797cec1693827b7099615bf04fa8201e23067c,0x7d2601109da2024915a6f33988fac29e831185d6,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,0.0,"approve(address spender, uint256 amount)",2023-08-02 01:42:04
7,arb,0x1c4cc5116dea5b6b8ad5caf497cf189e61cf3b6a8c31e2a099638a8cabe5a2df,0x7d2601109da2024915a6f33988fac29e831185d6,0x53bf833a5d6c4dda888f69c22c88c9f356a41614,0.000242923762042745,"swap(uint16 _dstChainId,uint256 _srcPoolId,uint256",2023-08-02 01:42:14
8,arb,0x83e860339fc0e6282b16dcc08a26439cd85ed1a2f37e959b0f3bdefe291ee78b,0x089b53fd21111db09df8aded080853b637cef7a6,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,0.0,"approve(address spender, uint256 amount)",2023-08-02 01:49:45
9,arb,0x9155bef110aa2cea67dcc710d1059d071c09ee140b08d6a5651a857e464e25d1,0x089b53fd21111db09df8aded080853b637cef7a6,0x53bf833a5d6c4dda888f69c22c88c9f356a41614,0.000242923762042745,"swap(uint16 _dstChainId,uint256 _srcPoolId,uint256",2023-08-02 01:49:56
10,arb,0x95161a45a134f1d9a3b282326826bc47cab56b2ed2f11c76448915d6cebf7627,0x2e4f38018e152af864472f58b72b7d7b43807214,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,0.0,"approve(address spender, uint256 amount)",2023-08-02 01:56:29
11,arb,0x6545eedc8288a9ec479c2898094ce4581af4e1c31d88229c7eea28a01d66f3c0,0x2e4f38018e152af864472f58b72b7d7b43807214,0x53bf833a5d6c4dda888f69c22c88c9f356a41614,0.000242923762042745,"swap(uint16 _dstChainId,uint256 _srcPoolId,uint256",2023-08-02 01:56:35
12,arb,0xcde4eed7d4a6a22bff37d65122706ab4e2f65c1579df030f531f49c830851c74,0xc4d3efa43aa7e46b0a2d8787f7b38bdfa94ca2b0,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,0.0,"approve(address spender, uint256 amount)",2023-08-02 02:00:02
13,arb,0x22651b744e61bec281c32ebc207b05078bd10ca0501ebd39ccfeec95a70966e4,0xc4d3efa43aa7e46b0a2d8787f7b38bdfa94ca2b0,0x53bf833a5d6c4dda888f69c22c88c9f356a41614,0.000242923762042745,"swap(uint16 _dstChainId,uint256 _srcPoolId,uint256",2023-08-02 02:00:18
