,id,groupid,line_no,first_relate_chain,first_relate_chain_usegas,second_relate_chain,second_relate_chain_usegas,rankid,total,address,tx_count,aptosbridge,aptosbridge_firsttime,aptosbridge_lasttime,merkly,merkly_firsttime,merkly_lasttime,stargate,stargate_firsttime,stargate_lasttime,coredao,coredao_firsttime,coredao_lasttime,harmonybridge,harmonybridge_firsttime,harmonybridge_lasttime,l2pass,l2pass_firsttime,l2pass_lasttime,sum_stargate_swap_usd
0,232007,2.02405E+19,29,op,0.71144929,arb,0.70170472,1760184,14.2238069,0xdfe3a6625c5566b6309d1b220150144e02b50254,74,1,2023/9/1 10:56,2023/9/1 10:56,41,2023/8/8 11:47,2023/12/19 20:56,14,2023/6/24 16:05,2023/9/2 7:43,7,2023/7/21 19:09,2023/8/16 12:20,7,2023/7/19 21:02,2023/8/16 12:11,4,2024/2/23 20:00,2024/5/1 16:39,10830.74426
1,232006,2.02405E+19,28,op,0.71144929,arb,0.70170472,1759334,14.23832806,0xddcedfb3275c1b91e2eba51fccbb436b42ef6e42,73,1,2023/9/1 10:56,2023/9/1 10:56,40,2023/8/8 11:47,2023/11/24 11:48,14,2023/6/24 16:04,2023/9/2 7:42,7,2023/7/21 19:06,2023/8/20 10:38,7,2023/7/19 21:03,2023/8/16 12:11,4,2024/2/23 19:58,2024/4/26 7:12,10848.19889
2,232005,2.02405E+19,27,op,0.71144929,arb,0.70170472,1758000,14.26173157,0x55afd7e102e0387ac75556c11a343086fea9ffcd,74,1,2023/9/1 10:55,2023/9/1 10:55,41,2023/8/8 11:45,2023/12/19 20:56,14,2023/6/24 15:59,2023/9/2 7:39,6,2023/7/21 18:56,2023/8/13 17:18,7,2023/7/19 20:54,2023/8/16 12:11,5,2024/2/23 19:56,2024/4/26 7:03,10874.31844
3,232004,2.02405E+19,26,op,0.71144929,arb,0.70170472,1754783,14.31533058,0xabdbdef9be941e27b5215ed6e898274c3f41f20a,71,1,2023/9/1 10:53,2023/9/1 10:53,40,2023/8/8 11:41,2023/11/24 11:47,14,2023/6/24 15:41,2023/9/2 7:34,6,2023/7/21 18:14,2023/8/13 17:16,7,2023/7/19 20:50,2023/8/16 12:11,3,2024/2/23 19:46,2024/4/26 7:01,11015.87399
4,232003,2.02405E+19,25,op,0.71144929,arb,0.70170472,1753117,14.34370977,0x089b53fd21111db09df8aded080853b637cef7a6,73,1,2023/9/1 10:54,2023/9/1 10:54,41,2023/8/8 11:42,2023/12/18 13:32,14,2023/6/24 15:49,2023/9/2 7:35,7,2023/7/21 18:32,2023/8/16 12:14,6,2023/7/19 20:47,2023/8/13 17:19,4,2024/2/23 19:48,2024/4/28 14:21,10976.17204
5,232002,2.02405E+19,24,op,0.71144929,arb,0.70170472,1751802,14.36509565,0x2e4f38018e152af864472f58b72b7d7b43807214,73,1,2023/9/1 10:54,2023/9/1 10:54,41,2023/8/8 11:43,2023/12/19 20:59,14,2023/6/24 15:50,2023/9/2 7:36,6,2023/7/21 18:34,2023/8/13 17:18,7,2023/7/19 20:51,2023/8/16 12:11,4,2024/2/23 19:49,2024/4/28 14:15,10972.11223
6,232001,2.02405E+19,23,op,0.71144929,arb,0.70170472,1751148,14.37564605,0x051619910b5d082eb26f6204e8dc0b002c99063f,73,1,2023/9/1 10:54,2023/9/1 10:54,40,2023/8/8 11:44,2023/11/24 11:47,14,2023/6/24 15:54,2023/9/2 7:37,7,2023/7/21 18:41,2023/8/16 12:14,7,2023/7/19 20:43,2023/8/16 12:11,4,2024/2/23 19:51,2024/4/12 4:02,10939.82852
7,232000,2.02405E+19,22,op,0.71144929,arb,0.70170472,1746219,14.45634525,0xe909a65a480ca10a5974808f05bc853b95f11abc,74,1,2023/9/1 10:54,2023/9/1 10:54,41,2023/8/8 11:44,2023/12/25 18:10,14,2023/6/24 15:53,2023/9/2 7:37,7,2023/7/21 18:38,2023/8/16 12:15,7,2023/7/19 20:51,2023/8/16 12:11,4,2024/2/23 19:50,2024/5/1 16:38,10944.03804
8,231999,2.02405E+19,21,op,0.71144929,arb,0.70170472,1703586,15.18883347,0x26981a2d7910f4a2cf864417c39ec5568cb7ac7e,73,1,2023/9/1 10:55,2023/9/1 10:55,40,2023/8/8 11:46,2023/12/7 22:41,14,2023/6/24 16:01,2023/9/2 7:41,7,2023/7/21 19:01,2023/8/16 12:15,7,2023/7/19 20:56,2023/8/16 12:11,4,2024/2/23 19:57,2024/4/9 19:24,10868.14545
9,231998,2.02405E+19,20,op,0.71144929,arb,0.70170472,1699195,15.26679181,0x80d4782b0f3a00d6a91e0bef14a482475dda3aa7,74,1,2023/9/1 10:55,2023/9/1 10:55,41,2023/8/8 11:45,2023/12/7 22:40,14,2023/6/24 15:56,2023/9/2 7:38,7,2023/7/21 18:46,2023/8/16 12:18,7,2023/7/19 20:44,2023/8/16 12:11,4,2024/2/23 19:52,2024/4/12 4:14,10930.80797
