,chain,hash,from,to,value,method,chain_tx_time
0,ftm,0x2c56b11d4539884d08200494ba22a68face10aa4894c84f9d3e47999ccc83fd9,0xb5a970fab36900c09652a21d9888e164252f854f,0x72dc7fa5eeb901a34173c874a7333c8d1b34bca9,58.9653550554564,"crossSwap(uint256 refId,address to,tuple srcInfos,",2023-06-19 18:19:57
1,ftm,0xa3b28609992b97ccc88735776bfdcf134ff798fd9fdfdbe45f750f56a7346981,0xa0eaa79314e682e5e62b470e06f20eebd835fe14,0x72dc7fa5eeb901a34173c874a7333c8d1b34bca9,58.0515634781568,"crossSwap(uint256 refId,address to,tuple srcInfos,",2023-06-19 18:21:18
2,ftm,0x22260215c959dbbed9237ceed0898c945619bf45b554ad9e6ab31e11b8db315f,0x8db9e6118991e206837fc6192bfae2cf306b70e7,0x72dc7fa5eeb901a34173c874a7333c8d1b34bca9,55.395038363268,"crossSwap(uint256 refId,address to,tuple srcInfos,",2023-06-19 18:23:04
3,ftm,0xde0843b602f8df0d1a78cf8bfce179735293ed624623aed35cb29a2e097ef862,0x6ccee45e22281ef41db43971d77de06cfcf6eaaa,0x72dc7fa5eeb901a34173c874a7333c8d1b34bca9,59.2831541681508,"crossSwap(uint256 refId,address to,tuple srcInfos,",2023-06-19 18:25:03
4,ftm,0xb2527e3d9eb42b90510992ec03e586de273b98b978b266232762a783b01decc2,0x20f4c9f8419b39947660977ef0e9d4aea29400cc,0x72dc7fa5eeb901a34173c874a7333c8d1b34bca9,54.3859246112047,"crossSwap(uint256 refId,address to,tuple srcInfos,",2023-06-19 18:25:51
5,ftm,0xa708b996e5b90b71d61f5fc854d2bfc018bab05768df1bc0246da949809e1cbb,0xb0aa4fb26036ef45b20c0c152eb372e937ace17f,0x72dc7fa5eeb901a34173c874a7333c8d1b34bca9,56.627794195319,"crossSwap(uint256 refId,address to,tuple srcInfos,",2023-06-19 18:26:21
6,ftm,0x1a04c1608c2e7e0d98844e4800b537c358e43e831142578444eef6fc884f3cc8,0xcd22f07e4dd37f3f9c23b485fefdc85cb2fe0a03,0x72dc7fa5eeb901a34173c874a7333c8d1b34bca9,56.5098730473084,"crossSwap(uint256 refId,address to,tuple srcInfos,",2023-06-19 18:27:14
7,ftm,0x87ed9365cb48196464453a111a51b78aa9a3b95c382f5ac1a1dd2114bc7e28f1,0x57ac81d7b00ebc92f66e939f5a0d47cd69a57303,0x72dc7fa5eeb901a34173c874a7333c8d1b34bca9,34.885698719915,"crossSwap(uint256 refId,address to,tuple srcInfos,",2023-06-19 18:27:50
8,ftm,0x335a0fde6e815d1a961cf1be463f9bd4ba3a1d4510ce9b395624152840d4b105,0x9574ad5b786a09c3637f6147e25288dfc7a12a72,0x72dc7fa5eeb901a34173c874a7333c8d1b34bca9,55.0059906148015,"crossSwap(uint256 refId,address to,tuple srcInfos,",2023-06-19 18:27:56
9,ftm,0x669e801c5a1fe1d2252e35a6e52a0485385cb2f0040cf03456849bd9a007accb,0xcece44afdf6284bfcb0a361d2727ecec4e989f25,0x72dc7fa5eeb901a34173c874a7333c8d1b34bca9,40.1782512163484,"crossSwap(uint256 refId,address to,tuple srcInfos,",2023-06-19 19:00:43
