,id,groupid,line_no,first_relate_chain,first_relate_chain_usegas,second_relate_chain,second_relate_chain_usegas,rankid,total,address,tx_count,first_tx_time,last_tx_time,noprotocol,noprotocol_firsttime,noprotocol_lasttime,abracadabramoney,abracadabramoney_firsttime,abracadabramoney_lasttime,angle,angle_firsttime,angle_lasttime,aptosbridge,aptosbridge_firsttime,aptosbridge_lasttime,bitcoinbridge,bitcoinbridge_firsttime,bitcoinbridge_lasttime,clusters,clusters_firsttime,clusters_lasttime,defikingdoms,defikingdoms_firsttime,defikingdoms_lasttime,holograph,holograph_firsttime,holograph_lasttime,maverickprotocol,maverickprotocol_firsttime,maverickprotocol_lasttime,merkly,merkly_firsttime,merkly_lasttime,omnisea,omnisea_firsttime,omnisea_lasttime,pancakeswap,pancakeswap_firsttime,pancakeswap_lasttime,stakestone,stakestone_firsttime,stakestone_lasttime,stargate,stargate_firsttime,stargate_lasttime,coredao,coredao_firsttime,coredao_lasttime,dappgate,dappgate_firsttime,dappgate_lasttime,dexalot,dexalot_firsttime,dexalot_lasttime,harmonybridge,harmonybridge_firsttime,harmonybridge_lasttime,interportfinance,interportfinance_firsttime,interportfinance_lasttime,omniart,omniart_firsttime,omniart_lasttime,radiantcapital,radiantcapital_firsttime,radiantcapital_lasttime,fusebridge,fusebridge_firsttime,fusebridge_lasttime,l2marathon,l2marathon_firsttime,l2marathon_lasttime,mummyfinance,mummyfinance_firsttime,mummyfinance_lasttime,usdv,usdv_firsttime,usdv_lasttime,omnix,omnix_firsttime,omnix_lasttime,testnetbridge,testnetbridge_firsttime,testnetbridge_lasttime,mintdao,mintdao_firsttime,mintdao_lasttime,stargator,stargator_firsttime,stargator_lasttime,traderjoe,traderjoe_firsttime,traderjoe_lasttime,gameswift,gameswift_firsttime,gameswift_lasttime,orderlynetwork,orderlynetwork_firsttime,orderlynetwork_lasttime,superform,superform_firsttime,superform_lasttime,tevaera,tevaera_firsttime,tevaera_lasttime,l2pass,l2pass_firsttime,l2pass_lasttime,shimmerbridge,shimmerbridge_firsttime,shimmerbridge_lasttime,whale,whale_firsttime,whale_lasttime,omnihub,omnihub_firsttime,omnihub_lasttime,getmint,getmint_firsttime,getmint_lasttime,zkrank,zkrank_firsttime,zkrank_lasttime,kommunitas,kommunitas_firsttime,kommunitas_lasttime,goldenboys,goldenboys_firsttime,goldenboys_lasttime,omnicat,omnicat_firsttime,omnicat_lasttime,osakaprotocol,osakaprotocol_firsttime,osakaprotocol_lasttime,zerius,zerius_firsttime,zerius_lasttime,gaszip,gaszip_firsttime,gaszip_lasttime,altitude,altitude_firsttime,altitude_lasttime,l2telegraph,l2telegraph_firsttime,l2telegraph_lasttime,mintly,mintly_firsttime,mintly_lasttime,womex,womex_firsttime,womex_lasttime,levelfinance,levelfinance_firsttime,levelfinance_lasttime,metis,metis_firsttime,metis_lasttime,woofi,woofi_firsttime,woofi_lasttime,ethena,ethena_firsttime,ethena_lasttime,arbitroveprotocol,arbitroveprotocol_firsttime,arbitroveprotocol_lasttime,arkenfinance,arkenfinance_firsttime,arkenfinance_lasttime,beethovenx,beethovenx_firsttime,beethovenx_lasttime,betswirl,betswirl_firsttime,betswirl_lasttime,impossiblefinance,impossiblefinance_firsttime,impossiblefinance_lasttime,reunitwallet,reunitwallet_firsttime,reunitwallet_lasttime,tenet,tenet_firsttime,tenet_lasttime,openexchange,openexchange_firsttime,openexchange_lasttime,nogem,nogem_firsttime,nogem_lasttime,telosbridge,telosbridge_firsttime,telosbridge_lasttime,openname,openname_firsttime,openname_lasttime,aurafinance,aurafinance_firsttime,aurafinance_lasttime,wagmi,wagmi_firsttime,wagmi_lasttime,shrapnel,shrapnel_firsttime,shrapnel_lasttime,kelpdao,kelpdao_firsttime,kelpdao_lasttime,gravitaprotocol,gravitaprotocol_firsttime,gravitaprotocol_lasttime,сryptorank,сryptorank_firsttime,сryptorank_lasttime,tarot,tarot_firsttime,tarot_lasttime,layersync,layersync_firsttime,layersync_lasttime,sidusheroes,sidusheroes_firsttime,sidusheroes_lasttime,decent,decent_firsttime,decent_lasttime,starprotocol,starprotocol_firsttime,starprotocol_lasttime,fronkworld,fronkworld_firsttime,fronkworld_lasttime,pendle,pendle_firsttime,pendle_lasttime,seedifyfund,seedifyfund_firsttime,seedifyfund_lasttime,venusprotocol,venusprotocol_firsttime,venusprotocol_lasttime,tinydinos,tinydinos_firsttime,tinydinos_lasttime,wefi,wefi_firsttime,wefi_lasttime,zerodayfightback,zerodayfightback_firsttime,zerodayfightback_lasttime,qidao,qidao_firsttime,qidao_lasttime,tangible,tangible_firsttime,tangible_lasttime,xexlabs,xexlabs_firsttime,xexlabs_lasttime,nftearth,nftearth_firsttime,nftearth_lasttime,hardhit,hardhit_firsttime,hardhit_lasttime,zkdx,zkdx_firsttime,zkdx_lasttime,sum_stargate_swap_usd
0,242935,20240518063708440946,49,op,1.25310606,gno,0.20711679,1358501,21.47963935,0xa0eaa79314e682e5e62b470e06f20eebd835fe14,32,,,,,,,,,7,2023-06-27 02:21:23,2023-07-01 16:00:20,,,,1,2023-07-03 05:24:13,2023-07-03 05:24:13,,,,,,,,,,,,,,,,,,,,,,,,,24,2023-05-20 03:52:53,2024-05-01 04:06:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13372.30799303
1,242934,20240518063708440946,48,op,1.25310606,gno,0.20711679,1354306,21.56271867,0x0ac034229fc515c13d61bb6f18fac5fe1e3b5197,29,,,,,,,,,7,2023-06-27 01:40:54,2023-07-01 15:36:35,,,,1,2023-07-04 09:46:12,2023-07-04 09:46:12,,,,,,,,,,,,,,,,,,,,,,,,,21,2023-05-20 08:17:47,2024-04-17 10:26:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10374.99427865
2,242933,20240518063708440946,47,op,1.25310606,gno,0.20711679,1324672,22.17332497,0x73985e942cc66cc5f60d64996a0503388da444ee,30,,,,,,,,,7,2023-06-27 04:49:03,2023-07-01 15:52:35,,,,1,2023-07-03 07:08:57,2023-07-03 07:08:57,,,,,,,,,,,,,,,,,,,,,,,,,22,2023-05-20 02:29:48,2024-04-19 16:28:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10675.92862104
3,242932,20240518063708440946,46,op,1.25310606,gno,0.20711679,1322629,22.21290808,0x2ccc20ac6cf2e40f6c81f667228959714aa61418,30,,,,,,,,,7,2023-06-27 02:09:54,2023-07-01 15:06:30,,,,1,2023-07-04 17:32:59,2023-07-04 17:32:59,,,,,,,,,,,,,,,,,,,,,,,,,22,2023-05-20 14:16:45,2024-04-21 06:00:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10743.69137805
4,242931,20240518063708440946,45,op,1.25310606,gno,0.20711679,1308769,22.49945207,0x6f2853d5cb0a292a61ca3d68525d386482b8b161,35,,,4.0,2023-09-06 07:21:24,2023-09-08 11:38:23,,,,7,2023-06-27 04:23:27,2023-07-01 14:43:25,,,,1,2023-07-03 22:49:27,2023-07-03 22:49:27,,,,,,,,,,,,,,,,,,,,,,,,,23,2023-05-20 21:38:17,2024-04-18 18:30:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10551.70470778
5,242930,20240518063708440946,44,op,1.25310606,gno,0.20711679,1302138,22.63920344,0xc2f68acf0005e1eda15640189818439dd62843d1,28,,,,,,,,,7,2023-06-27 04:26:24,2023-07-01 16:14:25,,,,1,2023-07-04 11:37:38,2023-07-04 11:37:38,,,,,,,,,,,,,,,,,,,,,,,,,20,2023-05-20 07:32:02,2023-11-10 02:32:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13226.60813992
6,242929,20240518063708440946,43,op,1.25310606,gno,0.20711679,1266658,23.40242137,0x57ac81d7b00ebc92f66e939f5a0d47cd69a57303,29,,,,,,,,,7,2023-06-27 04:12:32,2023-07-01 15:47:45,,,,1,2023-07-04 05:02:51,2023-07-04 05:02:51,,,,,,,,,,,,,,,,,,,,,,,,,21,2023-05-20 19:15:08,2024-03-29 19:39:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10903.53446107
7,242928,20240518063708440946,42,op,1.25310606,gno,0.20711679,1208950,24.67970464,0xcece44afdf6284bfcb0a361d2727ecec4e989f25,29,,,,,,,,,7,2023-06-27 04:37:26,2023-07-01 14:42:25,,,,1,2023-07-03 13:10:04,2023-07-03 13:10:04,,,,,,,,,,,,,,,,,,,,,,,,,21,2023-05-20 12:03:38,2023-10-25 09:41:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15810.30714602
8,242927,20240518063708440946,41,op,1.25310606,gno,0.20711679,1201908,24.84550045,0x5284212489c9ef93c0e254052952f71168a5ff0d,34,,,,,,,,,7,2023-06-27 04:31:38,2023-07-01 16:15:10,,,,1,2023-07-04 10:06:03,2023-07-04 10:06:03,,,,,,,,,,,,,,,,,,,,,,,,,26,2023-05-20 14:10:06,2024-04-28 23:49:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13575.37391572
9,242926,20240518063708440946,40,op,1.25310606,gno,0.20711679,1148186,26.15474982,0x98dc4cadb0e911355c36b638a7feda58407bf144,28,,,,,,,,,7,2023-06-27 02:20:17,2023-07-01 15:40:00,,,,1,2023-07-03 04:48:29,2023-07-03 04:48:29,,,,,,,,,,,,,,,,,,,,,,,,,20,2023-05-20 01:32:31,2024-02-20 16:47:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16567.86550853
