,chain,hash,from,to,value,method,chain_tx_time
0,arb,0xd7cf2a3a158c9420efb8592ce78d7f0f8125fbf3f224105553d77db002d28c1a,0x0938c63109801ee4243a487ab84dffa2bba4589e,0x2adff24d14c8950f149d7c131a311f7f55516c3f,0.00318,Transfer,2023/6/8 4:45
1,arb,0x1a2c36a48a8e11f99aef54a844556151f63494ef5a12ff44e7c827b885550946,0x0938c63109801ee4243a487ab84dffa2bba4589e,0x62cb651b949036e547be3e50b402583df9be3204,0.00307,Transfer,2023/6/8 4:45
2,arb,0xbc115d525605e135cccece6d76eb6daaa4637634972dd894bb2fb01c29e8f361,0x0938c63109801ee4243a487ab84dffa2bba4589e,0xfc226dcbffecdb67ab9b8b1a71d17112051dd296,0.00301,Transfer,2023/6/8 4:45
3,arb,0xd57cb72fd36a7104a9a458a3e696c0834972cb12d0da80300f8bafab8e3cacd8,0x0938c63109801ee4243a487ab84dffa2bba4589e,0x8dac80645c568c7d2bb7ea2a372b691215576acb,0.00311,Transfer,2023/6/8 4:46
4,arb,0xf87bb14d91bf10a7a92d3989bca33b38af0a6175de2701cb81f0dc9f843ed968,0x0938c63109801ee4243a487ab84dffa2bba4589e,0xbd1d438124fa797b4ecac9fec2776c7d8a71451c,0.00301,Transfer,2023/6/8 4:46
5,arb,0x9931fe5a7017c4dc97bbce914256927c664d7d90bff619b090c5377179d26fc7,0x0938c63109801ee4243a487ab84dffa2bba4589e,0x4cea13b09bb293f777abca42a216d65ffdcfdb8b,0.00319,Transfer,2023/6/8 4:46
6,arb,0xd47230142b7c6cd5ed56676d2322322be71332c015f57953a9ce3d9a9495e7ca,0x0938c63109801ee4243a487ab84dffa2bba4589e,0x2959e339d37893eb6b9a060265033a35f885d703,0.00311,Transfer,2023/6/8 4:47
7,arb,0x518b4fd2bb8b1c6a230098d950204bd89962e0b67975261126cb8b2d331d62fa,0x0938c63109801ee4243a487ab84dffa2bba4589e,0x26cabbe7cef907f2ed9546cbdc4c4df8b1044b18,0.00301,Transfer,2023/6/8 4:47
8,arb,0x630afc8722cfc8d6bfe1e64542c14edea966848d8d3d5fead37d8d00176421cd,0x0938c63109801ee4243a487ab84dffa2bba4589e,0xb6d2feb75a881d6f5dc99f6eee37f12f70bfbbea,0.0031,Transfer,2023/6/8 4:47
9,arb,0xb66b0a12c326c9d4d83abff98c55ec52c9159ea65d48930c9a68e4c50862ea64,0x0938c63109801ee4243a487ab84dffa2bba4589e,0x19e3b02bf5ce6d7428d2385c111175508410c6ca,0.00303,Transfer,2023/6/8 4:48
10,arb,0xd3eee87c097343ca447c3e9dbf0202f733db73e605201ff734cade59e3126a61,0x0938c63109801ee4243a487ab84dffa2bba4589e,0x8ef6f85af7ca99ba82c13ec8e900d870b6e9aab8,0.00317,Transfer,2023/6/8 4:48
11,arb,0x1fe0bf08e0458e1d294ba1eda703c75ae7810f4e6c0e2ac51b726939f813bde0,0x0938c63109801ee4243a487ab84dffa2bba4589e,0xd73d13eb6a7f4cdf73e4750328d0e44da88e5680,0.00319,Transfer,2023/6/8 4:48
12,arb,0x45154456b67ae3854128a196c0ccbc5a47c71bb43614acf93ff6a5cf54b5cdbe,0x0938c63109801ee4243a487ab84dffa2bba4589e,0x540b50faba4f791c50794c8c18679eeeba5f65c6,0.00301,Transfer,2023/6/8 4:48
13,arb,0x117eeccf7a8fdaf5e9530e5b0d8391e17a70b00927e574189dd56b741115663b,0x0938c63109801ee4243a487ab84dffa2bba4589e,0x6f58aab21bb92af3feb3115d31f093d4769bc2f3,0.00309,Transfer,2023/6/8 4:49
14,arb,0xeb0f4278938374ab26c2532a1a2efb6a2eca714cb35f57f14795babe3f8d59db,0x0938c63109801ee4243a487ab84dffa2bba4589e,0xd85c3dbd914f44d1489be06601ba7fa99e3864ad,0.00302,Transfer,2023/6/8 4:49
15,arb,0x43498921c55fb49acc890e2f0c16615bdf6d92d2e4e31d3e09956faff00944db,0x2adff24d14c8950f149d7c131a311f7f55516c3f,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,0,"transfer(address to, uint256 amount)",2023/6/8 4:49
