,chain,hash,from,to,value,method,chain_tx_time
0,avax,0x011429cf8e52506edcdaf854dfd6e088e319133015ecbc61dd045c5e754e03bc,0x2adff24d14c8950f149d7c131a311f7f55516c3f,0x51af494f1b4d3f77835951fa827d66fc4a18dae8,0.608434753658826,"crossSwap(uint256 refId, address payable to, SrcInfos srcInfos, DstInfos dstInfos)",2023-06-12 19:43:04
1,avax,0xb0b28d7c4c74beca786cd5b2bd11ce90d2c43275282ba4c0af7f970177181fdc,0x62cb651b949036e547be3e50b402583df9be3204,0x51af494f1b4d3f77835951fa827d66fc4a18dae8,0.652089493928564,"crossSwap(uint256 refId, address payable to, SrcInfos srcInfos, DstInfos dstInfos)",2023-06-12 19:44:11
2,avax,0xd9a682917ac4a32602a0b49c261dd26a0f5cf5ca1849c4101cf6ab2b26ed3f52,0xfc226dcbffecdb67ab9b8b1a71d17112051dd296,0x51af494f1b4d3f77835951fa827d66fc4a18dae8,0.608426457449453,"crossSwap(uint256 refId, address payable to, SrcInfos srcInfos, DstInfos dstInfos)",2023-06-12 19:44:29
3,avax,0xaafdb845a3cb1138738b2b7723ce208fa6e642ffc5910ddddc306a7f09844136,0x8dac80645c568c7d2bb7ea2a372b691215576acb,0x51af494f1b4d3f77835951fa827d66fc4a18dae8,0.672351539732601,"crossSwap(uint256 refId, address payable to, SrcInfos srcInfos, DstInfos dstInfos)",2023-06-12 19:44:52
4,avax,0x20fb60280c4b3c32f9e3e7a7357b1bb0f74cad9f84820a799da47e65fb6b128d,0xbd1d438124fa797b4ecac9fec2776c7d8a71451c,0x51af494f1b4d3f77835951fa827d66fc4a18dae8,0.649786141396643,"crossSwap(uint256 refId, address payable to, SrcInfos srcInfos, DstInfos dstInfos)",2023-06-12 19:45:16
5,avax,0x44eab9c8042c8022b4f5373e39b407dc576ff56c5eba78a32c2322312823a22f,0x4cea13b09bb293f777abca42a216d65ffdcfdb8b,0x51af494f1b4d3f77835951fa827d66fc4a18dae8,0.618577991605692,"crossSwap(uint256 refId, address payable to, SrcInfos srcInfos, DstInfos dstInfos)",2023-06-12 19:45:39
6,avax,0x7399edd41fd53a8f3ec2ac59dc32d6b99d9e6dc0a2d492fee96a077384d98383,0x2959e339d37893eb6b9a060265033a35f885d703,0x51af494f1b4d3f77835951fa827d66fc4a18dae8,0.560954497427447,"crossSwap(uint256 refId, address payable to, SrcInfos srcInfos, DstInfos dstInfos)",2023-06-12 19:45:57
7,avax,0xb39d4d85b6ecc3367014d9156cf06a96ab5d24e46344833dbf9691781de5843d,0x26cabbe7cef907f2ed9546cbdc4c4df8b1044b18,0x51af494f1b4d3f77835951fa827d66fc4a18dae8,0.557040530788467,"crossSwap(uint256 refId, address payable to, SrcInfos srcInfos, DstInfos dstInfos)",2023-06-12 19:46:18
8,avax,0xb6219cde689ffbf56ed6026da3fe5764b383635ce6575315a578136d2bcfea95,0xb6d2feb75a881d6f5dc99f6eee37f12f70bfbbea,0x51af494f1b4d3f77835951fa827d66fc4a18dae8,0.565194290906819,"crossSwap(uint256 refId, address payable to, SrcInfos srcInfos, DstInfos dstInfos)",2023-06-12 19:46:42
9,avax,0xef7dd998575aa0f213c3cd0cb2dcd4f5318e0f6c95bc8c4095e38a3fee5b7fa0,0x19e3b02bf5ce6d7428d2385c111175508410c6ca,0x51af494f1b4d3f77835951fa827d66fc4a18dae8,0.630204785616943,"crossSwap(uint256 refId, address payable to, SrcInfos srcInfos, DstInfos dstInfos)",2023-06-12 19:47:05
