,chain,hash,from,to,value,method,chain_tx_time
0,ftm,0x93a39b09c6c7fd5b480f216c4895af3133a0026d508315f7a3e8f29459d4b896,0x2adff24d14c8950f149d7c131a311f7f55516c3f,0x1111111254eeb25477b68fb85ed929f73a960582,6.05726,"swap(address executor,tuple desc,bytes permit,byte",2023/6/24 7:27
1,ftm,0xe5ad079d8c9580666c31ce540bc06995c115543f9fe150696544841b95039cda,0x62cb651b949036e547be3e50b402583df9be3204,0x1111111254eeb25477b68fb85ed929f73a960582,6.01874,"swap(address executor,tuple desc,bytes permit,byte",2023/6/24 7:28
2,ftm,0x055e7a87ee79952fd7a00e23c4ef2f107697768af10b4c9cb4e4ac0ba559e132,0xfc226dcbffecdb67ab9b8b1a71d17112051dd296,0x1111111254eeb25477b68fb85ed929f73a960582,6.08402,"swap(address executor,tuple desc,bytes permit,byte",2023/6/24 7:29
3,ftm,0x1ce83c5b2ab9626c7bdd0d5d7bf2f6928dbbfc6fa2af60d809923c36ddab4d2c,0x8dac80645c568c7d2bb7ea2a372b691215576acb,0x1111111254eeb25477b68fb85ed929f73a960582,6.01321,"swap(address executor,tuple desc,bytes permit,byte",2023/6/24 7:30
4,ftm,0xbeba7a064c9a922184b64e95e4b65713a3d163075fa4e238b28fe25cae828628,0xbd1d438124fa797b4ecac9fec2776c7d8a71451c,0x1111111254eeb25477b68fb85ed929f73a960582,6.00803,"swap(address executor,tuple desc,bytes permit,byte",2023/6/24 7:30
5,ftm,0xdb1ef18d55b629245406887c664cf8a66d4bb5996572f2434d9dc6046d52defd,0x4cea13b09bb293f777abca42a216d65ffdcfdb8b,0x1111111254eeb25477b68fb85ed929f73a960582,6.07711,"swap(address executor,tuple desc,bytes permit,byte",2023/6/24 7:30
6,ftm,0xee4264627a936142c65e04d1a14580fdf4a454d806fcfed2bc10e40247e929b7,0x2959e339d37893eb6b9a060265033a35f885d703,0x1111111254eeb25477b68fb85ed929f73a960582,6.0224,"swap(address executor,tuple desc,bytes permit,byte",2023/6/24 7:31
7,ftm,0x3a21de68da27f4f1cd9c697e9ac5fbb190bd73c618f680894de5364c0cd1ed2e,0x26cabbe7cef907f2ed9546cbdc4c4df8b1044b18,0x1111111254eeb25477b68fb85ed929f73a960582,6.02207,"swap(address executor,tuple desc,bytes permit,byte",2023/6/24 7:31
8,ftm,0x4f96154b5464038fcbc7a25b9a3c5a75eea0da9a057b8afe43d1a7c79b5ac518,0xb6d2feb75a881d6f5dc99f6eee37f12f70bfbbea,0x1111111254eeb25477b68fb85ed929f73a960582,6.06121,"swap(address executor,tuple desc,bytes permit,byte",2023/6/24 7:32
9,ftm,0x99f046e05fd4542a87e03ceb2d13a11c233ae74a0c616eb3ece6bd5d2355d9b8,0x19e3b02bf5ce6d7428d2385c111175508410c6ca,0x1111111254eeb25477b68fb85ed929f73a960582,6.02474,"swap(address executor,tuple desc,bytes permit,byte",2023/6/24 7:33
10,ftm,0xb7b635bf40b7b315142823371a869ad691905ada06f2ae76b3a1e85d21858ef7,0x8ef6f85af7ca99ba82c13ec8e900d870b6e9aab8,0x1111111254eeb25477b68fb85ed929f73a960582,6.09457,"swap(address executor,tuple desc,bytes permit,byte",2023/6/24 7:33
11,ftm,0x934ac5bdd3e41cb4efc69cbb12669753926bb6b098f5eca903af43ab2ecb8719,0xd73d13eb6a7f4cdf73e4750328d0e44da88e5680,0x1111111254eeb25477b68fb85ed929f73a960582,6.07608,"swap(address executor,tuple desc,bytes permit,byte",2023/6/24 7:33
12,ftm,0x82f6e51406e68cb1ff4a7d7db6dad97e960856413e2d59b0d62ecf3d56e6ee2f,0x540b50faba4f791c50794c8c18679eeeba5f65c6,0x1111111254eeb25477b68fb85ed929f73a960582,6.06036,"swap(address executor,tuple desc,bytes permit,byte",2023/6/24 7:35
13,ftm,0xac02d8eeb80091c9f27d08a1b4236e8b601b025a74cc3152c1107d2be682102a,0x6f58aab21bb92af3feb3115d31f093d4769bc2f3,0x1111111254eeb25477b68fb85ed929f73a960582,6.08847,"swap(address executor,tuple desc,bytes permit,byte",2023/6/24 7:35
14,ftm,0x8f12945fb7fd8198d79790ff2b96eac6146003ee3b219940c4084218112f67a0,0xd85c3dbd914f44d1489be06601ba7fa99e3864ad,0x1111111254eeb25477b68fb85ed929f73a960582,6.09282,"swap(address executor,tuple desc,bytes permit,byte",2023/6/24 7:36
15,ftm,0x309f7474d3907a43d44b84a74e31a88da74c808f823e8e15d51a596c8c48cebe,0x424537d5b73ff08d0ed2cb9a13cfb64f2081dcdc,0x1111111254eeb25477b68fb85ed929f73a960582,6.08062,"swap(address executor,tuple desc,bytes permit,byte",2023/6/24 7:37
16,ftm,0x0f788c5ce942ca18528ce2838f2051385d7cc59e221189f8332ea89ab2f9d337,0x432b86e55d5a54df4ad1fe8841799dbb1e7b99b4,0x1111111254eeb25477b68fb85ed929f73a960582,6.07193,"swap(address executor,tuple desc,bytes permit,byte",2023/6/24 7:37
17,ftm,0x3bc47fd09641141943b6099e4ccfe09f92836adc4fc7128c7a1851e9fabd0f09,0x890680fda48f46e5f2280bc61821a32bae618dc6,0x1111111254eeb25477b68fb85ed929f73a960582,6.087,"swap(address executor,tuple desc,bytes permit,byte",2023/6/24 7:38
18,ftm,0x7795a01d662350ef4337f4c6f07fc4fdd90e2178650ae7baf70a31397d912a36,0xe044d982807c0c1c6c99e0812b0b3b41c689218d,0x1111111254eeb25477b68fb85ed929f73a960582,6.01889,"swap(address executor,tuple desc,bytes permit,byte",2023/6/24 7:39
19,ftm,0x8ce1ff296516a42e283d0c6013f1e8542bc299792432fc11a7b2d43833ea6fd9,0x8e3c12d6a6732ba31eb49c317f1df6e30da0172f,0x1111111254eeb25477b68fb85ed929f73a960582,6.04446,"swap(address executor,tuple desc,bytes permit,byte",2023/6/24 7:39
