,source_chain,source_transaction_hash,destination_chain,destination_transaction_hash,sender_wallet,source_timestamp_utc,project,native_drop_usd,stargate_swap_usd
0,Optimism,0xaf369780cfc1eedadd0b0101b350c9ea027d42fc0ff89d3cc091f700897242f5,Arbitrum,0x099ab0392ae97f0bfcfe5e1fb1719323246a05cbe0188205fc353731a778eeec,0x0407224fe7a8a6f18408689a519f323ed9be6eff,2023-06-13 19:45:51,Stargate,0.0,3.42337956
1,Core Blockchain Mainnet,0xf0be21028259d3aa60e832addee187b457ba5570ab35e7bd47ca56d3ccc179f3,BNB Chain,0x96a71208d0d65316c470094ab125497f8e3dcd17d7f9e877564bacb621ba390f,0x0407224fe7a8a6f18408689a519f323ed9be6eff,2023-06-09 00:08:45,CoreDAO,0.0,0.0
2,BNB Chain,0x140184e939d23dd290b50f9a4bfe4f77787c2cd23fed28ddadb4d0434f46960c,Arbitrum,0x08ac9d36e9a3a0e1aa016e494f0563a978576d24f3d551f139ffdc48539ffd5a,0x0407224fe7a8a6f18408689a519f323ed9be6eff,2023-06-22 21:05:13,Radiant Capital,0.0,0.0
3,Polygon,0x2c41a5331831c57cdeed2a5088316b02ad26da894039e3fb5a5ed438910fd630,Optimism,0x1dd4116c18e99f81a4192c104e89801bcc9946a183dede7cb4585c3456f13993,0x0407224fe7a8a6f18408689a519f323ed9be6eff,2023-06-12 21:20:07,Stargate,0.0,4.99561035
4,Arbitrum,0x1fdd1d8faa814ff19d4b39f43383934ad3cbac350ae56fccef903442d9708612,BNB Chain,0x09dd974f12aee29d501c5293959c4624c90b85fc54cf03c0eadc8115c9a29052,0x0407224fe7a8a6f18408689a519f323ed9be6eff,2023-06-14 21:45:52,Stargate,0.0,6.09955351
5,Polygon,0x86d2e575dd3a12b8832325e07f7902fdc099aea1a5ad60d229de2a0cfc8e6452,Gnosis,0x5f423dd5f78fe5478921fde5849c083ca8a783d9b0d1ad5250edecbbff29ee87,0x0407224fe7a8a6f18408689a519f323ed9be6eff,2023-06-21 23:23:46,Angle,0.0,0.0
6,BNB Chain,0xe28a5b6dc7bd5defc73752635f83379d35724ac1af8e2e3e7646a61f1b4f17b1,Avalanche,0xe2af5d43425aba7f410310a7bc19a34f8af8facba96ee054a1ff94fb9f9c095b,0x0407224fe7a8a6f18408689a519f323ed9be6eff,2023-06-12 19:03:35,Stargate,0.0,7.35707276
7,BNB Chain,0xfbda6bc91ca0bd8c18577fbebae7a0c0682dde0662b06bf354872b5568ea41f9,Arbitrum,0xfbd97bc93fcf0ed0ac14cf0a3d02baec732d7888eec1b29973889a988ab3fc7e,0x0407224fe7a8a6f18408689a519f323ed9be6eff,2023-06-09 00:13:49,Stargate,0.0,4999.75779496
8,BNB Chain,0x513bc2faddaa98709cc400215895bc9bca0a2e93e95dea304792598f481aacdd,Harmony,0xb489c5149818fe528497ba3a7cf6849efc6f118f6f19ba799fbd2f7fd5f9eb6a,0x0407224fe7a8a6f18408689a519f323ed9be6eff,2023-06-09 00:10:52,Harmony Bridge,0.0,0.0
9,Harmony,0xfc50af0a8f3b313d4eabf4b843e9a260145be9f19c8b4f42a4257f1f243b6fdf,BNB Chain,0x15e2eee2bb1939394242451f56a30da00ba049415d2512a457ebfc68e80adca9,0x0407224fe7a8a6f18408689a519f323ed9be6eff,2023-06-09 00:12:28,Harmony Bridge,0.0,0.0
10,Celo Mainnet,0x0ada5cc8b9fa835b65d9375b4abcb3c399d7751f10bad4cb84bf9debc6a467f7,Polygon,0xb6c2746b2a8f84abd37873a1d1ce296781d8bbc66d7aa08607713ab9c83c36f5,0x0407224fe7a8a6f18408689a519f323ed9be6eff,2023-06-22 17:15:41,Angle,0.0,0.0
11,BNB Chain,0x4abb68085decc169ff42655fb6bb97f7d7cfd50abfc23badce1c0bd4118f1726,Core Blockchain Mainnet,0xd1ba4b229547eea5984e95a7f1350b3e291aec121706a1bc589ee5261c8387cb,0x0407224fe7a8a6f18408689a519f323ed9be6eff,2023-06-09 00:07:04,CoreDAO,0.0,0.0
12,Gnosis,0x549be487f1a392d228e6bb4e2ab9511b7fbf9eb3715f8af72c4bbd071df2afa8,Celo Mainnet,0x9cf1a13de7b849361139dc69cc61767c6c40830b93ed087088281b17a400fd97,0x0407224fe7a8a6f18408689a519f323ed9be6eff,2023-06-22 15:58:25,Angle,0.0,0.0
13,BNB Chain,0xf7c4b77d3be4c98e9d11bc9444034e89d97d90f1db77f5bda32c56731881a8c8,Harmony,0xd8045abfe095116569e15ae54cb9030ba538554c0d464311d675c0b350393aa4,0x0407224fe7a8a6f18408689a519f323ed9be6eff,2023-06-07 18:47:33,Harmony Bridge,0.0,0.0
14,Fantom,0xadec9876672d862a9d0eba04fd744a81e4d20bc1b01450143c8eafb23f23ad34,Moonriver,0x6c86c9092005fd1bbfc129af30abc51d43c136bf50ea31011a55eba56e1a24b0,0x0407224fe7a8a6f18408689a519f323ed9be6eff,2023-06-24 00:45:25,Abracadabra Money,0.0,0.0
15,Arbitrum,0x10c07d1a5b1919c0032a6b0fde8f0668ebf8a7bc7cba2b1f250a9dc55e2aeff1,BNB Chain,0x78c6ebb579d5736796b136f897352ac4d6c54159d3c0aa57b844157ebe21b3fa,0x0407224fe7a8a6f18408689a519f323ed9be6eff,2023-07-05 14:53:22,Stargate,0.0,6.80596074
16,Polygon zkEVM,0xfeebdd6e9b791b09f767f4265accbfa16e9d0e29292a1734019aaf05fd6f3d9a,Polygon,0x33a1b7780299d07a3af69fc766ded40e5b10d1fe0f22b0a417c85ebb86309a91,0x0407224fe7a8a6f18408689a519f323ed9be6eff,2023-06-19 23:03:10,,0.0,0.0
17,BNB Chain,0x6207428931770ef388b00f93b42605844c49a508a3e13879397e3ad0fa673316,Arbitrum,0x9ef25d6bb06420c584a0bc0e5bcd60379cb2fa35a7faffc82e848dc3975952f0,0x0407224fe7a8a6f18408689a519f323ed9be6eff,2023-07-04 16:48:14,Stargate,0.0,6.99483693
18,BNB Chain,0x726f6ad5bedfbbd8494376185f08d4b1dead42bb874fa4f962157922f374e51a,Harmony,0xe8d730f6297c5ed49138642f5e6898434ab0d32972927570d0588e6a783d14f7,0x0407224fe7a8a6f18408689a519f323ed9be6eff,2023-07-05 20:20:24,Harmony Bridge,0.0,0.0
19,BNB Chain,0xcec1a0551412c697e245e298f4aed5a9d35cad64a5fbc89228ac7f2ba3dde18b,Arbitrum,0x0b62ddcb2e36816b7d0991b534ecbb6c1f6560a4ba997245a987c70731bd67b0,0x0407224fe7a8a6f18408689a519f323ed9be6eff,2023-08-31 09:41:19,Stargate,0.0,4.45916819
20,Moonriver,0x0921536e2b4fad4a03aeaaf92617109fe5ae014bec1d27f64cf3bc0a86627c0d,Fantom,0x22b3f61875b2c943b3594eeb65813cb30e5c4c017fc0ef4f932c261f87a5afa3,0x0407224fe7a8a6f18408689a519f323ed9be6eff,2023-06-24 09:24:30,Abracadabra Money,0.0,0.0
21,Avalanche,0x10d21e1fddd155a2d0a056057937d4a3b950fbbbfe7a6e8dc74db2ca9e2a5999,Polygon,0x65f0476d9860c9736f63926ea33509434072256de67358383c627a94b4b77e95,0x0407224fe7a8a6f18408689a519f323ed9be6eff,2023-06-12 19:55:08,Stargate,0.0,6.52852947
22,BNB Chain,0x9d373abcbd8839d86d367c7629db559e176d406e7313c48678f2ac5c6699a2bd,Avalanche,0xce438566756cf463effc633497d0a932901b59c5c46a2e80b41e04a798b4316b,0x19e3b02bf5ce6d7428d2385c111175508410c6ca,2023-06-12 18:56:20,Stargate,0.0,7.61246889
23,Core Blockchain Mainnet,0x59fe92de32a8c2a1b4c6839bc21d047b3720460f95ec74884ba98c53d3ba2b41,BNB Chain,0x5d772df0bca9fc7904928a12a7456b8460a408e41404bae18f5ca90157499808,0x19e3b02bf5ce6d7428d2385c111175508410c6ca,2023-06-07 23:29:33,CoreDAO,0.0,0.0
24,Harmony,0xdd684171b08143efd2c1c02a48f092b9bc2d8b53dcc5ec5d91dd3e82df0d86a5,BNB Chain,0xd057719b0fcfb14408ccb3cf1b700d1c2f6acdad6c2ac9ebf492c01b9b2aec5d,0x19e3b02bf5ce6d7428d2385c111175508410c6ca,2023-07-09 23:29:39,Harmony Bridge,0.0,0.0
25,Polygon,0xca78f718ae1bfd5f3f6b5841792e4a97d2a8d876921f86f4d5062bbaae3dc7cb,Gnosis,0x113ea88b825b8e299a5a38c5a37d38a70e462f7cdec7f735424b05e3dda8b3a2,0x19e3b02bf5ce6d7428d2385c111175508410c6ca,2023-06-21 22:52:29,Angle,0.0,0.0
