,chain,hash,from,to,value,method,chain_tx_time
0,op,0x6a040e91fa13e04215fab0a63a124a0f2961832995a52b26415c946487cc799d,0x2adff24d14c8950f149d7c131a311f7f55516c3f,0xbeae1b06949d033da628ba3e5af267c3e740494b,0.002704662,"crossSwap(uint256 refId,address to,tuple srcInfos,",2023/6/13 5:22
1,op,0x91dd43ed714a0d44591937087efdb681cb446b5873c183918e4b8d09148e54c7,0x62cb651b949036e547be3e50b402583df9be3204,0xbeae1b06949d033da628ba3e5af267c3e740494b,0.002998698,"crossSwap(uint256 refId,address to,tuple srcInfos,",2023/6/13 5:22
2,op,0x6cc86e32220768752ca5fe8765bb0186ffc1db3ba1b9dabf28ab678d150b2756,0xfc226dcbffecdb67ab9b8b1a71d17112051dd296,0xbeae1b06949d033da628ba3e5af267c3e740494b,0.002713294,"crossSwap(uint256 refId,address to,tuple srcInfos,",2023/6/13 5:23
3,op,0xbd3e3772c3468af78c3e3a897f2f8dd2bd51179a258cc08b993ccb846460f617,0x8dac80645c568c7d2bb7ea2a372b691215576acb,0xbeae1b06949d033da628ba3e5af267c3e740494b,0.003135811,"crossSwap(uint256 refId,address to,tuple srcInfos,",2023/6/13 5:23
4,op,0xf4bc6f27673515bdecb3730a72ad0cf58df75d9a1f608b982ea442cb339662aa,0xbd1d438124fa797b4ecac9fec2776c7d8a71451c,0xbeae1b06949d033da628ba3e5af267c3e740494b,0.002980916,"crossSwap(uint256 refId,address to,tuple srcInfos,",2023/6/13 5:23
5,op,0x1bbab62885ce8537e736d8843793471e1a5f91a67c97bb2788e46e33f27fd111,0x4cea13b09bb293f777abca42a216d65ffdcfdb8b,0xbeae1b06949d033da628ba3e5af267c3e740494b,0.002772436,"crossSwap(uint256 refId,address to,tuple srcInfos,",2023/6/13 5:24
6,op,0xd90a21aa75153a87bdf3b664480eabf6538042d5eadeaead5a93bfbd188403e1,0x2959e339d37893eb6b9a060265033a35f885d703,0xbeae1b06949d033da628ba3e5af267c3e740494b,0.002386497,"crossSwap(uint256 refId,address to,tuple srcInfos,",2023/6/13 5:24
7,op,0x85a1a00dbdf6899cb442c4e22fb3328ce6897a322be25ee008902e0ce91d9791,0x26cabbe7cef907f2ed9546cbdc4c4df8b1044b18,0xbeae1b06949d033da628ba3e5af267c3e740494b,0.002364647,"crossSwap(uint256 refId,address to,tuple srcInfos,",2023/6/13 5:25
8,op,0xd55556495e97bf993d954f276b2ba45445b514ed101506ea1d2358cf236b9581,0xb6d2feb75a881d6f5dc99f6eee37f12f70bfbbea,0xbeae1b06949d033da628ba3e5af267c3e740494b,0.002418837,"crossSwap(uint256 refId,address to,tuple srcInfos,",2023/6/13 5:25
9,op,0x4182b5c7846411c97c300fcc09ae4894524b3c1a5b32f87f3232b66f76b93b74,0x19e3b02bf5ce6d7428d2385c111175508410c6ca,0xbeae1b06949d033da628ba3e5af267c3e740494b,0.002852524,"crossSwap(uint256 refId,address to,tuple srcInfos,",2023/6/13 5:26
10,op,0xf089926c724213ca840ba791123027b5f1719897d296e5c76d19ebf67643bbc5,0x8ef6f85af7ca99ba82c13ec8e900d870b6e9aab8,0xbeae1b06949d033da628ba3e5af267c3e740494b,0.002962036,"crossSwap(uint256 refId,address to,tuple srcInfos,",2023/6/13 5:26
11,op,0x49cb885e192f3ec68372b9be50b608f60dd626156169d07d39dff17a5b06cd5a,0xd73d13eb6a7f4cdf73e4750328d0e44da88e5680,0xbeae1b06949d033da628ba3e5af267c3e740494b,0.002628859,"crossSwap(uint256 refId,address to,tuple srcInfos,",2023/6/13 5:26
12,op,0x11272f426d307b577e3bfe5e5ee38f40a93713984390f60f61ce207742b4337a,0x540b50faba4f791c50794c8c18679eeeba5f65c6,0xbeae1b06949d033da628ba3e5af267c3e740494b,0.002323342,"crossSwap(uint256 refId,address to,tuple srcInfos,",2023/6/13 5:27
13,op,0xf3363436de19cd27255963590c062bf579680f5b8c6a08876265841f9b26e47a,0x6f58aab21bb92af3feb3115d31f093d4769bc2f3,0xbeae1b06949d033da628ba3e5af267c3e740494b,0.002415039,"crossSwap(uint256 refId,address to,tuple srcInfos,",2023/6/13 5:27
14,op,0xbdb4284d2ddf549848603518610604392d3791024f24eb14e1ab787c1aa9c0c2,0xd85c3dbd914f44d1489be06601ba7fa99e3864ad,0xbeae1b06949d033da628ba3e5af267c3e740494b,0.002494755,"crossSwap(uint256 refId,address to,tuple srcInfos,",2023/6/13 5:27
15,op,0xc8ec0ee64aa4c5eee005e0ee55e624d6c15e55db638347c48a0371e2a16b5e58,0x424537d5b73ff08d0ed2cb9a13cfb64f2081dcdc,0xbeae1b06949d033da628ba3e5af267c3e740494b,0.002587317,"crossSwap(uint256 refId,address to,tuple srcInfos,",2023/6/13 5:28
16,op,0x5572a1025cddcd5b37f691ff539883ee55abd073a93db74c48196b3870ff1bc7,0x432b86e55d5a54df4ad1fe8841799dbb1e7b99b4,0xbeae1b06949d033da628ba3e5af267c3e740494b,0.002729926,"crossSwap(uint256 refId,address to,tuple srcInfos,",2023/6/13 5:28
17,op,0x93356c3a7fdf18ba4c5e00578c1db5ad330c903023234bd77690f32d276874a9,0x890680fda48f46e5f2280bc61821a32bae618dc6,0xbeae1b06949d033da628ba3e5af267c3e740494b,0.002753187,"crossSwap(uint256 refId,address to,tuple srcInfos,",2023/6/13 5:28
18,op,0x98008a247678bcfddd50e1a64e3d6eeb7e01daea6cdfaf6df7b6bdbc486e853a,0xe044d982807c0c1c6c99e0812b0b3b41c689218d,0xbeae1b06949d033da628ba3e5af267c3e740494b,0.00245794,"crossSwap(uint256 refId,address to,tuple srcInfos,",2023/6/13 5:29
19,op,0xb8e75cc0351354ca73d8f15d52fab8e5e139ac323fce67df14e2981c4cc775c5,0x8e3c12d6a6732ba31eb49c317f1df6e30da0172f,0xbeae1b06949d033da628ba3e5af267c3e740494b,0.00239989,"crossSwap(uint256 refId,address to,tuple srcInfos,",2023/6/13 5:29
20,op,0x5e398ea37ad9d835efe067df43ef42fbaa98a24fc486fead7332dcc56af83e6e,0xca7145393ce2870e65b9556276f92aeffa148ec0,0xbeae1b06949d033da628ba3e5af267c3e740494b,0.002279589,"crossSwap(uint256 refId,address to,tuple srcInfos,",2023/6/13 5:30
