,source_chain,source_transaction_hash,destination_chain,destination_transaction_hash,sender_wallet,source_timestamp_utc,project,native_drop_usd,stargate_swap_usd
0,Optimism,0x7092e7cf58091b4a9911e1d04727cee1b337bb3d3240f5866a3bb520e8910125,Arbitrum,0xf959c643d2e3949d4ce267e3effb46364ccf10bbc34036849125a712dda72802,0x1fe7f3141cc515273511d8ed3f1ec311e187dc72,2023-09-06 06:18:55,Stargate,0.0,2654.09241252
1,Base,0x170f0c200071c97193047ea04c93bfbe5b603ecf0a9bda3eb600452a129c3bee,zkSync Era Mainnet,0xb124e3ea90aeae6a917502f0a1078ff838a594e8c465885d1daf6feab999d244,0x1fe7f3141cc515273511d8ed3f1ec311e187dc72,2023-10-20 11:54:21,Maverick Protocol,0.0,0.0
2,Arbitrum,0x9c2903cedc79c8ae1d80ea89c33eb899ae5e867a960330cbaf3c7e5b6916e818,Optimism,0x858dadc383b3f32d67ca03be13f5e38f6a055056c6b3cb80d084eacae3395ea6,0x1fe7f3141cc515273511d8ed3f1ec311e187dc72,2023-09-06 06:16:31,Stargate,0.0,3.25791581
3,Arbitrum,0x21a66ad95cbd998d1135e15aa79fb1736b1dbddb3d56f92a59b380a2d88877e6,Optimism,0x2b6c33bb0dbb1cc71011f6ae60e7e62600c394607439e304bda3bf30f69b0220,0x1fe7f3141cc515273511d8ed3f1ec311e187dc72,2023-09-06 06:14:16,Stargate,0.02013402,2655.6858225
4,Base,0x126288d9e935823347d0d16b62e1e079aa4cd0074431c5c0b76e14cf52749d19,Linea,0x6a866f473c9b1e2001165eb0e294cc694a646018bf199a3e39d73592c70d4d94,0x1fe7f3141cc515273511d8ed3f1ec311e187dc72,2023-10-20 11:52:13,Stargate,0.0,3.13418534
5,Arbitrum,0x2939df93596d42b9c13ceca357ce4edf1cbaff3b3ee697c0e60114aaa1577e74,Optimism,0x1c87942c6ca1f75be370dd673f1f0e6d91e1b4d22fafd7b279c060f1b1277bb9,0x374c5d50500223196fbca15bc335ffa0ae0c7be6,2023-09-05 22:36:48,Stargate,0.0,3.2525454
6,Optimism,0x917556e9248a29fa74f531cd602bf42a957e55888ad3a7f70c363d0ee837d205,Arbitrum,0x9139ff400abe1081106b077f3c30949c139d9e4c99ea4fc9eafe8c79be8febca,0x374c5d50500223196fbca15bc335ffa0ae0c7be6,2023-09-06 05:19:03,Stargate,0.0,2677.08155605
7,Arbitrum,0xbc287cef8c70860591b74b14fac8f7ee878ecd2c4bc82ea042da883247dd08b6,Optimism,0x53ca28e3ead4c7c7889df40aae07e9454d9d6772c7055d3100597959deb3eb24,0x374c5d50500223196fbca15bc335ffa0ae0c7be6,2023-09-05 22:35:11,Stargate,0.03118135,2677.61757575
8,Base,0x7b3bf785f6a677ce06a73fd66fc67500b07eb7edfb01e2041fd3db412d13c474,zkSync Era Mainnet,0x352b374b3de8f6689752c4ab4e068391b6540f7b720eeaa7532e01eea935a479,0x374c5d50500223196fbca15bc335ffa0ae0c7be6,2023-10-20 11:23:59,Maverick Protocol,0.0,0.0
9,Base,0x8b4f91d16abc3d83a1b8b718259ea1ce7baa522d7488a17d2df80775164d4395,Linea,0x9ad9773d7dd54dc721d0420a6f91bb54d70af9eb26e6d5f2730da02278079bd1,0x374c5d50500223196fbca15bc335ffa0ae0c7be6,2023-10-20 11:21:33,Stargate,0.0,3.13418534
