,id,groupid,line_no,first_relate_chain,first_relate_chain_usegas,second_relate_chain,second_relate_chain_usegas,rankid,total,address,tx_count,maverickprotocol,maverickprotocol_firsttime,maverickprotocol_lasttime,stargate,stargate_firsttime,stargate_lasttime,sum_stargate_swap_usd
0,245908,2.02405E+19,22,op,1.11971893,base,13.82016243,1580602,17.31620089,0x5612a8ba00d58865af803d9f53996cf2316cc9e5,5,1,2023/10/20 12:20,2023/10/20 12:20,4,2023/9/6 6:39,2023/10/20 12:18,5309.78857
1,245907,2.02405E+19,21,op,1.11971893,base,13.82016243,1580003,17.32757139,0x50f3f90b7e22aca39098fb6872c223ed8bc72294,5,1,2023/10/23 10:27,2023/10/23 10:27,4,2023/9/6 5:51,2023/10/23 10:25,5589.182323
2,245906,2.02405E+19,20,op,1.11971893,base,13.82016243,1579984,17.32771028,0xfe052427de50ca48dde381a63a7ba96bce127e39,5,1,2023/10/23 10:29,2023/10/23 10:29,4,2023/9/6 5:51,2023/10/23 10:27,5598.843441
3,245905,2.02405E+19,19,op,1.11971893,base,13.82016243,1576802,17.38334388,0xaa75240ceb0bc499047e739dd65deb612b1bc790,5,1,2023/10/23 10:28,2023/10/23 10:28,4,2023/9/6 5:50,2023/10/23 10:26,5596.827133
4,245904,2.02405E+19,18,op,1.11971893,base,13.82016243,1576331,17.39195629,0x53dd89c7303c8e74567be287c6e3b6e72ba0a554,5,1,2023/10/23 10:28,2023/10/23 10:28,4,2023/9/6 5:50,2023/10/23 10:27,5598.773999
5,245903,2.02405E+19,17,op,1.11971893,base,13.82016243,1575658,17.40387961,0xb80135c04056b7b3074032852a752819dddef85c,5,1,2023/10/20 11:40,2023/10/20 11:40,4,2023/9/6 5:49,2023/10/20 11:38,5322.53526
6,245902,2.02405E+19,16,op,1.11971893,base,13.82016243,1575211,17.41155618,0xa740894edb8390b31832dbd7a370d01b21ea265b,5,1,2023/10/20 11:39,2023/10/20 11:39,4,2023/9/6 5:49,2023/10/20 11:37,5330.473089
7,245901,2.02405E+19,15,op,1.11971893,base,13.82016243,1575210,17.41155618,0xe3c3ea733dca531f3aa56e76d1d562c92f973dfd,5,1,2023/10/20 11:40,2023/10/20 11:40,4,2023/9/6 5:48,2023/10/20 11:38,5322.546764
8,245900,2.02405E+19,14,op,1.11971893,base,13.82016243,1573149,17.4478439,0x1fe7f3141cc515273511d8ed3f1ec311e187dc72,5,1,2023/10/20 11:54,2023/10/20 11:54,4,2023/9/6 6:14,2023/10/20 11:52,5316.170336
9,245899,2.02405E+19,13,op,1.11971893,base,13.82016243,1573148,17.4478439,0xcc16231ee5061a5b3b0351f308f326cd16512c1c,5,1,2023/10/20 11:54,2023/10/20 11:54,4,2023/9/6 6:14,2023/10/20 11:52,5349.320146
10,245898,2.02405E+19,12,op,1.11971893,base,13.82016243,1573147,17.4478439,0x3c3f72d6957e3679e7b1e5b47fb25b5b66abec6a,5,1,2023/10/20 11:54,2023/10/20 11:54,4,2023/9/6 6:14,2023/10/20 11:52,5324.087153
11,245897,2.02405E+19,11,op,1.11971893,base,13.82016243,1573146,17.4478439,0x13de6ea841c9859770339533b89a57a19af23167,5,1,2023/10/20 11:54,2023/10/20 11:54,4,2023/9/6 6:14,2023/10/20 11:52,5328.602952
12,245896,2.02405E+19,10,op,1.11971893,base,13.82016243,1571095,17.48428362,0x006ad87491ab533f0b29e042e46b705635aafc60,5,1,2023/10/20 12:19,2023/10/20 12:19,4,2023/9/6 6:36,2023/10/20 12:18,5317.707367
13,245895,2.02405E+19,9,op,1.11971893,base,13.82016243,1570841,17.48887011,0xe87c479f9703e1add7b044a5703c8e98acaa678b,5,1,2023/10/20 12:20,2023/10/20 12:20,4,2023/9/6 6:35,2023/10/20 12:18,5342.910094
14,245894,2.02405E+19,8,op,1.11971893,base,13.82016243,1570727,17.49098661,0x44560ee620cd1554499773a4304597ac1c9d08cf,5,1,2023/10/20 12:20,2023/10/20 12:20,4,2023/9/6 6:36,2023/10/20 12:18,5322.217752
15,245893,2.02405E+19,7,op,1.11971893,base,13.82016243,1570726,17.49098661,0x4607ededecf30edecec292c546552a527342f59c,5,1,2023/10/20 12:20,2023/10/20 12:20,4,2023/9/6 6:36,2023/10/20 12:18,5309.800049
16,245892,2.02405E+19,6,op,1.11971893,base,13.82016243,1564947,17.59371775,0x91f1402339099422bb13cd9acb3b4245258f5211,5,1,2023/10/21 4:39,2023/10/21 4:39,4,2023/9/6 7:02,2023/10/21 4:31,5303.510508
17,245891,2.02405E+19,5,op,1.11971893,base,13.82016243,1564946,17.59371775,0x3a657a1911415ffce0e9692a0304225e4dbca849,5,1,2023/10/21 4:39,2023/10/21 4:39,4,2023/9/6 7:03,2023/10/21 4:31,5336.580831
18,245890,2.02405E+19,4,op,1.11971893,base,13.82016243,1478483,19.16196096,0x57d89cc2f4183ba85d9f6a48639f66bb7f0adb71,5,1,2023/10/20 11:24,2023/10/20 11:24,4,2023/9/5 22:35,2023/10/20 11:21,5341.925978
19,245889,2.02405E+19,3,op,1.11971893,base,13.82016243,1447700,19.74463195,0x374c5d50500223196fbca15bc335ffa0ae0c7be6,5,1,2023/10/20 11:23,2023/10/20 11:23,4,2023/9/5 22:35,2023/10/20 11:21,5361.085863
20,245888,2.02405E+19,2,op,1.11971893,base,13.82016243,1447699,19.74463195,0xff503580dab53c20eda81d93ef8deb87407280a8,5,1,2023/10/20 11:24,2023/10/20 11:24,4,2023/9/5 22:35,2023/10/20 11:21,5335.797277
21,245887,2.02405E+19,1,op,1.11971893,base,13.82016243,1447409,19.75016812,0x10fee8bc6efa5d60ba852c315bd7f360b28fae97,5,1,2023/10/20 11:24,2023/10/20 11:24,4,2023/9/5 22:34,2023/10/20 11:21,5329.462278
