,chain,hash,from,to,value,method,chain_tx_time
0,base,0x3c4fd6bd366cdfc5f4bb05502e137e1e1a3edb1fc25984ed8b47bac1d8a95826,0x0e71f2e71f9b619cf5a6e6016bf963768dbfb952,0x1fc10ef15e041c5d3c54042e52eb0c54cb9b710c,0,mint(bytes signature),2023/7/23 9:47
1,base,0xea22b1fa949713f5564636c54a082c2e489ad2dc0ef6c51775bc591ffacd78b0,0x0a58f2922df182fe26fc9741bbfeec43aa904f61,0x1fc10ef15e041c5d3c54042e52eb0c54cb9b710c,0,mint(bytes signature),2023/7/23 9:48
2,base,0xfeb150796700c74464bf529ce83d5a9756121c9ff870f3c6bcce378d1580a705,0x42f87b84778b07332593bb147fb86af26f16dde0,0x1fc10ef15e041c5d3c54042e52eb0c54cb9b710c,0,mint(bytes signature),2023/7/23 9:52
3,base,0x55076cfd9568507a735053dd374b7e64e52d80c5a98ee0f6ec2ff74d17e84dcb,0x3db55acdbfd87b436a8d6a991f17e656230d263d,0x1fc10ef15e041c5d3c54042e52eb0c54cb9b710c,0,mint(bytes signature),2023/7/23 9:53
4,base,0x6faea4edb753e5976431f3fb44e9da0063cc8cc45e1396c73057630af898f3fc,0x7cd43a7175cf7dcf4067e78f86dbd9a97aaa9b2b,0x1fc10ef15e041c5d3c54042e52eb0c54cb9b710c,0,mint(bytes signature),2023/7/24 6:18
5,base,0x0806833c345fb7af2abbde18553698b46c07489c4ef396704622c4197391d795,0x2c881ea9620740cbd33ec8ea4e2b5a25bac9d656,0x1fc10ef15e041c5d3c54042e52eb0c54cb9b710c,0,mint(bytes signature),2023/7/24 6:21
6,base,0x81aa80c9b7c821b966b7e678e3ab1e93e3b8c03958f97b8a9babcb644c188071,0x337377748fc499c4af48ded1327e58fac953776e,0x1fc10ef15e041c5d3c54042e52eb0c54cb9b710c,0,mint(bytes signature),2023/7/24 6:22
7,base,0xc88b5e349505a982ea81d92ae7e156230b32528f8c18d48d9eaa44d8e7354f76,0x5f36fc889791bca0429f73d97f4080ec74189497,0x1fc10ef15e041c5d3c54042e52eb0c54cb9b710c,0,mint(bytes signature),2023/7/24 6:23
8,base,0x45296daa15a876916c877cec42e6a3d20cecb93d37327ff637664d3854a821b3,0x7e0af69c971cfc7691e11c0cc441d0a2bb423bbc,0x1fc10ef15e041c5d3c54042e52eb0c54cb9b710c,0,mint(bytes signature),2023/7/24 6:24
9,base,0x81f157fbc01e5e02cdd3f30154be5346216d7deb5a53cf97103e2a5b0064a5f6,0x1145ef968bb4c7965017795b0e071058e91bf314,0x1fc10ef15e041c5d3c54042e52eb0c54cb9b710c,0,mint(bytes signature),2023/7/24 6:26
10,base,0xea484ab39de427576a745cbdcd7c40ec576038ed68473ae6e513a3554f18c5e3,0xbb957ac2d26e73e08dd7cf6cb1a6caa06d620f67,0x1fc10ef15e041c5d3c54042e52eb0c54cb9b710c,0,mint(bytes signature),2023/7/24 6:29
11,base,0xbe19e863c4f50eb9bc0069655ab2e368444590d07220bd3914d1b1f7978493a7,0xafa76130ed6976f2d39bfb748cdc07173cf6fc5d,0x1fc10ef15e041c5d3c54042e52eb0c54cb9b710c,0,mint(bytes signature),2023/7/24 6:31
12,base,0xdcda881b48855294eab475b21bd1f996c8f7f01dd1b272403d06ed8bcb2f7415,0x13caee5282286622202846ae6874ff4ec83300f7,0x1fc10ef15e041c5d3c54042e52eb0c54cb9b710c,0,mint(bytes signature),2023/7/24 7:56
13,base,0x1532fa029da0c134de6dc14902b33d61d1c86db08f81541d04a10d483e030039,0x6df4638e86ff056e0e14ec34e35ab8199047fd06,0x1fc10ef15e041c5d3c54042e52eb0c54cb9b710c,0,mint(bytes signature),2023/7/24 8:43
14,base,0x70d1aaa9865d96999090577f36e8c617053ed69faabf75fd9079b2da84f70eb4,0xfee54e3a6c0973bb28350c23ae470ce5e012b316,0x1fc10ef15e041c5d3c54042e52eb0c54cb9b710c,0,mint(bytes signature),2023/7/24 8:45
15,base,0xab9aeff5462b3d605493851eb18959cd8325971f79f4fd97c01840f50b9667d2,0x203c7f623cad4cdb958db663d23865fddcedf296,0x1fc10ef15e041c5d3c54042e52eb0c54cb9b710c,0,mint(bytes signature),2023/7/24 8:50
16,base,0x50d4fac4f9be61efa97a5bd0f0ad363561fd2b2899837ea57cbce3d7d7816431,0x08938900cb8281329d429bab74b0841ea3c4a3fe,0x1fc10ef15e041c5d3c54042e52eb0c54cb9b710c,0,mint(bytes signature),2023/7/24 8:52
17,base,0x50d55c48ebcb62f349d8ae92ac2f622f032560c9379d2a501be770fb501b9a0c,0x233e5d1a88f6d26abdbafa435b262ed58fb5838a,0x1fc10ef15e041c5d3c54042e52eb0c54cb9b710c,0,mint(bytes signature),2023/7/24 8:53
18,base,0xe8955b17257f3337c5cff984881955bd9d3fd0a969d1db03ed1924705d03dba5,0xc1b47848da64831672e9410c7ade564470b1ced4,0x1fc10ef15e041c5d3c54042e52eb0c54cb9b710c,0,mint(bytes signature),2023/7/24 21:54
19,base,0x098e90e392d552b295a0a1e65f8007850206db4dc9fcbebbea264187200d90a5,0x992eb6c061e53f424fb6bb645b78c2166ea43146,0x1fc10ef15e041c5d3c54042e52eb0c54cb9b710c,0,mint(bytes signature),2023/7/25 5:30
20,base,0xbc7cd8c2237a09e6f91bad24d0ee61817eb32b0c72366eaeb72eff21c47a2353,0xe602232dc745ab6f12ded067938baf34f4a2bcda,0x1fc10ef15e041c5d3c54042e52eb0c54cb9b710c,0,mint(bytes signature),2023/7/25 5:32
21,base,0xf9e9ae53026689bbafb0f20e6fa252bdcf0e6587e8e0839565ae5b6e237e2a1d,0xc503a95a3b43fd8279677ea504f518539b1de554,0x1fc10ef15e041c5d3c54042e52eb0c54cb9b710c,0,mint(bytes signature),2023/7/25 5:34
22,base,0x55907ef34621b9c4739096058b175783210264f0ca2ef285140764a9a75abaf4,0xad2e14e2e5bfd6b7efd765f15b14f8f7d580d049,0x1fc10ef15e041c5d3c54042e52eb0c54cb9b710c,0,mint(bytes signature),2023/7/25 7:24
23,base,0x5a70369015e73fcb10329418e6cfdb23804cda2d3a3f9e65e2703e21aec23562,0xd4b55b6f302d840cbb1003bcac7af98c2726108e,0x1fc10ef15e041c5d3c54042e52eb0c54cb9b710c,0,mint(bytes signature),2023/7/25 7:25
24,base,0xdef7c86e682ae9237bc2978e5d9d2f10114236d82b972a28af1e6e155bf6d777,0x8aee1c3b1511d1d53db8b6001b018477f79cc662,0x1fc10ef15e041c5d3c54042e52eb0c54cb9b710c,0,mint(bytes signature),2023/7/25 7:26
25,base,0x719e36d152c2b3d1ea870cfc3ec54dd326d2c21baa0e6d17d864a0307ea4b1f0,0x41f4ef73fa2ab71f7b51a6698ded27852ed10e23,0x1fc10ef15e041c5d3c54042e52eb0c54cb9b710c,0,mint(bytes signature),2023/7/25 8:05
26,base,0x560f216524a2fe8b192649a283cf8f06c7a3853ecdb5d864c691ae5606e00be0,0x4ee2553275cb9267c4a6f13883fb8e1f68992f4e,0x1fc10ef15e041c5d3c54042e52eb0c54cb9b710c,0,mint(bytes signature),2023/7/25 8:05
27,base,0x53643ac8c058b6e66e4478b2188d1677f5c47b207a9a25ab9cf9d240b9aaf15e,0x90a628703fcf639511443827fc98fe4c307e2e6a,0x1fc10ef15e041c5d3c54042e52eb0c54cb9b710c,0,mint(bytes signature),2023/7/26 6:55
28,base,0x00dd4a4a0043bcdf0e716747a567d8eecd7353dce6c0527c7a2f0f7f167900ca,0x6b1aa5d6196089a1804067f375bf6873bee09c2c,0x1fc10ef15e041c5d3c54042e52eb0c54cb9b710c,0,mint(bytes signature),2023/7/26 6:56
29,base,0x47c0c1d913733e89554a560432a981f5e63cd515627eb3ab71c51b47d713933e,0xbdca938be0aa323b1340c1149f1a0b3bb6f721dd,0x1fc10ef15e041c5d3c54042e52eb0c54cb9b710c,0,mint(bytes signature),2023/7/26 6:57
30,base,0x53e7bb851de1624470a0d0321cff2fbd80625ef2a9a9d51daa230daa2878fe93,0x3e39aeeb7ddeca6a8cf93b45fa75e153b95a463e,0x1fc10ef15e041c5d3c54042e52eb0c54cb9b710c,0,mint(bytes signature),2023/7/26 6:57
31,base,0x6af21f4132764e598f01ec16566e621edc32086479f389331ff235bdc8dcead1,0xd01693b9ad8f7559942cce92119d5275c76e3c1e,0x1fc10ef15e041c5d3c54042e52eb0c54cb9b710c,0,mint(bytes signature),2023/7/26 6:57
32,base,0x5c7367e64f593a70f6fc3463201c9691144acaa93ff850bd668560f53c3fa69c,0x5464eb5d76a8180d4c088a854e51573494e82767,0x1fc10ef15e041c5d3c54042e52eb0c54cb9b710c,0,mint(bytes signature),2023/7/26 6:57
