,id,groupid,line_no,first_relate_chain,first_relate_chain_usegas,second_relate_chain,second_relate_chain_usegas,rankid,total,address,tx_count,noprotocol,noprotocol_firsttime,noprotocol_lasttime,stargate,stargate_firsttime,stargate_lasttime,l2marathon,l2marathon_firsttime,l2marathon_lasttime,sum_stargate_swap_usd
0,258492,2.02405E+19,45,op,4.10353706,zkevm,3.22458306,947781,31.87381127,0xad2e14e2e5bfd6b7efd765f15b14f8f7d580d049,34,29,2023/8/12 14:34,2024/4/9 21:32,4,2023/10/4 21:41,2023/11/20 1:09,1,2023/7/24 21:40,2023/7/24 21:40,130.8169418
1,258491,2.02405E+19,44,op,4.10353706,zkevm,3.22458306,947663,31.87738063,0x41f4ef73fa2ab71f7b51a6698ded27852ed10e23,34,29,2023/8/12 14:30,2024/4/9 21:33,4,2023/10/4 21:38,2023/11/20 1:15,1,2023/7/24 23:34,2023/7/24 23:34,132.0171958
2,258490,2.02405E+19,43,op,4.10353706,zkevm,3.22458306,946853,31.90334021,0xc503a95a3b43fd8279677ea504f518539b1de554,34,29,2023/8/12 13:52,2024/4/9 21:34,4,2023/10/4 21:43,2023/11/20 1:11,1,2023/7/24 21:02,2023/7/24 21:02,131.6191774
3,258489,2.02405E+19,42,op,4.10353706,zkevm,3.22458306,946852,31.90334109,0x90a628703fcf639511443827fc98fe4c307e2e6a,34,29,2023/8/12 13:54,2024/4/9 21:33,4,2023/10/4 21:42,2023/11/20 1:07,1,2023/7/25 21:12,2023/7/25 21:12,132.7879384
4,258488,2.02405E+19,41,op,4.10353706,zkevm,3.22458306,946850,31.90337919,0xd01693b9ad8f7559942cce92119d5275c76e3c1e,34,29,2023/8/12 13:52,2024/4/9 21:33,4,2023/10/4 21:42,2023/11/20 1:10,1,2023/7/25 21:15,2023/7/25 21:15,131.8901631
5,258487,2.02405E+19,40,op,4.10353706,zkevm,3.22458306,946743,31.90694484,0xbdca938be0aa323b1340c1149f1a0b3bb6f721dd,34,29,2023/8/12 13:54,2024/4/9 21:34,4,2023/10/4 21:42,2023/11/20 1:08,1,2023/7/25 21:36,2023/7/25 21:36,132.4920914
6,258486,2.02405E+19,39,op,4.10353706,zkevm,3.22458306,946740,31.90697982,0x6b542f79ef1e8d0c135b201b34238b2a2d4064b5,34,29,2023/8/12 13:54,2024/4/9 21:32,4,2023/10/4 21:38,2023/11/20 1:15,1,2023/7/30 21:55,2023/7/30 21:55,131.3838088
7,258485,2.02405E+19,38,op,4.10353706,zkevm,3.22458306,946294,31.92067281,0x28d0926a10cc03807d3f2eb1cbada70fe755ff67,34,29,2023/8/12 14:24,2024/4/9 21:32,4,2023/10/4 21:42,2023/11/20 1:08,1,2023/7/30 21:56,2023/7/30 21:56,131.3586457
8,258484,2.02405E+19,37,op,4.10353706,zkevm,3.22458306,946161,31.92427578,0x92c4d238f909842b49d59e6cebb75846969b729c,34,29,2023/8/12 14:29,2024/4/9 21:32,4,2023/10/4 21:38,2023/11/20 1:11,1,2023/7/25 22:59,2023/7/25 22:59,131.9252844
9,258483,2.02405E+19,36,op,4.10353706,zkevm,3.22458306,943795,32.00652376,0xd4b55b6f302d840cbb1003bcac7af98c2726108e,34,29,2023/8/12 14:34,2024/4/9 21:33,4,2023/10/4 21:42,2023/11/20 1:17,1,2023/7/24 21:40,2023/7/24 21:40,131.5596701
10,258482,2.02405E+19,35,op,4.10353706,zkevm,3.22458306,943278,32.02237741,0xfcad2cfc834ef276f2187de2b649096ffbc26adf,34,29,2023/8/12 14:28,2024/4/9 21:32,4,2023/10/4 21:40,2023/11/20 1:09,1,2023/7/25 21:17,2023/7/25 21:17,130.5210969
11,258481,2.02405E+19,34,op,4.10353706,zkevm,3.22458306,942827,32.03751378,0xa348ff65406a7ccdc054492aa2b778433b2b09d9,34,29,2023/8/12 14:28,2024/4/9 21:34,4,2023/10/4 21:56,2023/11/20 1:12,1,2023/7/25 22:59,2023/7/25 22:59,131.1547117
12,258480,2.02405E+19,33,op,4.10353706,zkevm,3.22458306,942353,32.05279611,0xd33471ef6dc2af104da8e087071010afd2ec76e7,34,29,2023/8/12 13:52,2024/4/9 21:33,4,2023/10/4 21:40,2023/11/20 1:10,1,2023/7/30 21:52,2023/7/30 21:52,132.8230143
13,258479,2.02405E+19,32,op,4.10353706,zkevm,3.22458306,941779,32.07113134,0x905b6b537f03e71145f3cff47bcc9e448394f78b,34,29,2023/8/12 14:27,2024/4/9 21:33,4,2023/10/4 21:55,2023/11/20 1:09,1,2023/7/30 21:54,2023/7/30 21:54,131.9604649
14,258478,2.02405E+19,31,op,4.10353706,zkevm,3.22458306,941702,32.07372718,0x4ee2553275cb9267c4a6f13883fb8e1f68992f4e,34,29,2023/8/12 13:52,2024/4/9 21:33,4,2023/10/4 21:39,2023/11/20 1:09,1,2023/7/24 23:33,2023/7/24 23:33,130.8169502
15,258477,2.02405E+19,30,op,4.10353706,zkevm,3.22458306,941701,32.07376462,0x5464eb5d76a8180d4c088a854e51573494e82767,34,29,2023/8/12 13:53,2024/4/9 21:33,4,2023/10/4 21:40,2023/11/20 1:09,1,2023/7/25 21:16,2023/7/25 21:16,130.9223342
16,258476,2.02405E+19,29,op,4.10353706,zkevm,3.22458306,941604,32.07733105,0x433a8498c5b243d964287c89578ce09fe07ab2b7,34,29,2023/8/12 13:53,2024/4/9 21:33,4,2023/10/4 21:38,2023/11/20 1:15,1,2023/7/25 22:58,2023/7/25 22:58,132.2178047
17,258475,2.02405E+19,28,op,4.10353706,zkevm,3.22458306,941509,32.08057728,0x8a7ecbb4dd114444c71a3aaecc5848286bf07717,34,29,2023/8/12 14:26,2024/4/9 21:34,4,2023/10/4 21:54,2023/11/20 1:14,1,2023/7/30 21:53,2023/7/30 21:53,132.323066
18,258474,2.02405E+19,27,op,4.10353706,zkevm,3.22458306,941493,32.08105794,0xe602232dc745ab6f12ded067938baf34f4a2bcda,34,29,2023/8/12 13:52,2024/4/9 21:34,4,2023/10/4 21:42,2023/11/20 1:07,1,2023/7/24 14:14,2023/7/24 14:14,131.0526731
19,258473,2.02405E+19,26,op,4.10353706,zkevm,3.22458306,941295,32.08748544,0x4a58b29f6c59dfca0a216166bf1a0aba9dac56a5,34,29,2023/8/12 14:26,2024/4/9 21:34,4,2023/10/4 21:42,2023/11/20 1:08,1,2023/7/30 21:57,2023/7/30 21:57,132.9886028
20,258472,2.02405E+19,25,op,4.10353706,zkevm,3.22458306,941293,32.08751862,0x8772c73787cf55966da02ce4fcde53d5b4800048,34,29,2023/8/12 14:21,2024/4/9 21:34,4,2023/10/4 21:54,2023/11/20 1:17,1,2023/7/30 21:56,2023/7/30 21:56,132.3269572
21,258471,2.02405E+19,24,op,4.10353706,zkevm,3.22458306,941177,32.09105531,0x8aee1c3b1511d1d53db8b6001b018477f79cc662,34,29,2023/8/12 14:27,2024/4/9 21:34,4,2023/10/4 21:41,2023/11/20 1:10,1,2023/7/24 21:41,2023/7/24 21:41,132.3265378
22,258470,2.02405E+19,23,op,4.10353706,zkevm,3.22458306,941176,32.09105855,0xc1b47848da64831672e9410c7ade564470b1ced4,34,29,2023/8/12 14:20,2024/4/9 21:34,4,2023/10/4 21:41,2023/11/20 1:14,1,2023/7/24 12:50,2023/7/24 12:50,130.718352
23,258469,2.02405E+19,22,op,4.10353706,zkevm,3.22458306,941067,32.09465882,0x992eb6c061e53f424fb6bb645b78c2166ea43146,34,29,2023/8/12 14:20,2024/4/9 21:32,4,2023/10/4 21:41,2023/11/20 1:07,1,2023/7/24 14:01,2023/7/24 14:01,131.6896606
24,258468,2.02405E+19,21,op,4.10353706,zkevm,3.22458306,937739,32.20570232,0x5a7bcb396621abb7fbd0d93fc3c420b9329eeea4,34,29,2023/8/12 14:26,2024/4/9 21:32,4,2023/10/4 21:42,2023/11/20 1:14,1,2023/7/25 22:58,2023/7/25 22:58,130.4825736
25,258467,2.02405E+19,20,op,4.10353706,zkevm,3.22458306,937284,32.22023589,0x3e39aeeb7ddeca6a8cf93b45fa75e153b95a463e,34,29,2023/8/12 14:27,2024/4/9 21:34,4,2023/10/4 21:42,2023/11/20 1:17,1,2023/7/25 21:16,2023/7/25 21:16,130.5214526
26,258466,2.02405E+19,19,op,4.10353706,zkevm,3.22458306,934998,32.29475498,0x6b1aa5d6196089a1804067f375bf6873bee09c2c,34,29,2023/8/12 14:29,2024/4/9 21:32,4,2023/10/4 21:42,2023/11/20 1:07,1,2023/7/25 21:13,2023/7/25 21:13,131.5241512
27,258465,2.02405E+19,18,op,4.10353706,zkevm,3.22458306,851304,35.23893173,0x6df4638e86ff056e0e14ec34e35ab8199047fd06,34,29,2023/8/12 14:31,2024/4/9 21:33,4,2023/10/4 21:38,2023/11/20 1:11,1,2023/7/23 23:58,2023/7/23 23:58,130.9572659
28,258464,2.02405E+19,17,op,4.10353706,zkevm,3.22458306,850691,35.26072492,0x337377748fc499c4af48ded1327e58fac953776e,34,29,2023/8/12 14:02,2024/4/9 21:34,4,2023/10/4 21:42,2023/11/20 1:08,1,2023/7/23 21:13,2023/7/23 21:13,130.5210734
29,258463,2.02405E+19,16,op,4.10353706,zkevm,3.22458306,850546,35.26538259,0x1145ef968bb4c7965017795b0e071058e91bf314,34,29,2023/8/12 14:03,2024/4/9 21:32,4,2023/10/4 21:41,2023/11/20 1:08,1,2023/7/23 21:15,2023/7/23 21:15,132.2915248
30,258462,2.02405E+19,15,op,4.10353706,zkevm,3.22458306,850545,35.26538309,0x7cd43a7175cf7dcf4067e78f86dbd9a97aaa9b2b,34,29,2023/8/12 14:04,2024/4/9 21:33,4,2023/10/4 21:42,2023/11/20 1:07,1,2023/7/23 21:11,2023/7/23 21:11,132.090857
31,258461,2.02405E+19,14,op,4.10353706,zkevm,3.22458306,850457,35.26849556,0x13caee5282286622202846ae6874ff4ec83300f7,34,29,2023/8/12 13:54,2024/4/9 21:33,4,2023/10/4 21:42,2023/11/20 1:16,1,2023/7/23 22:35,2023/7/23 22:35,131.7850176
