,chain,hash,from,to,value,method,chain_tx_time
0,linea,0x8a2839b9d1066ba5a303620dbd76316f6743cbdacae28abd88f036bed07199b7,0xe4edb277e41dc89ab076a1f049f4a3efa700bce8,0x0e71f2e71f9b619cf5a6e6016bf963768dbfb952,0.020123,Transfer,2023-07-29 09:04:11
1,linea,0xf3e77c651e7b72bd0269ad232755fbf8cdfffe19d128a283ea1be9f8d0bc761e,0xe4edb277e41dc89ab076a1f049f4a3efa700bce8,0x0a58f2922df182fe26fc9741bbfeec43aa904f61,0.020124,Transfer,2023-07-29 09:04:35
2,linea,0x130d9396ab21ff4b1544cc8946343145fc59621e3f127946e5e11a36116a6c50,0xe4edb277e41dc89ab076a1f049f4a3efa700bce8,0x42f87b84778b07332593bb147fb86af26f16dde0,0.020434,Transfer,2023-07-29 09:06:11
3,linea,0x63a4db11ae60476c92932d296cd379b55ff12e9c326e262ba660c8cf685a68a1,0xe4edb277e41dc89ab076a1f049f4a3efa700bce8,0x3db55acdbfd87b436a8d6a991f17e656230d263d,0.021434,Transfer,2023-07-29 09:06:23
4,linea,0x7784dffd49b924a122fb1fbb1a76a6d5f3879bcc44f88d70be1ef78331165984,0x80c67432656d59144ceff962e8faf8926599bcf8,0x7cd43a7175cf7dcf4067e78f86dbd9a97aaa9b2b,0.01982,Transfer,2023-07-30 05:23:51
5,linea,0x76ffa31f3f94e8802ba778e2ecda0a401121fee61e485c5c7cc95538ab7335d1,0x80c67432656d59144ceff962e8faf8926599bcf8,0x2c881ea9620740cbd33ec8ea4e2b5a25bac9d656,0.019973,Transfer,2023-07-30 05:24:39
6,linea,0x670bfb3b6e05c8d3ffddbc487bdbd90b6abc1225f488f1f2f43e0f8d04d63293,0x80c67432656d59144ceff962e8faf8926599bcf8,0x337377748fc499c4af48ded1327e58fac953776e,0.02,Transfer,2023-07-30 05:25:15
7,linea,0x12e00cab9e2980f1bfceed4f73cbaf3f9bfffa681dd64464b2e3a602d39b7925,0x80c67432656d59144ceff962e8faf8926599bcf8,0x5f36fc889791bca0429f73d97f4080ec74189497,0.02005,Transfer,2023-07-30 05:25:27
8,linea,0x1ed0218f1cd58d63a9d1b5cdf28eeb88b318af478070b8e75d7bd4123a973fd9,0x80c67432656d59144ceff962e8faf8926599bcf8,0x7e0af69c971cfc7691e11c0cc441d0a2bb423bbc,0.02015,Transfer,2023-07-30 05:25:39
9,linea,0x98590ddac35d72aaf7c569dc01c9643cf773fd8983f5d8415b4aab2dbdc1e777,0x80c67432656d59144ceff962e8faf8926599bcf8,0x1145ef968bb4c7965017795b0e071058e91bf314,0.02115,Transfer,2023-07-30 05:26:03
10,linea,0x70dfa82e87fc30d96ed11c05817d04d3039bb3871fcfcaa70e90c2ee44c8ffb0,0x80c67432656d59144ceff962e8faf8926599bcf8,0xbb957ac2d26e73e08dd7cf6cb1a6caa06d620f67,0.02105,Transfer,2023-07-30 05:26:15
11,linea,0x405dd9a228998afc28a3ed1f8f86c9a6c0ee5376bd0fc3caf383a6a4e74fe918,0x80c67432656d59144ceff962e8faf8926599bcf8,0xafa76130ed6976f2d39bfb748cdc07173cf6fc5d,0.02115,Transfer,2023-07-30 05:26:39
12,linea,0x313c553c39b391586875d74bf8125dc3157623b92ca667f6959ea8d100547601,0x80c67432656d59144ceff962e8faf8926599bcf8,0x13caee5282286622202846ae6874ff4ec83300f7,0.021999,Transfer,2023-07-30 05:27:27
13,linea,0xaba5dc9dff52680872406734064761dba39bdf9b789b956d565b37f50705dd6c,0x80c67432656d59144ceff962e8faf8926599bcf8,0x6df4638e86ff056e0e14ec34e35ab8199047fd06,0.020656,Transfer,2023-07-30 05:27:39
14,linea,0xf19c5011ab8c0139bb45a90493c8ac8f7baac26471d88181d3886161ec1a2579,0x80c67432656d59144ceff962e8faf8926599bcf8,0xfee54e3a6c0973bb28350c23ae470ce5e012b316,0.020657,Transfer,2023-07-30 05:27:51
15,linea,0x5495d7de6eb568967be4a98fa6cfc72277db383269ef12eb1ecfb2b7add01706,0x80c67432656d59144ceff962e8faf8926599bcf8,0x203c7f623cad4cdb958db663d23865fddcedf296,0.019888,Transfer,2023-07-30 05:28:27
