,chain,hash,from,to,value,method,chain_tx_time
0,zksync,0x2547dc9f0def001590af906e5130bc19d53a3e2924fe3caf186fd613f7c9c75d,0xe4edb277e41dc89ab076a1f049f4a3efa700bce8,0x8aee1c3b1511d1d53db8b6001b018477f79cc662,0.05,Transfer,2023-06-16 20:56:47.624
1,zksync,0xccab85a5ab4c525557f8c1c26ca1bd851aa18da2b052022df777bf300e1d7394,0x8aee1c3b1511d1d53db8b6001b018477f79cc662,0x2da10a1e27bf85cedd8ffb1abbe97e53391c0295,0.01,Transfer,2023-06-16 21:04:32.729
2,zksync,0xcb4ae94b66834b80d48cbd00ba89ab399e27537299ccb04d6db9b832f4e653ad,0x8aee1c3b1511d1d53db8b6001b018477f79cc662,0x2da10a1e27bf85cedd8ffb1abbe97e53391c0295,0.00987936306537588,Transfer,2023-06-16 21:06:14.555
3,zksync,0xcb4ae94b66834b80d48cbd00ba89ab399e27537299ccb04d6db9b832f4e653ad,0x8aee1c3b1511d1d53db8b6001b018477f79cc662,0x621425a1ef6abe91058e9712575dcc4258f8d091,1.7e-11,Bridged USDC (zkSync),2023-06-16 21:06:14.555
4,zksync,0x18f0cae4be12fc49706e75c67503efbb350fcc49b4eca7e9310ecb648738c4ab,0x80c67432656d59144ceff962e8faf8926599bcf8,0x0e71f2e71f9b619cf5a6e6016bf963768dbfb952,0.0548,Transfer,2023-06-20 22:40:43.856
5,zksync,0x40844e2f5107e59fd276b4319d34cfea7955d9ead0cd8647cf5095e437adaf96,0x80c67432656d59144ceff962e8faf8926599bcf8,0x0a58f2922df182fe26fc9741bbfeec43aa904f61,0.0552,Transfer,2023-06-20 22:41:26.760
6,zksync,0x7bbedf780a21a3fcd836c6709838ebc86c2c96e5294032be53f270015c4909c5,0x80c67432656d59144ceff962e8faf8926599bcf8,0x42f87b84778b07332593bb147fb86af26f16dde0,0.0544,Transfer,2023-06-20 22:44:17.894
7,zksync,0x0caf131ade746996c9c75498bd87f741802c0597fd882811f8f865ecd29b48f0,0x80c67432656d59144ceff962e8faf8926599bcf8,0x3db55acdbfd87b436a8d6a991f17e656230d263d,0.0554,Transfer,2023-06-20 22:45:20.241
8,zksync,0x21cdc0f64f1e3acc7de639ff2a94978a71b0b2cfd7f41c31a9cef5cfe3bdaab8,0x80c67432656d59144ceff962e8faf8926599bcf8,0x7cd43a7175cf7dcf4067e78f86dbd9a97aaa9b2b,0.0543,Transfer,2023-06-20 22:46:27.789
9,zksync,0x6a6506f7627d1f9b31a2936ccf213602ea769db2c3b4a570e009dbc131ffbc3c,0x80c67432656d59144ceff962e8faf8926599bcf8,0x2c881ea9620740cbd33ec8ea4e2b5a25bac9d656,0.0542,Transfer,2023-06-20 22:48:12.177
10,zksync,0xa2d9e226639c20abb52ea1b1b1fc077969249e56e5a1460017d9cf9ddc46474c,0x80c67432656d59144ceff962e8faf8926599bcf8,0x337377748fc499c4af48ded1327e58fac953776e,0.0552,Transfer,2023-06-20 22:48:32.689
11,zksync,0xf15d164277116b1db5abeab9721e0bc129ae0353ac71bea109ef2e0019976f09,0x80c67432656d59144ceff962e8faf8926599bcf8,0x5f36fc889791bca0429f73d97f4080ec74189497,0.0559,Transfer,2023-06-20 22:49:33.232
12,zksync,0x0d59388f8b7401a9d9629746591011e1c225c881979e67f7f5304bf078e6db2a,0x80c67432656d59144ceff962e8faf8926599bcf8,0x7e0af69c971cfc7691e11c0cc441d0a2bb423bbc,0.056,Transfer,2023-06-20 22:50:19.462
13,zksync,0x39ec545b42ad14e5025fed1491068d8cff5f1b4688f2f73193e8aeceb85e09bc,0x80c67432656d59144ceff962e8faf8926599bcf8,0x1145ef968bb4c7965017795b0e071058e91bf314,0.054,Transfer,2023-06-20 22:50:40.456
14,zksync,0x4616d3cb0b123e2feafb59fdab39aa371a7669f209ae7101aa4bde443cb023bd,0x80c67432656d59144ceff962e8faf8926599bcf8,0xbb957ac2d26e73e08dd7cf6cb1a6caa06d620f67,0.0541,Transfer,2023-06-20 22:51:21.666
15,zksync,0xc9837e1b887b156204fb138fc2e717fc2187a145d6982b6505dd6b6d048e099b,0x80c67432656d59144ceff962e8faf8926599bcf8,0xafa76130ed6976f2d39bfb748cdc07173cf6fc5d,0.0559,Transfer,2023-06-20 22:52:25.475
16,zksync,0xbf027e533aef85d8a7d9d2dad615bb28db579e11d202cea296c557b5fbc2d4c3,0x80c67432656d59144ceff962e8faf8926599bcf8,0x13caee5282286622202846ae6874ff4ec83300f7,0.05591,Transfer,2023-06-20 22:53:48.932
17,zksync,0x0307fbcd6cae6dff8e8695ccd47160cdb6c839c8e0e3015176f3ab6d9c9230b0,0x80c67432656d59144ceff962e8faf8926599bcf8,0x6df4638e86ff056e0e14ec34e35ab8199047fd06,0.05561,Transfer,2023-06-20 22:54:31.557
18,zksync,0x5c39862aaf832218a3884d1f864282af48f2b3a1a30b48b66e5132951157ba26,0x80c67432656d59144ceff962e8faf8926599bcf8,0xfee54e3a6c0973bb28350c23ae470ce5e012b316,0.05462,Transfer,2023-06-20 22:55:33.569
