,id,groupid,line_no,first_relate_chain,first_relate_chain_usegas,second_relate_chain,second_relate_chain_usegas,rankid,total,address,tx_count,stargate,stargate_firsttime,stargate_lasttime,sum_stargate_swap_usd
0,268012,2.02405E+19,31,op,7.45386562,eth,3.82080409,1378536,21.08350985,0xfa7e42c56065b6f4df0cad42219c04a3e0a95910,12,12,2022/11/24 4:18,2023/8/22 5:44,4272.613383
1,268011,2.02405E+19,30,op,7.45386562,eth,3.82080409,1367711,21.29881041,0xa861342d18cc991c5222cff598c2a29e369dac95,12,12,2022/11/24 3:51,2023/8/22 5:24,4321.243472
2,268010,2.02405E+19,29,op,7.45386562,eth,3.82080409,1278253,23.15075107,0x65c42d2657fc164c59edc2c15f8d6572070aa9fe,13,13,2022/11/24 4:14,2023/8/22 5:42,6148.101026
3,268009,2.02405E+19,28,op,7.45386562,eth,3.82080409,1278252,23.15075107,0x8170f8f7e44fc62b83edbca561d3a2e6727a25a0,13,13,2022/11/24 4:11,2023/8/22 5:39,6174.637497
4,268008,2.02405E+19,27,op,7.45386562,eth,3.82080409,1278251,23.15075107,0x67a474e058885b9f49cfd9de671f7b32abe8f25f,13,13,2022/11/24 4:13,2023/8/22 5:41,6175.303097
5,268007,2.02405E+19,26,op,7.45386562,eth,3.82080409,1267403,23.38539472,0xf4bc4351a4524661748d83959958c551a1980e41,13,13,2022/11/24 4:11,2023/8/22 5:37,6222.182347
6,268006,2.02405E+19,25,op,7.45386562,eth,3.82080409,1267402,23.38539472,0x01448d19e8130c3e5819185c2104ea1d99849d34,13,13,2022/11/24 4:11,2023/8/22 5:38,6154.828717
7,268005,2.02405E+19,24,op,7.45386562,eth,3.82080409,1266118,23.41404943,0x69d30f0dbdb93531c2426de6b76dd999ae3c61e8,13,13,2022/11/24 4:16,2023/8/22 5:43,6332.995521
8,268004,2.02405E+19,23,op,7.45386562,eth,3.82080409,1266117,23.41404943,0xa29bfd269fecf43a73c72f31e676bf7714202735,13,13,2022/11/24 4:19,2023/8/22 5:45,5952.547527
9,268003,2.02405E+19,22,op,7.45386562,eth,3.82080409,1262333,23.49789393,0x1e652cccd66a75fad5443ff4610fbe120f2f3999,13,13,2022/11/24 4:09,2023/8/22 5:32,6083.150706
10,268002,2.02405E+19,21,op,7.45386562,eth,3.82080409,1262332,23.49789393,0x033f3e5a754490b1dfe5969a771ac331976350eb,13,13,2022/11/24 4:07,2023/8/22 5:27,6132.355919
11,268001,2.02405E+19,20,op,7.45386562,eth,3.82080409,1260052,23.54699386,0x70e3bc840a9f446143b56bf59aa7cd052cef0123,13,13,2022/11/24 4:10,2023/8/22 5:34,6004.275658
12,268000,2.02405E+19,19,op,7.45386562,eth,3.82080409,1256392,23.62934999,0x4ef3d39075bf5ef144c7ec62ff2c7f3dbdae6be4,13,13,2022/11/24 3:48,2023/8/22 5:24,6233.722653
13,267999,2.02405E+19,18,op,7.45386562,eth,3.82080409,1256391,23.62934999,0x547f09bed65a91cbe86ac4f3dcc14e37824c7930,13,13,2022/11/24 4:07,2023/8/22 5:26,6236.671912
14,267998,2.02405E+19,17,op,7.45386562,eth,3.82080409,1256390,23.62934999,0x0257244938d99a287f903b3f6bb637a54e54a594,13,13,2022/11/24 3:46,2023/8/22 5:23,6113.009951
15,267997,2.02405E+19,16,op,7.45386562,eth,3.82080409,1256389,23.62934999,0x29da4286a1fe8355960c9d39f5adcb8e17f141c2,13,13,2022/11/24 4:05,2023/8/22 5:26,6334.317958
