,id,groupid,line_no,first_relate_chain,first_relate_chain_usegas,second_relate_chain,second_relate_chain_usegas,rankid,total,address,tx_count,stargate,stargate_firsttime,stargate_lasttime,harmonybridge,harmonybridge_firsttime,harmonybridge_lasttime,sum_stargate_swap_usd
0,268554,2.02405E+19,24,op,3.51442366,matic,0.4120896,623369,45.63175688,0xeafac56f77faff299dcde3b0e02834aabf924dd2,30,29,2023/7/12 16:41,2023/7/12 21:43,1,2023/7/12 16:17,2023/7/12 16:17,14303.03048
1,268553,2.02405E+19,23,op,3.51442366,matic,0.4120896,623368,45.63175688,0x8c2d2019f492516becb9cfb119c36987cd345929,30,29,2023/7/12 16:41,2023/7/12 21:43,1,2023/7/12 16:17,2023/7/12 16:17,14309.93953
2,268552,2.02405E+19,22,op,3.51442366,matic,0.4120896,623367,45.63175688,0x65e517c436d63c9cc401e06d1d505a88d1aba907,30,29,2023/7/12 16:41,2023/7/12 21:43,1,2023/7/12 16:17,2023/7/12 16:17,14302.51304
3,268551,2.02405E+19,21,op,3.51442366,matic,0.4120896,623366,45.63175688,0x71e454ce0d31b7ff95d12db4ac9b74b0ec9eb7a2,30,29,2023/7/12 16:41,2023/7/12 21:43,1,2023/7/12 16:17,2023/7/12 16:17,14311.38139
4,268550,2.02405E+19,20,op,3.51442366,matic,0.4120896,623365,45.63175688,0x89c961a882e1bb1784d6097e4ae0e3d3e51978e4,30,29,2023/7/12 16:41,2023/7/12 21:43,1,2023/7/12 16:17,2023/7/12 16:17,14310.90003
5,268549,2.02405E+19,19,op,3.51442366,matic,0.4120896,623364,45.63175688,0xae5f204b798061f8f8663e2f7880d630e2a0a156,30,29,2023/7/12 16:41,2023/7/12 21:43,1,2023/7/12 16:17,2023/7/12 16:17,14302.70608
6,268548,2.02405E+19,18,op,3.51442366,matic,0.4120896,623363,45.63175688,0xc8fc9644cb10e1af98a9c951352b511a3520c772,30,29,2023/7/12 16:41,2023/7/12 21:43,1,2023/7/12 16:17,2023/7/12 16:17,14310.15126
7,268547,2.02405E+19,17,op,3.51442366,matic,0.4120896,623362,45.63175688,0xbfd28a6a0a039f929ca51a290cdc084267d5ea86,30,29,2023/7/12 16:41,2023/7/12 21:43,1,2023/7/12 16:17,2023/7/12 16:17,14311.74711
8,268546,2.02405E+19,16,op,3.51442366,matic,0.4120896,623361,45.63175688,0xbe373a597ad9e71bfd68a759e561ff1882d2113c,30,29,2023/7/12 16:41,2023/7/12 21:42,1,2023/7/12 16:17,2023/7/12 16:17,14311.23866
9,268545,2.02405E+19,15,op,3.51442366,matic,0.4120896,623360,45.63175688,0x0b08355d5a6854207e44f0304c9c3e7bb01f1762,30,29,2023/7/12 16:41,2023/7/12 21:43,1,2023/7/12 16:17,2023/7/12 16:17,14310.98948
