,chain,hash,from,to,value,method,chain_tx_time
0,matic,0xef23ab1db2720cd6066f31fa783a0aad8e91bb62117d37a7c652c7b043b72076,0x06959153b974d0d5fdfd87d561db6d8d4fa0bb0b,0xe104b813599744495b4db268b8244367a2e6cce5,6.0,Transfer,2023-07-13 00:07:06
1,matic,0x6c7726b971f863892d1d05947e1341f260eef12beb2e11212362aa6a48deeb62,0x06959153b974d0d5fdfd87d561db6d8d4fa0bb0b,0xae5f204b798061f8f8663e2f7880d630e2a0a156,6.0,Transfer,2023-07-13 00:08:08
2,matic,0x1ce002c99946662a1e82eb7429935ae12a196a633f59e6c64529d5f7e7541290,0x06959153b974d0d5fdfd87d561db6d8d4fa0bb0b,0xf629cad29d972e83f7bac14be70f18ad51e7a94e,6.0,Transfer,2023-07-13 00:08:28
3,matic,0xd7aa2284d66aaf825ecefd2b0b91b57ff5e836fdc3f00a3d28c0f4f570708a71,0x06959153b974d0d5fdfd87d561db6d8d4fa0bb0b,0x31574efbadb3afcfdc89a0058ec87aec37732bd5,6.0,Transfer,2023-07-13 00:08:48
4,matic,0xefe536fc96d9f1069933a244ca4c49c9047768c2e08462e38d11c61931bed8ab,0x06959153b974d0d5fdfd87d561db6d8d4fa0bb0b,0x573bfa085556c09013fa830d1a26adfc83e197b3,6.0,Transfer,2023-07-13 00:08:58
5,matic,0xb67792914abd3c25e34cb0511b761c4717fdcdbd06b566146a37f22a1289b11a,0x06959153b974d0d5fdfd87d561db6d8d4fa0bb0b,0xbfd28a6a0a039f929ca51a290cdc084267d5ea86,6.0,Transfer,2023-07-13 00:09:20
6,matic,0x0cd4af85eb943a9aa8cd0e04a40b04fab4a09729ae95a26390f755e53b196b24,0x06959153b974d0d5fdfd87d561db6d8d4fa0bb0b,0xb9c06357fa8294ecec4e9f04db2a314a69e8b6d8,6.0,Transfer,2023-07-13 00:09:20
7,matic,0x5b226d52ca170ed8f110fef118a6017d044fb840a6a6b4acde040f18faa39b6c,0x06959153b974d0d5fdfd87d561db6d8d4fa0bb0b,0xe0d13d00dc9e9c2df6b6763120f6d1ea1efe7fe8,6.0,Transfer,2023-07-13 00:09:50
8,matic,0x629ee7639247f5d9396b86ac890cf1670fe43aea6781858e6c144f67643a61ed,0x06959153b974d0d5fdfd87d561db6d8d4fa0bb0b,0x18444c72e618147bc6dc87760342062f3e4d4a98,6.0,Transfer,2023-07-13 00:10:02
9,matic,0x4cce3820d967f78e232e622bad6c556846a46b538748e371f03f34e73f83783c,0x06959153b974d0d5fdfd87d561db6d8d4fa0bb0b,0x89c961a882e1bb1784d6097e4ae0e3d3e51978e4,6.0,Transfer,2023-07-13 00:10:14
10,matic,0xf17476680d10905390f08f9abdbbbd98ac46877cc47cd43d61939449a6ae8592,0x06959153b974d0d5fdfd87d561db6d8d4fa0bb0b,0x0b08355d5a6854207e44f0304c9c3e7bb01f1762,6.0,Transfer,2023-07-13 00:10:22
11,matic,0xe8c48bfea187253528c6ccf29438f835bb9884ef518167415b3026421ed47225,0x06959153b974d0d5fdfd87d561db6d8d4fa0bb0b,0x4d1bbd375937d0b844d7a56c785cec8b9a3416d0,6.0,Transfer,2023-07-13 00:10:32
12,matic,0x3800497cd2f9c29f408d56c9f480364f022e0d4f802ac831873148cd0a7515e7,0x06959153b974d0d5fdfd87d561db6d8d4fa0bb0b,0xbe373a597ad9e71bfd68a759e561ff1882d2113c,6.0,Transfer,2023-07-13 00:10:52
13,matic,0x7d61c54e3adcf87c9f7afcbcf5b79af6a1380c22804fcac54ab0f8c4b89c07bc,0x06959153b974d0d5fdfd87d561db6d8d4fa0bb0b,0x65e517c436d63c9cc401e06d1d505a88d1aba907,6.0,Transfer,2023-07-13 00:11:12
14,matic,0x31d3a7839678a2b67bdfccd74c0c8e45f4c3df3f55eb30d7ebcbf09dac669b07,0x06959153b974d0d5fdfd87d561db6d8d4fa0bb0b,0xc8fc9644cb10e1af98a9c951352b511a3520c772,6.0,Transfer,2023-07-13 00:11:24
15,matic,0x1610e8943bb7f77071d007d4aeca68a4e3656a9e5c9dccfced2a5d3a0c58d2cd,0x06959153b974d0d5fdfd87d561db6d8d4fa0bb0b,0x559282a8181f7f11d20bb95454b906cb0cb69076,6.0,Transfer,2023-07-13 00:11:34
16,matic,0x8558b70ba6dc68d3975b4ff9197dfc6f803d6dd52320f007561df73446a62527,0x06959153b974d0d5fdfd87d561db6d8d4fa0bb0b,0xe31f45905f84189ee8aa2a62fc313c7c6544d8b6,6.0,Transfer,2023-07-13 00:12:06
17,matic,0xa42fa79542d2303f678fc6277406ebc95363704475dfae54fc0731797e067edd,0x06959153b974d0d5fdfd87d561db6d8d4fa0bb0b,0xa6e90142b10fe242a2dec1f902d42864276c1bab,6.0,Transfer,2023-07-13 00:12:26
18,matic,0xcdb02b109b8d9fc0c4d36b58f23fbfee15af1f30dd90c2b705d720a8b5a9e7bc,0x06959153b974d0d5fdfd87d561db6d8d4fa0bb0b,0xa376a719634e8015591503ac7d236c83f4460cea,6.0,Transfer,2023-07-13 00:12:46
19,matic,0x647408feda6b9a8b144a740e8215011271835f9b82de109222454af6303e9c19,0x06959153b974d0d5fdfd87d561db6d8d4fa0bb0b,0x8c2d2019f492516becb9cfb119c36987cd345929,6.0,Transfer,2023-07-13 00:12:56
20,matic,0x624307da2dbe4d58a200eb9ca39f97a73292f0c18513e4f58a7b6698f6faf53a,0x06959153b974d0d5fdfd87d561db6d8d4fa0bb0b,0x2b03e0cd79930f1faf07118c6c74c6fe62eded0e,6.0,Transfer,2023-07-13 00:13:26
21,matic,0xcc1f717a7fd1147890512f791f40999a6bd6bfca38300df9dbff3028b9fcbc0c,0x06959153b974d0d5fdfd87d561db6d8d4fa0bb0b,0x71e454ce0d31b7ff95d12db4ac9b74b0ec9eb7a2,6.0,Transfer,2023-07-13 00:15:00
22,matic,0xee8f157a7274310ba0f544c96a40b47a80bc652a8ae7a8d16f5e905aae1c4a76,0x06959153b974d0d5fdfd87d561db6d8d4fa0bb0b,0x50cd7bb9a432bfe33ec3dab1f5b23ad48f76f7ef,6.0,Transfer,2023-07-13 00:15:10
23,matic,0xc86e9772fcfbf0cd34cd2bb6d6ffe246827b294849b389517ca69386c8d132cb,0x06959153b974d0d5fdfd87d561db6d8d4fa0bb0b,0xeafac56f77faff299dcde3b0e02834aabf924dd2,6.0,Transfer,2023-07-13 00:16:12
24,matic,0xbad1dc9b63d33a545c6ffc73bbbf290afcb77044ea18c1f1edbb7b078a9bc9ba,0xbfd28a6a0a039f929ca51a290cdc084267d5ea86,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0.0,"approve(address spender, uint256 rawAmount)",2023-07-13 00:52:19
25,matic,0xd71f5899138b2eeac3db11b3b7b97a03bbeda42f330c6e3aa67b044919d61cd4,0x71e454ce0d31b7ff95d12db4ac9b74b0ec9eb7a2,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0.0,"approve(address spender, uint256 rawAmount)",2023-07-13 00:52:21
26,matic,0x6d32ec76f12506785943434471343ebbec52bcd8573ae3d71b0c1434cf4c7f2c,0xbe373a597ad9e71bfd68a759e561ff1882d2113c,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0.0,"approve(address spender, uint256 rawAmount)",2023-07-13 00:52:21
27,matic,0x1ed8bf44e039dd4c37d2ec9f7a2fd652b9f35f4a6e6ef785da8b470d9e208708,0xf629cad29d972e83f7bac14be70f18ad51e7a94e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0.0,"approve(address spender, uint256 rawAmount)",2023-07-13 00:52:21
28,matic,0xecac2230e68d5e48ab22f6645d52c51128c20da89f68b22866bf73928799cee2,0x4d1bbd375937d0b844d7a56c785cec8b9a3416d0,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0.0,"approve(address spender, uint256 rawAmount)",2023-07-13 00:52:51
29,matic,0xd928b4ce6c75ff440b643da6334a2dd683f71f4a16e1ad6f034ec3017eef9dfc,0xa376a719634e8015591503ac7d236c83f4460cea,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0.0,"approve(address spender, uint256 rawAmount)",2023-07-13 00:52:51
30,matic,0x6864f389dd87299916cd906c648546e8979aac59dc24b7e805e37c9b8962a39b,0xe0d13d00dc9e9c2df6b6763120f6d1ea1efe7fe8,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0.0,"approve(address spender, uint256 rawAmount)",2023-07-13 00:52:53
31,matic,0x6e40bd4cbe5ba28a0765a0ef891592500bb830b54cbc1549f07278ad6114d31f,0x0b08355d5a6854207e44f0304c9c3e7bb01f1762,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0.0,"approve(address spender, uint256 rawAmount)",2023-07-13 00:52:53
32,matic,0x43e2e4a14b22dd4714048a37f20d7b6ff35d28703140c6092b069908efda5ada,0x89c961a882e1bb1784d6097e4ae0e3d3e51978e4,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0.0,"approve(address spender, uint256 rawAmount)",2023-07-13 00:52:55
33,matic,0xfd3d0b9ce5008aa59c617f9ecbdfd2628185fed22dac1ac7c7b3136847bd8e21,0xe104b813599744495b4db268b8244367a2e6cce5,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0.0,"approve(address spender, uint256 rawAmount)",2023-07-13 00:52:55
34,matic,0xbcb68ce3aa5cb2f1ce98aba3cea4a8cc07d3ca70b0750fe2623f5378e393bc47,0x559282a8181f7f11d20bb95454b906cb0cb69076,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0.0,"approve(address spender, uint256 rawAmount)",2023-07-13 00:53:19
35,matic,0x1547a35cfadb9705741e7a6e0bc181803c2d5ac66888e2ec5c73e1b4a5c04dd7,0xeafac56f77faff299dcde3b0e02834aabf924dd2,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0.0,"approve(address spender, uint256 rawAmount)",2023-07-13 00:53:21
36,matic,0x0c39a3052c338c95841b7a2fb093c4074233a477cb3f586b6cb7d923e545af1b,0x50cd7bb9a432bfe33ec3dab1f5b23ad48f76f7ef,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0.0,"approve(address spender, uint256 rawAmount)",2023-07-13 00:53:21
37,matic,0xd718852ee585036d26756e340a4ae15bcc6bdfcd8f1a538a304e1aa7a8aaa360,0xae5f204b798061f8f8663e2f7880d630e2a0a156,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0.0,"approve(address spender, uint256 rawAmount)",2023-07-13 00:53:23
38,matic,0xe5ae86b37301c71b7a16874ac61279b0d49ff1bbe1e9a168a4b48fb91398b225,0x18444c72e618147bc6dc87760342062f3e4d4a98,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0.0,"approve(address spender, uint256 rawAmount)",2023-07-13 00:53:23
39,matic,0x3f7f8fea04317d95bfd5d0b4cd1fc5c2450d9f6c707f4c255c2a15c065da233a,0xbfd28a6a0a039f929ca51a290cdc084267d5ea86,0x45a01e4e04f14f7a4a6702c74187c5f6222033cd,0.629804996867752,"swap(uint16 _dstChainId,uint256 _srcPoolId,uint256",2023-07-13 00:53:23
40,matic,0x2d3d34a28eba374f483416662cad2e04c8cfb059a3f1c7c22466d3ac63aae016,0xf629cad29d972e83f7bac14be70f18ad51e7a94e,0x45a01e4e04f14f7a4a6702c74187c5f6222033cd,0.629804996867752,"swap(uint16 _dstChainId,uint256 _srcPoolId,uint256",2023-07-13 00:53:25
41,matic,0xbf4b2dc9e9a1ef458dca22f79afd488abfc3d54bdbf2cb9f264e2844536bd712,0x31574efbadb3afcfdc89a0058ec87aec37732bd5,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0.0,"approve(address spender, uint256 rawAmount)",2023-07-13 00:53:25
42,matic,0xcd55b3b4d1be142e7a6edc190b2122c4f6e0992fbd372665c4b21476b9a7de42,0x8c2d2019f492516becb9cfb119c36987cd345929,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0.0,"approve(address spender, uint256 rawAmount)",2023-07-13 00:53:25
43,matic,0x52d01c6ad72298b8ea9945ba6d73f6a2e41cad0ff5937c788ab4535fbd4fda77,0xc8fc9644cb10e1af98a9c951352b511a3520c772,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0.0,"approve(address spender, uint256 rawAmount)",2023-07-13 00:53:25
44,matic,0x269d13824ea55240e55afc22fd87260672d1fe77db50a42d1d936b3220d944b0,0xbe373a597ad9e71bfd68a759e561ff1882d2113c,0x45a01e4e04f14f7a4a6702c74187c5f6222033cd,0.629804996867752,"swap(uint16 _dstChainId,uint256 _srcPoolId,uint256",2023-07-13 00:53:25
45,matic,0x00eff3b6c2e125c6d7dfb81c8e614c94c0694745dc8ce59be09625a748beab9a,0xb9c06357fa8294ecec4e9f04db2a314a69e8b6d8,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0.0,"approve(address spender, uint256 rawAmount)",2023-07-13 00:53:25
46,matic,0xb6ce6ed209fe8a65703fe62e2cde37d1f749f6aef137974cbb8232cf9568d518,0x65e517c436d63c9cc401e06d1d505a88d1aba907,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0.0,"approve(address spender, uint256 rawAmount)",2023-07-13 00:53:25
47,matic,0xea6cbb646146cb4385d62273803f256a205b180272df2f084472837e1a9f5a49,0x71e454ce0d31b7ff95d12db4ac9b74b0ec9eb7a2,0x45a01e4e04f14f7a4a6702c74187c5f6222033cd,0.629804996867752,"swap(uint16 _dstChainId,uint256 _srcPoolId,uint256",2023-07-13 00:53:25
48,matic,0x0ac6df5e79a30c7db11d5ea993e099a143960e5e31c00ec83a94b7c44ab3e127,0x4d1bbd375937d0b844d7a56c785cec8b9a3416d0,0x45a01e4e04f14f7a4a6702c74187c5f6222033cd,0.629804996867752,"swap(uint16 _dstChainId,uint256 _srcPoolId,uint256",2023-07-13 00:53:55
49,matic,0x8ce5821f71f01de8cf0c4814811e04abd2189ff7066522852020276e7cb23474,0xa376a719634e8015591503ac7d236c83f4460cea,0x45a01e4e04f14f7a4a6702c74187c5f6222033cd,0.629804996867752,"swap(uint16 _dstChainId,uint256 _srcPoolId,uint256",2023-07-13 00:53:55
50,matic,0xd69960e4988b5e7fe792de5e6b1df031c748cdf75e8a35de60c1c54ccce9708e,0xa6e90142b10fe242a2dec1f902d42864276c1bab,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0.0,"approve(address spender, uint256 rawAmount)",2023-07-13 00:53:55
51,matic,0xe6e806dc45a43c600c54bfa97caa6bd1b522d3b75b67d2fc55939f8edbfd9b62,0xe31f45905f84189ee8aa2a62fc313c7c6544d8b6,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0.0,"approve(address spender, uint256 rawAmount)",2023-07-13 00:53:57
52,matic,0x440260ac2037a877c09f4dbd3192f9bcefce6c131acb9ab106d1b14079498231,0x0b08355d5a6854207e44f0304c9c3e7bb01f1762,0x45a01e4e04f14f7a4a6702c74187c5f6222033cd,0.629804996867752,"swap(uint16 _dstChainId,uint256 _srcPoolId,uint256",2023-07-13 00:53:57
53,matic,0x974d0384cccb284f8734c6c0220809113c2cf790a86cb78a4e8058e6c08af29e,0x2b03e0cd79930f1faf07118c6c74c6fe62eded0e,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0.0,"approve(address spender, uint256 rawAmount)",2023-07-13 00:53:57
54,matic,0x2720efea3fe1b5f57baf728dadd62bac5b32715237c5500c4597950e0efb82aa,0x573bfa085556c09013fa830d1a26adfc83e197b3,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0.0,"approve(address spender, uint256 rawAmount)",2023-07-13 00:53:57
55,matic,0xd27e0eee68ea5695d3cee4fe0c4cc07763f755bbf9d5e4cb67c3db30b46ca1f9,0xe0d13d00dc9e9c2df6b6763120f6d1ea1efe7fe8,0x45a01e4e04f14f7a4a6702c74187c5f6222033cd,0.629804996867752,"swap(uint16 _dstChainId,uint256 _srcPoolId,uint256",2023-07-13 00:53:57
56,matic,0xec925fbcbe07ef32d1714f8a0178e5f89728457231c93b52b67103d39b64bf04,0xe104b813599744495b4db268b8244367a2e6cce5,0x45a01e4e04f14f7a4a6702c74187c5f6222033cd,0.629804996867752,"swap(uint16 _dstChainId,uint256 _srcPoolId,uint256",2023-07-13 00:53:59
57,matic,0x5e01770e08773396e023cab8f4275eeac11d3c61ac3c2833e91506971f02835f,0x89c961a882e1bb1784d6097e4ae0e3d3e51978e4,0x45a01e4e04f14f7a4a6702c74187c5f6222033cd,0.629804996867752,"swap(uint16 _dstChainId,uint256 _srcPoolId,uint256",2023-07-13 00:53:59
58,matic,0xb3c7b820d1e79e3696084292160d62152e32661d0d23cfdf1a09586cd6daaf63,0x559282a8181f7f11d20bb95454b906cb0cb69076,0x45a01e4e04f14f7a4a6702c74187c5f6222033cd,0.629804996867752,"swap(uint16 _dstChainId,uint256 _srcPoolId,uint256",2023-07-13 00:54:25
59,matic,0xc1a2de79db3c874dbfd5d21798fd46d63c26aaea26e7fbebca46690350e53d5c,0x18444c72e618147bc6dc87760342062f3e4d4a98,0x45a01e4e04f14f7a4a6702c74187c5f6222033cd,0.629804996867752,"swap(uint16 _dstChainId,uint256 _srcPoolId,uint256",2023-07-13 00:54:27
60,matic,0xb653c37e8c56ffc3b096b7e97eb4ef7909f3ce65eb960d68725e8a4c4f87c405,0xae5f204b798061f8f8663e2f7880d630e2a0a156,0x45a01e4e04f14f7a4a6702c74187c5f6222033cd,0.629804996867752,"swap(uint16 _dstChainId,uint256 _srcPoolId,uint256",2023-07-13 00:54:27
61,matic,0x0bbaa855075c1e2311481f058548626bfdf0389ea89721297cf354e9f523c8db,0x50cd7bb9a432bfe33ec3dab1f5b23ad48f76f7ef,0x45a01e4e04f14f7a4a6702c74187c5f6222033cd,0.629804996867752,"swap(uint16 _dstChainId,uint256 _srcPoolId,uint256",2023-07-13 00:54:27
62,matic,0x04a12cdcfbdee07c96d7295994393061c8a85853ec482052ef12c598e39e6b09,0xeafac56f77faff299dcde3b0e02834aabf924dd2,0x45a01e4e04f14f7a4a6702c74187c5f6222033cd,0.629804996867752,"swap(uint16 _dstChainId,uint256 _srcPoolId,uint256",2023-07-13 00:54:27
63,matic,0x0e4e8bdcce6d6188196f49b79f6f378446d45442b1c110c1fd92830253baf4b6,0x65e517c436d63c9cc401e06d1d505a88d1aba907,0x45a01e4e04f14f7a4a6702c74187c5f6222033cd,0.629804996867752,"swap(uint16 _dstChainId,uint256 _srcPoolId,uint256",2023-07-13 00:54:29
64,matic,0xf4c1744c74edfe5866f00842581976f029c34721004c607fba5e3720d560404e,0xc8fc9644cb10e1af98a9c951352b511a3520c772,0x45a01e4e04f14f7a4a6702c74187c5f6222033cd,0.629804996867752,"swap(uint16 _dstChainId,uint256 _srcPoolId,uint256",2023-07-13 00:54:29
65,matic,0x26fe156885850b7de271f92bf4fea7804d9beabdbd4b073dc21259a38114e2e9,0x8c2d2019f492516becb9cfb119c36987cd345929,0x45a01e4e04f14f7a4a6702c74187c5f6222033cd,0.629804996867752,"swap(uint16 _dstChainId,uint256 _srcPoolId,uint256",2023-07-13 00:54:29
66,matic,0x8927f98b3c636e4ca1426a460dfdc515f316f86de49fc949bbdb6658b45ee7c2,0xb9c06357fa8294ecec4e9f04db2a314a69e8b6d8,0x45a01e4e04f14f7a4a6702c74187c5f6222033cd,0.629804996867752,"swap(uint16 _dstChainId,uint256 _srcPoolId,uint256",2023-07-13 00:54:29
