,chain,hash,from,to,value,method,chain_tx_time
0,arb,0xbd3dc16e1307286594f93db7ab976d1c0fe4803ec426a206270bc108437b3218,0x7bacea733be7000827fef64f42c5969a953d2336,0x6a9bea733be7000827fef64f42c5969a953d1225,0.015,Transfer,2023-02-11 14:59:40
1,arb,0xd1463e4052eb9dc6e1de6c0370948d19773b2cf812c69da3df4ac701f9a5c95d,0xe3104cf8f0528e3b5348f2c5870a3e58b08afdbd,0xd1ff4cf8f0528e3b5348f2c5870a3e58b08aecac,0.015,Transfer,2023-02-11 14:59:40
2,arb,0xc65dadd3234d1b5a0c48416f89771608361c64c3ecbe40447f4e92c9cab89cb0,0xd4603ce784b4576cdb9292ef3803be0f68bbad74,0xc34f3ce784b4576cdb9292ef3803be0f68bb9c63,0.015,Transfer,2023-02-11 14:59:40
3,arb,0xa28f56642bef1f2633488520aad63d6f848931e6f4e165eadda980e2e01358de,0xa15b12abf8ea7dfb43d1774701cfb9d475c49ee4,0x904a12abf8ea7dfb43d1774701cfb9d475c48dd3,0.015,Transfer,2023-02-11 14:59:40
4,arb,0x21c5ee5be349dba063ac3f1d2de6169333e0eb21524d566302a322ad5a0dfb0b,0x730980d2614774bf239d7d4fb53ee91dd1f433e9,0x61f880d2614774bf239d7d4fb53ee91dd1f422d8,0.015,Transfer,2023-02-11 14:59:40
5,arb,0x4c10363376e7505ae30c9677544aa5e89af49b757f6c5f6309887fd643884565,0xa46141d6acfe09e52978158d802a0c6e907fb0f2,0x935041d6acfe09e52978158d802a0c6e907f9fe1,0.015,Transfer,2023-02-11 14:59:40
6,arb,0xc037b49540a4c2593daa0ede83725e4ce0f201bf14e9c92b13ed1107532fd7ae,0xeac226ff79cc36288fa192129f65351d71105366,0xd9b126ff79cc36288fa192129f65351d71104255,0.015,Transfer,2023-02-11 14:59:40
7,arb,0x6d342e831790da6025886ec6b97789164d2dd73a9a69cef2d3f2f02787654346,0x9e22ff99d1f0f186f6b2e598162b336506df8715,0x8d11ff99d1f0f186f6b2e598162b336506df7604,0.015,Transfer,2023-02-11 14:59:40
8,arb,0x6f0e75014f4d175fdc81030e49dd1f3f99f0a43bca33834cc3bd81d29608f982,0x50074ea7054179a7b541393e01e7f86bc121fed6,0x3ef64ea7054179a7b541393e01e7f86bc121edc5,0.015,Transfer,2023-02-11 14:59:40
9,arb,0xe01eea9f94e1489ab71772e2d20f1b58ede6ea92bb031af6c6ce36283c74816c,0x9a3354a671bc572b4f0d6717d5f513c435ef822e,0x892254a671bc572b4f0d6717d5f513c435ef711d,0.015,Transfer,2023-02-11 14:59:40
10,arb,0x16aeb4c0f9c0eded3843ca549eb72faee6f4d2eabc1f591497f1058745ccbbdd,0x7e5cf9ceaa58ea8c545c4fecc58da0a7e65638f6,0x6d4bf9ceaa58ea8c545c4fecc58da0a7e65627e5,0.015,Transfer,2023-02-11 14:59:40
11,arb,0x54c05d36c7cc8ab7f1b34bfa6b64932e1023a5e71e93f6665172f2fd32c0dac5,0xdfea9590cedb991e1880edcc45fa2a8d9d54770b,0xced99590cedb991e1880edcc45fa2a8d9d5465fa,0.015,Transfer,2023-02-11 14:59:40
12,arb,0x621a9f4fcca0ebf53a5b58350290d77eba2e5f78a0d04dd14bcbd706451f00d8,0x3022e89ed9f771e8628414c842fc0475dbd31b25,0x1f11e89ed9f771e8628414c842fc0475dbd30a14,0.015,Transfer,2023-02-11 14:59:40
13,arb,0x7fffa5a591799f955e135c379db9feab751f12416a14301762af154d911da7d3,0x6f721c6547dbfaf9f8b03855b08170e691283b51,0x5e611c6547dbfaf9f8b03855b08170e691282a40,0.015,Transfer,2023-02-11 14:59:40
14,arb,0xaa483fc9109b38069815843da93a2ef4c72d3b31e313c13eec5592b19302cc52,0xe6904a4eaa44c1d9d008429fed8bd1925dbf885d,0xd57f4a4eaa44c1d9d008429fed8bd1925dbf774c,0.015,Transfer,2023-02-11 14:59:40
15,arb,0xaa084c71f9c86970f28d287090144723a56360a3056fd60df0140b268e8f88cb,0x6091851f7d0754562e626cfa76823ebe01ec7892,0x4f80851f7d0754562e626cfa76823ebe01ec6781,0.015,Transfer,2023-02-11 14:59:40
