,chain,hash,from,to,value,method,chain_tx_time
0,base,0xd77ef3e831115c25f1757036f8a3220133f9056c54d5bb79c2ed8bde47b062a7,0x1f11e89ed9f771e8628414c842fc0475dbd30a14,0x50b6ebc2103bfec165949cc946d739d5650d7ae4,0.00583532926572637,"swapETH(uint16 _dstChainId, address _refundAddress",2024-02-19 18:23:55
1,base,0x79b0e5ff937273f4f950379f305af71886dbbdf00ff0052ef5c67fed06dd296b,0x54b2fb6a7d57f53944c822919dcf4d942478aa88,0x50b6ebc2103bfec165949cc946d739d5650d7ae4,0.00603532926572637,"swapETH(uint16 _dstChainId, address _refundAddress",2024-02-19 18:23:59
2,base,0xadce44614dd16ea1ccf77dda46686f5d416601e5b8f2c443cc8d04e9245163e8,0xd9b126ff79cc36288fa192129f65351d71104255,0x50b6ebc2103bfec165949cc946d739d5650d7ae4,0.00583532926572637,"swapETH(uint16 _dstChainId, address _refundAddress",2024-02-19 18:24:03
3,base,0xd388f0ba819b63c5b4af3345d27291c2478d7e5a7fc4102049b367abbacf570a,0x2e6c56ca462e0579b3d02c55f1a6a5437862dc43,0x50b6ebc2103bfec165949cc946d739d5650d7ae4,0.00283532926572637,"swapETH(uint16 _dstChainId, address _refundAddress",2024-02-19 18:24:07
4,base,0x41facf139a1122270d3a0eaf8443d37e7287347b19d32190257dbad3feda4b4a,0x5e611c6547dbfaf9f8b03855b08170e691282a40,0x50b6ebc2103bfec165949cc946d739d5650d7ae4,0.00583532926572637,"swapETH(uint16 _dstChainId, address _refundAddress",2024-02-19 18:24:11
5,base,0x9f5bebce63014a2ad002a2729a53d20c058a348be75d5118bd5be00f9a9e2179,0xae54299a952b12ef7cec069e7291cbaa21b34189,0x50b6ebc2103bfec165949cc946d739d5650d7ae4,0.00563532926572637,"swapETH(uint16 _dstChainId, address _refundAddress",2024-02-19 18:24:15
6,base,0x6055fb2d57e8333aa808c6994385da53194b394f9ab456837d10ba978e324c95,0xced99590cedb991e1880edcc45fa2a8d9d5465fa,0x50b6ebc2103bfec165949cc946d739d5650d7ae4,0.00613532926572637,"swapETH(uint16 _dstChainId, address _refundAddress",2024-02-19 18:24:19
7,base,0x2eed078b7e3c62e5a776a7a0739233b4495b7c962c93a64345afd5c6598c65ea,0x4f80851f7d0754562e626cfa76823ebe01ec6781,0x50b6ebc2103bfec165949cc946d739d5650d7ae4,0.00603532926572637,"swapETH(uint16 _dstChainId, address _refundAddress",2024-02-19 18:24:23
8,base,0xe43cfc90f0727c78a0e73e487d2febad45ebec9b70d11d38eba7651ca97f9330,0xccdbfed9eb0aeb70de93dab99a7adedb6b811ecb,0x50b6ebc2103bfec165949cc946d739d5650d7ae4,0.00573532926572637,"swapETH(uint16 _dstChainId, address _refundAddress",2024-02-19 18:24:27
9,base,0x75fa4be18cd8158abbef234b54ba541141a53c02acb87ff3836bac9f9e728d02,0xd57f4a4eaa44c1d9d008429fed8bd1925dbf774c,0x50b6ebc2103bfec165949cc946d739d5650d7ae4,0.00623532926572637,"swapETH(uint16 _dstChainId, address _refundAddress",2024-02-19 18:24:31
