,source_chain,source_transaction_hash,destination_chain,destination_transaction_hash,sender_wallet,source_timestamp_utc,project,native_drop_usd,stargate_swap_usd
0,Arbitrum,0x568392830f8b20d3a75af78d244dd7867069438eecb2fafd71ee1ab90c5d150a,Optimism,0xb23454fa1ffea1c29707822dda4c4c8b594559bb5db9992cdb25d451941e1328,0x1f11e89ed9f771e8628414c842fc0475dbd30a14,2023-04-06 04:11:09,Stargate,0.0,7.00759147
1,Arbitrum,0x44e94188febc99b6a530daed197d78394baaaa738b37dc32cb87bfa1aa6f3473,Optimism,0x04fdad1f09ac8e0008bea05d875d1fb80fad3c2feacf0367b375491ef4e68c83,0x1f11e89ed9f771e8628414c842fc0475dbd30a14,2023-07-09 21:50:33,Stargate,0.0,13.97993752
2,Arbitrum,0xcd7e7d245b41f48c2eb80603d351417bf9f26c84898fbb48348c92fdc0de8ffe,Optimism,0x1f6b0ce3be891f5ff42c3b1b08a8df7e60c2e5d8df52853968f7736588b7caa1,0x1f11e89ed9f771e8628414c842fc0475dbd30a14,2023-07-20 20:07:41,Stargate,0.0,100.94424405
3,Arbitrum,0xf91e96cb60588406b544d98dd862f203502cb12f06429368b008935bf661222f,Optimism,0x5258c7d2b6e485f9317182a194e786e051eb1fab459e202c3a3b2393e3728f73,0x1f11e89ed9f771e8628414c842fc0475dbd30a14,2023-08-27 11:28:53,Stargate,0.0,45.70413472
4,Arbitrum,0x929a58cca832e2ac5a2cde5e554dafe18f171fb223928bd3d42d6abe8c9fd414,Optimism,0x8dc323b8bc65f08d431eb9004d5b0929bac6b5097efa3ad804d0373d03b9e2b0,0x1f11e89ed9f771e8628414c842fc0475dbd30a14,2023-12-17 12:25:50,Stargate,0.0,35.68051928
5,Arbitrum,0x5b76f52d2b3538df9d4e89e0133c544802b386ef914a45c5e0944c55eef23489,Optimism,0x4eb9d5f27c2dd954c902b02d67706ca6f0e2b275ce32c1a2a4cb2ae4c187fb94,0x1f11e89ed9f771e8628414c842fc0475dbd30a14,2024-02-25 11:01:08,Stargate,0.0,20.88768351
6,Arbitrum,0xdb833fd84ac0734f74bf8ee7b6953d98138ae7a8899533186129882929c36c40,Optimism,0xb8ac053238732c2e075ef62ff2f559a62fa1c5a707377225bb658e21ca166cf4,0x2e6c56ca462e0579b3d02c55f1a6a5437862dc43,2023-04-06 04:15:50,Stargate,0.0,6.98849721
7,Arbitrum,0xdb52030da1e07419a578d7f3b71c4eec663e221193c2e230b4a370293be4f382,Optimism,0x36c474c0fe8d9b805e572a7beaa568f7dcc6eae234285358360071d6aed33dfa,0x2e6c56ca462e0579b3d02c55f1a6a5437862dc43,2023-07-09 21:50:40,Stargate,0.0,13.97993752
8,Arbitrum,0x6f783e66ce544e8ca419d16a3723b4ef8c462ed674f62412c17f894a1b16939c,Optimism,0x50bae819628433d822dc421466fc063f6c49d67d44a22ee62cffe43834db6160,0x2e6c56ca462e0579b3d02c55f1a6a5437862dc43,2023-07-20 20:07:54,Stargate,0.0,101.53391835
9,Arbitrum,0x97739a4670e34f3e8216d02a82157a0d621f69d666985ef8e912d48c3899fe07,Optimism,0x09014eb8ae425ba59a2f996c6ac32c0355fa94a97d650395ec0e25f125d37979,0x2e6c56ca462e0579b3d02c55f1a6a5437862dc43,2023-08-27 11:29:13,Stargate,0.0,45.48434565
10,Arbitrum,0x9a47fb896d985d5c885fdbe600031ca7a5b91beb44041d23a873de78f4b4830e,Optimism,0x58d6f9f27b2a37096c36bc6f7011bfcf73bfc690787ffa6e29ed5521af7ba217,0x2e6c56ca462e0579b3d02c55f1a6a5437862dc43,2023-12-17 12:26:03,Stargate,0.0,45.45066147
11,Arbitrum,0x1737dda31304b37dd674ccf2e50ce22cfc52201414d91143824c14caedeef24d,Optimism,0x6fe337cb322f32045a0e5735e66dfcc4b0e0e961486dcda64240dc55e398c1bc,0x2e6c56ca462e0579b3d02c55f1a6a5437862dc43,2024-02-25 11:01:18,Stargate,0.0,11.9358179
12,Arbitrum,0xbb3863d1f3e395926bad8ff2a86c55826eb6872ddd6192d319cb83257322d23a,Optimism,0xfc2ebecf6d59bc09f83c39cc9aa20da1a54d7f82465e635981c95e13b7d9ccb9,0x3ef64ea7054179a7b541393e01e7f86bc121edc5,2023-04-06 04:37:19,Stargate,0.0,6.93121445
13,Arbitrum,0x061c973088e7e25d2eb17184c2dca616fa4073ef3b15631091050e47711d42e9,Optimism,0x747f898adb4c7f2c27962c24e6908d422d80823869e68160b7ff3672f15dc8e2,0x3ef64ea7054179a7b541393e01e7f86bc121edc5,2023-07-09 21:51:27,Stargate,0.0,13.97993752
14,Arbitrum,0x205f1021fc4327a71d42752435fba60d77bad6c4917259dd04454a01f18c928b,Optimism,0x2a6a365d68ca6fce32578ed4136c96d6495529710c0bef8feef29ea85c0cb89c,0x3ef64ea7054179a7b541393e01e7f86bc121edc5,2023-07-20 20:08:42,Stargate,0.0,94.0080752
15,Arbitrum,0xc6ecbffc05cf1c37b2c611c9fbdda821f5a77fe6757af9761ae9c1e43da58f1d,Optimism,0xdfd759ebbe3fad71b9f65053a3bae752427c5f44635790492b92bf49ff7bc2b8,0x3ef64ea7054179a7b541393e01e7f86bc121edc5,2023-08-27 11:30:41,Stargate,0.0,41.33814174
16,Arbitrum,0xc582cce1aac5b32bd33a3916c1b091d31bab251fe3d402d96a6d0f08730a4169,Optimism,0xb7933ae783c23c11932cc91a2ef38493fcc58459c1bf2a7687233effba14983b,0x3ef64ea7054179a7b541393e01e7f86bc121edc5,2023-12-17 12:27:11,Stargate,0.0,31.32045583
17,Arbitrum,0x76dcebef992b5b3f0d51ca7277d0e12bd86f68193c57ed48d64e0b60645d67c7,Optimism,0xb88837390ffd29335cf12e1a66adda0f9b419573dc555143ec32d072229e7674,0x3ef64ea7054179a7b541393e01e7f86bc121edc5,2024-02-25 11:02:02,Stargate,0.0,21.18606965
18,Arbitrum,0x81e311705639967086e4eb784c67eb9db567074834ca73b844f6d7202bfd35a0,Optimism,0xa56de80d9649b8017a03ed84b0443dc8b89e0a03b150d2f5a98cb8a1e1d5d5c1,0x4f80851f7d0754562e626cfa76823ebe01ec6781,2023-04-06 04:21:34,Stargate,0.0,6.91212019
19,Arbitrum,0x85757d1a96f30df681f3f98f1c30354f33dda15a2db2a1062776009f00ddff07,Optimism,0x16ec1df3aff59bb28ecd77b35f10fd8f3c2c511c488a33aa93ee868c463d3882,0x4f80851f7d0754562e626cfa76823ebe01ec6781,2023-07-09 21:50:50,Stargate,0.0,13.97993752
20,Arbitrum,0xbed320710589fa626f7ef8bc25c6d7f068385b8da140fee3e880fb5b1ac97f3a,Optimism,0x9fa6f07e39aff38e6a657a4ec931f301f07826d1f8b63eb216f2a6ee64e7550e,0x4f80851f7d0754562e626cfa76823ebe01ec6781,2023-07-20 20:08:09,Stargate,0.0,98.54556894
21,Arbitrum,0x04a949649feb091979c98a4ad41c97c6398338576d1bcdabf671a51ebe589ff3,Optimism,0x9f3c9a0fd4f6eee3acbf63c619363fa3e239eb1212ebcdca3703776dbdd5c818,0x4f80851f7d0754562e626cfa76823ebe01ec6781,2023-08-27 11:29:43,Stargate,0.0,45.45436509
22,Arbitrum,0x97096b43a85a427aa9bfecf6e990577cf835ae14d7a3c330f63e5276de3ad57b,Optimism,0x00fb3acb51168dba0f89dd24d13380b9ac4cff755a21281de99c09650bb76a68,0x4f80851f7d0754562e626cfa76823ebe01ec6781,2023-12-17 12:26:24,Stargate,0.0,35.43051564
23,Arbitrum,0xf0a31f1fdc8d96207273d7308825b20497fba4adf8939122a1cb13d113dc6027,Optimism,0xa19c4485028aa08668f8e30de363a0261648842effd5d36781441af5f1d484f9,0x4f80851f7d0754562e626cfa76823ebe01ec6781,2024-02-25 11:01:31,Stargate,0.0,21.4844704
24,Arbitrum,0xe6225445ee3b956a0d8ca9b6370779607c0b31d198a9b4d41875ac0ab395cbbe,Optimism,0xccdc87a070de5af7338c8d4c9e4f0987bc478a7312a68bd55e47cab56678ef4e,0x54b2fb6a7d57f53944c822919dcf4d942478aa88,2023-04-06 04:13:08,Stargate,0.0,7.19853401
25,Arbitrum,0xe92652a77c66046ce7b394602f04b40e5c88777553c8b7282393705ad924047e,Optimism,0x8815bd1905ee80414625eef8a637bcd0306845fcfb7672fb845453c6760bf686,0x54b2fb6a7d57f53944c822919dcf4d942478aa88,2023-07-09 21:50:35,Stargate,0.0,13.97993752
26,Arbitrum,0x6fc52c46bd00ab48577f58ff883db8133fc2748258f5cdc043decc6288936bdd,Optimism,0x9e65208802355258f13ac8da5a0f65f778908dd6794f345e7df0717668465c28,0x54b2fb6a7d57f53944c822919dcf4d942478aa88,2023-07-20 20:07:45,Stargate,0.0,110.24910456
27,Arbitrum,0x4b5fd83227ae3afe433ff7eb4bb75b6601ee125df3e6074b127a7a98dc70fad5,Optimism,0x3d518c4f06c335c1646c0c51986137f1d08d1756f4f6b458072268afee974931,0x54b2fb6a7d57f53944c822919dcf4d942478aa88,2023-08-27 11:29:00,Stargate,0.0,50.14967018
28,Arbitrum,0xa888d361060789cb55ead1200a463aabe250fe7da74eb9a82a5318453c6bfa67,Optimism,0x2d1872c069fa3345348b9bd8dbd704421bc44b67033144c9c137efd7f3789c5b,0x54b2fb6a7d57f53944c822919dcf4d942478aa88,2023-12-17 12:25:54,Stargate,0.0,40.1205839
29,Arbitrum,0x688bf0c263f4367cbc5829273d1a361e8c99edc9b96cab3679eb1de9fa9725d5,Optimism,0x0fea3a7201c15b5aca0ac4005fe3fd26abfa5d7866e861a4639b0bbe5e08435e,0x54b2fb6a7d57f53944c822919dcf4d942478aa88,2024-02-25 11:01:12,Stargate,0.0,21.48447447
30,Arbitrum,0x8c8596dffb87117406380abe38148e60071a4212fb780ddf63cb3baccb7d3c0c,Optimism,0x8e4a7844ca9b7b9b84857a0895f2b63da9009834c9633c459852f8b37504f1ac,0x5e611c6547dbfaf9f8b03855b08170e691282a40,2023-04-06 04:17:05,Stargate,0.0,5.93831321
31,Arbitrum,0x4e4366447e83cbcb316605b9cfaa6635ee653ca6f31471edcb95964d27d95ff8,Optimism,0x134cc17941cff27e77b61f2b7530016228a3c44251ba563df36873eba1116bd7,0x5e611c6547dbfaf9f8b03855b08170e691282a40,2023-07-09 21:50:43,Stargate,0.0,13.97993752
32,Arbitrum,0x409a02dff1b123df7472f18401a78e0b4e29a3a617bd957af0ac9c6e8bbfaeda,Optimism,0xb90cd2d39d776634e452396d1ca1db41691bcb4d74462c711638e9207720eed4,0x5e611c6547dbfaf9f8b03855b08170e691282a40,2023-07-20 20:07:58,Stargate,0.0,108.92983326
33,Arbitrum,0x49b27dfe1265bd53441ba958832653ce470648e5806cb76d430a8f993fe380ea,Optimism,0xc2f1538cf018eebd087343f54db1a6eb150a59713e6bf234a9efd5dd15a801d8,0x5e611c6547dbfaf9f8b03855b08170e691282a40,2023-08-27 11:29:22,Stargate,0.0,49.02079324
34,Arbitrum,0xc885db142ffabfc08ff3371855eeca9540edb4f0df16d9955bcf76efb52e390b,Optimism,0xe9d02fe2fa0c2bfe6749f9ee2cbf3be95d1694e4a5203735f6645abc91f19542,0x5e611c6547dbfaf9f8b03855b08170e691282a40,2023-12-17 12:26:09,Stargate,0.0,38.99056745
35,Arbitrum,0x8f69e40bc21e8b55e75139d22fec263e96b365a9fd0a0161f40cbccf56d52861,Optimism,0xe96ce6e73e6c41c16b472c446bd6ba4f68a118c5ace59ab973b68d98f29a04be,0x5e611c6547dbfaf9f8b03855b08170e691282a40,2024-02-25 11:01:22,Stargate,0.0,20.88768132
36,Arbitrum,0x371ce5068f030ae4a2126de3d458781ffe6b78fd6b91ad6d7ec3beae7234fde4,Optimism,0x5546f7dd5a1175be79ed8d01264dfc0e2ee8b5a293d62705001634f2000647d4,0x61f880d2614774bf239d7d4fb53ee91dd1f422d8,2023-04-06 04:42:27,Stargate,0.0,5.82374768
37,Arbitrum,0xad7cce8cfca6652f55e40ea68464308e86fa4825fe8ae4d99371edcf2280efb2,Optimism,0xf40d9d98c09889c06e22e9310e4593c7b035e977ae50c5048a6b9b4d7708bf3e,0x61f880d2614774bf239d7d4fb53ee91dd1f422d8,2023-07-09 21:51:37,Stargate,0.0,13.97993752
38,Arbitrum,0x8734954f43aab2f61e9e66e173556090ba241d84222c84cbeca79f003368dd6f,Optimism,0xbc75b567ca9b913c4017215b2e202cb299427399e2106d29cf515dffffc3a63f,0x61f880d2614774bf239d7d4fb53ee91dd1f422d8,2023-07-20 20:08:51,Stargate,0.0,97.25628107
39,Arbitrum,0x67a8ea523fbdf2036d2f7c4b9b15da245151b06d90359e4a47db715796528516,Optimism,0x6776c763c1726306353446b288cd76e2d56a3b181a0e26ce97b57169ac126aae,0x61f880d2614774bf239d7d4fb53ee91dd1f422d8,2023-08-27 11:31:01,Stargate,0.0,44.51455566
40,Arbitrum,0x7fdfd7525384e88d498831de3e41fe5aec3c20af0cdd979728a8f33e65695a0d,Optimism,0x254c6bc0fd632e12ca08c1b3b67f8c970002164ec5081cbfae1cc25da81f9039,0x61f880d2614774bf239d7d4fb53ee91dd1f422d8,2023-12-17 12:27:32,Stargate,0.0,34.48050182
41,Arbitrum,0x83d9c8fbac032b485207b55ad5683b68f4d3c8abd2fe469052a9f7c83668954b,Optimism,0xe4c124b82e060547b2446ea14ac4329d544cabcf669bf15ef8a11f35cdf01dfe,0x61f880d2614774bf239d7d4fb53ee91dd1f422d8,2024-02-25 11:02:17,Stargate,0.0,20.29088211
42,Arbitrum,0x9da6901e669aaa84ee83b55cfaefee4d53d4e67b3e4f81a420329e2d287999c3,Optimism,0xaa98e4b493226f357e23ce194b4588c27fd241785e6a8ce6c8ce0fb721a4d8f4,0x6a9bea733be7000827fef64f42c5969a953d1225,2023-04-06 04:41:00,Stargate,0.0,6.30110404
43,Arbitrum,0x964d5a50d3dcf94052da0a675df1914a30032772ce7fd1e44c7e52c472378cbe,Optimism,0x1e363977e30b345461980aa3177f144726f8e539294089fc77dd23854d49dd6b,0x6a9bea733be7000827fef64f42c5969a953d1225,2023-07-09 21:51:33,Stargate,0.0,13.97993752
44,Arbitrum,0x820e55fd2292644b1774a2761c89fb31285b69ef2de8cac0cd07a4aa78391eef,Optimism,0xbae96ff126ef2fc2d94df0b295995aa6c43651b3b40ad3e0b39fbf1f852bda9f,0x6a9bea733be7000827fef64f42c5969a953d1225,2023-07-20 20:08:48,Stargate,0.0,109.56947995
45,Arbitrum,0xc20c4c08309fb58e1809a6a08a1f9cc109c51137b76a11f38aa7a60de9124191,Optimism,0xd264f1b3ac5a0e3ead60a55188183f29710a8849a16bb6d8e05ca0347acca21d,0x6a9bea733be7000827fef64f42c5969a953d1225,2023-08-27 11:30:55,Stargate,0.0,50.88805187
46,Arbitrum,0xb15412d558734fb7bd657545047fa6dd6f0d34d0ae960d8b538e8d02731ff1b2,Optimism,0x58e2ba01265c823d30f27d761762c7f935ad2f854c3c2a3749a223f2106b4594,0x6a9bea733be7000827fef64f42c5969a953d1225,2023-12-17 12:27:25,Stargate,0.0,40.86059467
47,Arbitrum,0x8831083b996180e28eaab8ff369873426373b7708aed33ee209b8e3ccce4ac50,Optimism,0x1788c0601a63ef21530136d44e73d2670c5379df6182a13f3b2677e6dfa7bcd4,0x6a9bea733be7000827fef64f42c5969a953d1225,2024-02-25 11:02:13,Stargate,0.0,20.58927743
48,Arbitrum,0x144c9661c7b68b8df58991d49cb2a7e53b6e5b2e9d63feb6f72163c79d6db7cf,Optimism,0xbb1d64af77d4df2ca13b8e2d888a640d7e488cdb0a8d17380f4359c7e767886c,0x6d4bf9ceaa58ea8c545c4fecc58da0a7e65627e5,2023-04-06 04:31:36,Stargate,0.0,6.64480063
