,id,groupid,line_no,first_relate_chain,first_relate_chain_usegas,second_relate_chain,second_relate_chain_usegas,rankid,total,address,tx_count,stargate,stargate_firsttime,stargate_lasttime,starprotocol,starprotocol_firsttime,starprotocol_lasttime,sum_stargate_swap_usd
0,559364,2.02405E+19,24,eth,2.48221387,avax,9.83713319,626015,45.48300769,0x4b954d5e6f85d099357ea6e0f68c3b81d72c4cef,24,23,2023/9/25 7:18,2023/11/13 11:39,1,2023/10/4 9:25,2023/10/4 9:25,6140.935554
1,559363,2.02405E+19,23,eth,2.48221387,avax,9.83713319,626008,45.48348777,0xa7e8866d429cd5b3b8f9b7361aeaf44f97b386e9,24,23,2023/9/25 7:18,2023/11/13 11:39,1,2023/10/4 9:25,2023/10/4 9:25,6455.044662
2,559362,2.02405E+19,22,eth,2.48221387,avax,9.83713319,626002,45.48370095,0xd71794fbb0c7a9d4f4a7751f64a0b49eb2121f47,24,23,2023/9/25 7:18,2023/11/13 11:39,1,2023/10/4 9:25,2023/10/4 9:25,6399.570633
3,559361,2.02405E+19,21,eth,2.48221387,avax,9.83713319,625979,45.48538615,0xcc859624be9bd68ce05b450bcf846c7c7b538bc6,24,23,2023/9/25 7:18,2023/11/13 11:39,1,2023/10/4 9:25,2023/10/4 9:25,6437.223155
4,559360,2.02405E+19,20,eth,2.48221387,avax,9.83713319,625620,45.50400793,0xcb27c598a24975124d3c3ad02ad309a8f8f15aaf,24,23,2023/9/25 10:52,2023/11/13 11:39,1,2023/10/4 9:25,2023/10/4 9:25,6252.241827
5,559359,2.02405E+19,19,eth,2.48221387,avax,9.83713319,625603,45.50486833,0xa397e9f8d459b8440a52c3f0892bc36ddac45466,24,23,2023/9/14 11:13,2023/11/13 11:39,1,2023/10/4 9:25,2023/10/4 9:25,6435.558969
6,559358,2.02405E+19,18,eth,2.48221387,avax,9.83713319,625565,45.50707867,0xc7522ade0ea17eb602c274bc0aae5215c36b0f0f,24,23,2023/9/14 8:22,2023/11/13 11:39,1,2023/10/4 9:25,2023/10/4 9:25,6525.934446
7,559357,2.02405E+19,17,eth,2.48221387,avax,9.83713319,625300,45.52146849,0x469d1c690cc58de472fe675ba897b746c0b38576,24,23,2023/9/14 8:22,2023/11/13 11:39,1,2023/10/4 9:25,2023/10/4 9:25,6338.699123
8,559356,2.02405E+19,16,eth,2.48221387,avax,9.83713319,625266,45.52312971,0x0c9a86ffceed45c26f70b186357156ad07b85e72,24,23,2023/9/14 11:13,2023/11/13 11:39,1,2023/10/4 9:25,2023/10/4 9:25,6303.629941
9,559355,2.02405E+19,15,eth,2.48221387,avax,9.83713319,625128,45.52952249,0xf0dcf72ce7e068e3f53255e6d0d5ce2e4c11d344,24,23,2023/9/23 8:29,2023/11/13 11:39,1,2023/10/4 9:25,2023/10/4 9:25,6332.258891
