chain,hash,from,to,value,method,chain_tx_time
arb,0x9f237bc94844da271d32a20a06771a4586dd69a1e5f1e6305a3712b1d2b67440,0x1b5b4e441f5a22bfd91b7772c780463f66a74b35,0xc8975d9db50e13ea462edad9edbda3f0f14b1da1,0.06065,Transfer,2023/5/8 21:37
arb,0x70906c1c4e58c878a8efbfee7b8bff59889117ebb6632d4f12db579e44d3e596,0x1b5b4e441f5a22bfd91b7772c780463f66a74b35,0x2584449f6343b0b36c7af79f1cd55c72af5546c6,0.06075,Transfer,2023/5/8 21:36
arb,0xe31184e5f0ddc896c0c1e9df9ff28df2b5e489aa20e4ff4a77ebd25af3529a48,0x1b5b4e441f5a22bfd91b7772c780463f66a74b35,0x2fd183027b465ebc213ea99934fc35f810373f53,0.06075,Transfer,2023/5/8 21:35
arb,0xf61f1b6ab5be6055742501425db9e61fddc161b2d1725c40f360823ea9932248,0x1b5b4e441f5a22bfd91b7772c780463f66a74b35,0x3f68ce97c92fa1aec78b02f046489e6ccfc45d22,0.06075,Transfer,2023/5/8 21:38
arb,0x6b96156cb9dbc71bccebe924f815b369a721601228c61591cdd43a9176280c06,0x1b5b4e441f5a22bfd91b7772c780463f66a74b35,0x709f56420791c332e92fbb50e572dd6077003f75,0.06075,Transfer,2023/5/8 21:36
arb,0x4f6964fe72a99c8a8655b97eb4ee2de6c3aa2ab85bd6ca575444227c21a30d3a,0x1b5b4e441f5a22bfd91b7772c780463f66a74b35,0x5601a2fc169743a9a2e4f4200c25fd236a277f08,0.06095,Transfer,2023/5/8 21:36
arb,0x7a1e099629d0519d75d781952f22bbed0f16eb8251645182e6eca098efa32018,0x1b5b4e441f5a22bfd91b7772c780463f66a74b35,0x22b9603c19c956874f9eadd81a6c7e26375c11dd,0.06105,Transfer,2023/5/8 21:37
arb,0x55bdffebf2432cf01f89234db8550081804bc7eedababb0bfc8bfe0891d3ba0a,0x1b5b4e441f5a22bfd91b7772c780463f66a74b35,0x25161097c2e6bb330159f78c40016cb9476b1474,0.06105,Transfer,2023/5/8 21:37
arb,0xbc0721c4d89608f67c184bb5b3e1df72773aa79ae121fb4199fee9a4b253a89a,0x1b5b4e441f5a22bfd91b7772c780463f66a74b35,0x59e008af1859b134fb38b4d5ddfcbabe8b9348e9,0.06105,Transfer,2023/5/8 21:38
arb,0x779cfccf41c595fb18e8781a6d7e63486acd20635eb20d28d259245925791eeb,0x1b5b4e441f5a22bfd91b7772c780463f66a74b35,0x4d84b680b42be81eadca48424150d32d7f92bbc4,0.06105,Transfer,2023/5/8 21:37
arb,0x1262dcb5afb3113deda25d808735b22808ba9ddb5596d42f3bad210bc809dd24,0x1b5b4e441f5a22bfd91b7772c780463f66a74b35,0x54492adadafc8a09a4886fb5acb9138293aa6430,0.06115,Transfer,2023/5/8 21:37
arb,0x3576dc905c64e2c16ca8acd8375439f00f6c934f4dabebaadfab6a0d31e4cf81,0x1b5b4e441f5a22bfd91b7772c780463f66a74b35,0xc167e343e911fc13927f72a54e6c5eeeadd82c94,0.06115,Transfer,2023/5/8 21:37
arb,0x7b10f5fd387e8b7543a3edbac42f4715b3d54f0b9f9904a5f1e2024b15c0a9ea,0x1b5b4e441f5a22bfd91b7772c780463f66a74b35,0xb3f92f4c26576ffeeec77b7344440e1fd57cbdaa,0.06115,Transfer,2023/5/8 21:36
arb,0xf1494b0b0fc3165abdd4ddbaa7997b121c975e3aef85331691e3236577955a23,0x1b5b4e441f5a22bfd91b7772c780463f66a74b35,0xb3ce1c64e148e49ef81c3112c4775c42784cb0dc,0.06125,Transfer,2023/5/8 21:38
arb,0x58e970fe54654d4bfbed4b152b264e32f4b749a1b50c480e93e7b7991f92f078,0x1b5b4e441f5a22bfd91b7772c780463f66a74b35,0x1f277aaccc68872beacfdba5a545a9e319734b9f,0.06125,Transfer,2023/5/8 21:35
arb,0xe429989407f7f69f5aa01785bec482f502cfe9378cb14703eb99a941b6422ba5,0x1b5b4e441f5a22bfd91b7772c780463f66a74b35,0xbe0d96e06d6f191c026ed91417c72c04254b3d4e,0.06125,Transfer,2023/5/8 21:37
arb,0x3ee350534015f95bccad7733400165d8501598bc6194c839d09842dfa1fea71e,0x1b5b4e441f5a22bfd91b7772c780463f66a74b35,0x7b9bc8258696273f5c777c8467b3b614ced61358,0.06135,Transfer,2023/5/8 21:36
arb,0xa32b134c9701c23774256c13b9dccfe5f38f7d336e996ce88a37a64987ce81e1,0x1b5b4e441f5a22bfd91b7772c780463f66a74b35,0x0fa4350a345f9244bdbfc8e7c4e9175022cd60cd,0.06135,Transfer,2023/5/8 21:38
arb,0x605e7f49782a52735a3f180c9f9134793ff146d9140661b468c37e7dcb89df64,0x1b5b4e441f5a22bfd91b7772c780463f66a74b35,0xb715599cc0bd452f3c0005ca79a69dc477ae8021,0.06135,Transfer,2023/5/8 21:37
arb,0x34e40f18814e4ccccf2ee929bd432fe51ed64a54d9e4e9b704490c0e4f564598,0x1b5b4e441f5a22bfd91b7772c780463f66a74b35,0x2fde3e0b57d610ca2ca2e1b76e6e2fa4e3de54f7,0.06145,Transfer,2023/5/8 21:35
