"source_chain","source_transaction_hash","destination_chain","destination_transaction_hash","sender_wallet","source_timestamp_utc","project","native_drop_usd","stargate_swap_usd"
Fantom,"0x10dd172a7e7783d800955af5c1c5ba8cc3e34bca5f37ae99392fb54da892ea81",Polygon,"0x3edacdf2d83d3400b06cfe3ed471b12343179643f0c35947078c0b82460f0261","0xde01c4d821573a92d0eb2df68be7fa68af4e71e8",2023-05-11 02:02:17.000,Stargate,0.00000000,93.68306532
Arbitrum,"0xae69dac910843581c98bf034bd051e377330c1fb2517ed156c4e53c176a45cea",Fantom,"0xf6ad322b0211aea6839cab70dd8de0c70432a56d6d6af5994a5ca82ce7c1e0fd","0xde01c4d821573a92d0eb2df68be7fa68af4e71e8",2023-05-09 09:55:02.000,Stargate,0.00000000,93.94313843
Avalanche,"0x20bb1af6c77e1a46448a3df743f4f32703a10e777a3e31319460bf96b0bc0a51",Arbitrum,"0xf6878b26be1edf8f8cdf6cddbb724caaaa724c3a27ac3e654971fc738a1137a7","0xde01c4d821573a92d0eb2df68be7fa68af4e71e8",2023-05-14 08:30:05.000,Stargate,0.00000000,93.51789386
Polygon,"0xfa885359a73385531e280b311686b1af91dc30e1f0828bf3ba0e3eb4a63b0a0c",Avalanche,"0x4378e47f2fd51e82c49645b746466410225ded9a061da1e29b094914237fc8a7","0xde01c4d821573a92d0eb2df68be7fa68af4e71e8",2023-05-12 06:08:29.000,Stargate,0.00000000,93.74164455
Polygon,"0x42fadeea4cd4957016105564050f649d2dbb16494ecde4040fa8757948440156",Avalanche,"0x07b2471ec865c98e0c962a4ec6418b420445912aef3952603b92b98973968742","0x4169795245703b3803affe88b11c8d6311abc89e",2023-05-12 06:12:29.000,Stargate,0.00000000,93.71087406
Arbitrum,"0x69d712c0e3ca54f83f19b98bf9eb12d53af5a1bdadd986aa44344f5faf0fee39",Fantom,"0x673968e291bec0922db9c0278e893b6c9805fcf932319b1347803c0d7a0710a5","0x4169795245703b3803affe88b11c8d6311abc89e",2023-05-09 10:07:13.000,Stargate,0.00000000,93.91328543
Fantom,"0x167022b7bbf860f82bb0068e54749633c970976464c2d6f6d35ad9b02437e1be",Polygon,"0xdabd49cb30093c9e7cd162381fd04b0e04ff92df58db21ca091c1070a6b02ee4","0x4169795245703b3803affe88b11c8d6311abc89e",2023-05-11 02:07:57.000,Stargate,0.00000000,93.65231453
Avalanche,"0xb105e65c2afdee71a741f93f4f509f171b760abd5212ff8bf631b7742fa5a784",Arbitrum,"0x65d5d63eb7be115878411701565b3970337b9f8c1239bff7a5484005f0ce806a","0x4169795245703b3803affe88b11c8d6311abc89e",2023-05-14 01:57:23.000,Stargate,0.00000000,93.48719637
Fantom,"0xa0ce6f01c4998978243ccd9c31aadb41014470cef13ac5cfa812f26d3383dc0a",Polygon,"0xf48c45555196d4597f623b96b7e200a5f365a89ea16988c8c88bba0111f33c59","0x29a251c2cfea7b0e36f59b70507fb0a11bf7e99b",2023-05-11 02:01:38.000,Stargate,0.00000000,93.66943661
Arbitrum,"0xd2e5454fc5fe429d95b2f74f59bd130eeb13aa0800be25982dca3b19750679f1",Fantom,"0xd6db4164cc8072000f4188f091161ee852437c7a8fd6a2132df274e832d6c8bd","0x29a251c2cfea7b0e36f59b70507fb0a11bf7e99b",2023-05-09 09:54:21.000,Stargate,0.00000000,93.92943133
