txhash,chain,from,to,value,method,chain_tx_time
0xed56325f65ab9187709dfef33b03959620e2ec4027e17e33c1a920e76eacde30,arb,0x739387df71f8a4b9f4cd29121b47a542fc01e976,0xb38544ccf295d78b7ae7b2bae5dbebdb1f09910d,0.00880074,Transfer,2021/10/21 5:23
0x75df7e70e2c8031bed9e4aae305ce044ead97a34d6346e2f23749f944430ba85,arb,0xa2f7f0c053eabb6508e725e1d990bb6bf951b57a,0xb38544ccf295d78b7ae7b2bae5dbebdb1f09910d,0.00880074,Transfer,2021/10/21 5:23
0x2440f9f7430cce414505ef49776cebf3c7285b57436c6d1078da96d58be7dbba,arb,0xe703754750f9c3527363f6449907315fbbf2deca,0xb38544ccf295d78b7ae7b2bae5dbebdb1f09910d,0.00880074,Transfer,2021/10/21 5:23
0xca7c62879f101be8b90c247a91cc43e26e7366a0985f358563d42961144afe1d,arb,0x8368fdbf80fde3772790e57317afab59960060b3,0xb38544ccf295d78b7ae7b2bae5dbebdb1f09910d,0.00880074,Transfer,2021/10/21 5:23
0xae697c6f025286b276f34928f48cc7cc55396fa86be58ee6f125705e21fe68f1,arb,0xd22e81c3bbfe73983b9fe275350018d8334f9c4c,0xb38544ccf295d78b7ae7b2bae5dbebdb1f09910d,0.00880074,Transfer,2021/10/21 5:23
0xcf1b572261875b1ac84f8736a36676b9b5d95524cc4174af74a40fcfc4195e9a,arb,0xc5fcad989ceaadad5a7e31bd1a80aa12de601f52,0xb38544ccf295d78b7ae7b2bae5dbebdb1f09910d,0.00880074,Transfer,2021/10/21 5:23
0x17f79bad0b6004b293fbd622c2837250dc02b3e08ec7519b5dfb416316f92059,arb,0x5583a43ca75a3b1a6ec9ebafe3caf53fd823ce21,0xb38544ccf295d78b7ae7b2bae5dbebdb1f09910d,0.00880074,Transfer,2021/10/21 5:23
0x74d1afd3d7c6aa3b966b1f5d6d06c3f72685d747c889f57c37650313a0178254,arb,0xd25abf64ff13d7d074d862660f1147a961c61bc1,0xb38544ccf295d78b7ae7b2bae5dbebdb1f09910d,0.00880074,Transfer,2021/10/21 5:23
0xb7fed0e4ccfd83aa5e4cdf7102aa898e64b8eaf79d6494918df205d3f6f1fb65,arb,0xe7d9f133985da9655d99186bd5d127b4f7fa46d5,0xb38544ccf295d78b7ae7b2bae5dbebdb1f09910d,0.00880074,Transfer,2021/10/21 5:23
0x101c8f4e83f93536193a2a41d07862c1a1a564188205ea98f7aa247f7a8bb20f,arb,0xda737c0dc98ca7b3d838ae854f4073cf2acfe007,0xb38544ccf295d78b7ae7b2bae5dbebdb1f09910d,0.00880074,Transfer,2021/10/21 5:23
