source_chain,source_transaction_hash,destination_chain,destination_transaction_hash,sender_wallet,source_timestamp_utc,project,native_drop_usd,stargate_swap_usd
BNB Chain,0x4095a03365531bba9a8ead90c759adb368970c57d2c29165d4d449b30a580ffe,Optimism,0x3c737889297d3280f1bf682bf85bc066eb10bc02648ee12779a8a81e31717336,0x3216144140da978122d8876450c3257bea45f3c6,2022/10/1 9:12,Stargate,0,140.0869771
Optimism,0x6f277b01209ff2f5277419b3fc5557db77e3a978932f75e6c8b190990e76dc68,Polygon,0x6948187860f93b1073a0dbe60084144da5a6e556de1893322849ff912b617a72,0x3216144140da978122d8876450c3257bea45f3c6,2022/10/17 9:38,Stargator,0,0
Optimism,0x216e7ee0ac47cec0ffefa822ac313e70b3ed588b28b5524f0536ff131d7fa089,Arbitrum,0x6dec398fbd221463f216cc9d9e125d0f86bf7646b0c2adbd02c34a16dd47f50a,0x3216144140da978122d8876450c3257bea45f3c6,2022/10/17 9:43,Stargate,0,139.8886348
Polygon,0x90f3d86fa06c5199b01b38ce267ed50adad7c8310460d8939c8a448d70d9ad36,Optimism,0xb2b8f203375ad7b2d2d16499ebfc22b747247c2f8cf7d04f0e08a7d4c2783356,0x3216144140da978122d8876450c3257bea45f3c6,2023/4/18 4:32,Stargator,0,0
Polygon,0x672fbe673f0c874125dbf0431099f69d836fbe5a8fab34234f23715febd162b5,Optimism,0xbddd475938642e1dbe5371a465b816f3db18e2e1ada4f4fb909a82022b1aee8e,0x45bec3a7f0b2c7fbccf72c4e223b761352ba25b8,2022/9/28 12:18,Stargate,0,132.9480559
Optimism,0x261bb99c0a5254b2ba7b6481a35b258ceb7bd455356d88d3b275cad3eca67379,Polygon,0xb288d5524e5411387cd1d6f23beea7b198d8c4491ac8ad049648d40db09cb25b,0x45bec3a7f0b2c7fbccf72c4e223b761352ba25b8,2022/10/17 1:12,Stargator,0,0
Polygon,0x75fda63ba0e413efe015c082d88e6c8f7e1e2578cda2f864a48679a179cf6d73,Optimism,0xfe458c20b58ecc68ce441cca181fbb70ad0acc6fe4b6076aac842fd86d17f487,0x45bec3a7f0b2c7fbccf72c4e223b761352ba25b8,2023/4/17 23:12,Stargator,0,0
BNB Chain,0xdeb4cf32a4ebff4506346711c9d3e08e2e9f8f1a5e23a966c1ef0e53cfe629c0,Optimism,0xb8a453e4118741b800ac5f711f5c0a9cd55f1740e8d85a7c6e3940685281c065,0x4baea2789934a5faedbac7f78d31a4674b06426d,2022/9/29 5:10,Stargate,0,149.8452985
Optimism,0x27730c7c005ef9920fa5c3c0e1dca7e738f8fba7facba84ced9e4c912ca9afde,Polygon,0xfe59e3c0890d8b8579bc99e326d52fd1c789cb91d682c2a88d337128ef4653c6,0x4baea2789934a5faedbac7f78d31a4674b06426d,2022/10/15 12:22,Stargator,0,0
Polygon,0x7eefb837622c201594125a2f7b77801ec2187f712afb380d3d80c9866204ac89,Optimism,0x3fd8e8e9ed0af42a5a9ae16a050573ebc1b33f2b35ea5175c96ef1112b11852f,0x4baea2789934a5faedbac7f78d31a4674b06426d,2023/4/17 23:09,Stargator,0,0
BNB Chain,0x00ba2086d9829e97d5c7e0ba61beccd4acf8167fffd9e12287723d6beefa6612,Optimism,0xe8602f993b2e6ebe065d8c63925824248cc8773c4593a40b653fc0fc1cb894a3,0x5583a43ca75a3b1a6ec9ebafe3caf53fd823ce21,2022/9/29 12:55,Stargate,0,119.8762388
Optimism,0xdfde6029ea353159b777739464b267c19fc3b2843e09fe39d4de9502ecddc560,Arbitrum,0xcf5e36600c0b3fee8fa5fe4d7b05db0074e112135d659eada0cfb1eac22e9a28,0x5583a43ca75a3b1a6ec9ebafe3caf53fd823ce21,2022/10/22 9:27,Stargate,0,119.7402796
Optimism,0xde7d1e2bae2f2f74461a9b145cb5adf8b9c6766a8cf1944a88e3032987b6c727,Fantom,0x9643e72be095093ede17a2cb09827845d38cc4da5da4344927a50ad1c91ec26b,0x5583a43ca75a3b1a6ec9ebafe3caf53fd823ce21,2022/10/22 9:30,Stargator,0,0
Fantom,0xb22e53bf37e68465a6e3ec72b42dc9e32f0a1e1d6471bcd64ed372d07ccc6429,Optimism,0x39c2103df95a34c0f1f8598d1667874c4868d268d86a3c840b3a14ec1832c386,0x5583a43ca75a3b1a6ec9ebafe3caf53fd823ce21,2023/4/18 2:49,Stargator,0,0
Polygon,0xe5b179329b74dd9ea44fc1551e22df6624acad9b99bf9a175ddabf833edb99f8,Optimism,0xc12ae02831e861397ab7bf203d7fee5755eb512630e6e020b3786d4f41243684,0x739387df71f8a4b9f4cd29121b47a542fc01e976,2022/9/30 11:07,Stargate,0,159.7216509
Optimism,0x64aa1c810549969b3bcebffbe4a5a66941b7d379dd612795821c66329bbcd212,Polygon,0xd8f6f7b62f744ffb184ac49e9d8cdbf00a25b8e3463794f00c8fc3baad26f42b,0x739387df71f8a4b9f4cd29121b47a542fc01e976,2022/10/19 10:31,Stargator,0,0
Polygon,0x70a3286b4d8be33135e4a62ce41bebc714ae27c9be8cc95c65fe3e25dff4d1d8,Optimism,0xf9ba6d02f4dd9cde83ecb8bc22ff50cd5892d782c30d916f20d2c7d01bb34758,0x739387df71f8a4b9f4cd29121b47a542fc01e976,2023/4/17 23:15,Stargator,0,0
BNB Chain,0x1423941dd691ef30a54d5cffafce3821bd744676c3d4c389916ab3a47537acb2,Optimism,0x8b5075eea37d9a56e26e0b7911dba4670e97633942b5a5d50417c16017a579b7,0x8368fdbf80fde3772790e57317afab59960060b3,2022/9/28 12:08,Stargate,0,119.9899319
Optimism,0x762a81bee5ca0f57835a4dd9ce797b92394f75c935a826f2c80878ba4d13e2f6,Arbitrum,0x7f7cf160398c50f93d3979297f0520044224609d00d4f69bbe1b23cf7138aaea,0x8368fdbf80fde3772790e57317afab59960060b3,2022/9/29 12:44,Stargate,0,120.1644463
Optimism,0xc87e1c543aad2f72ba211d05301d05daacc6014c5f76c0d20fed016a9c7c2ad8,Arbitrum,0x18fae88a9987ff8deacd499b7e1f9141dffb441557b610c0c86aaedc26503b03,0x8368fdbf80fde3772790e57317afab59960060b3,2022/10/15 10:01,Stargator,0,0
Arbitrum,0xce5cdef74880f981844b7089adeb317313166476f55ff74855fa4c9bba1edb33,Optimism,0x5ab33cebf4f93dd8588beb6970653b11e454e08d6c439693ea59e6b20e40d30c,0x8368fdbf80fde3772790e57317afab59960060b3,2023/4/17 23:06,Stargator,0,0
BNB Chain,0xabe7e67a8151c117dad2bd0eef3c4e6059e03d167be0120babf60dafe4215cdb,Optimism,0xea7dc0a86bae8e7d8cd43d9261ce2418a12549d5835582a191c8da523664f876,0x970b5051dc71f30fd66c797e33861778a58e31f9,2022/9/30 3:40,Stargate,0,139.711853
Optimism,0x0d84a0749f83d7f6c9fc59a2e878b218aac6171ca1149259cc246a0f086c26af,Polygon,0xcfb108b0cfb7b1144e1a6eea7f96d0d359a97804d06ae43187912bcb5ee1077c,0x970b5051dc71f30fd66c797e33861778a58e31f9,2022/10/17 11:20,Stargator,0,0
Polygon,0xb4ce06ff6577058eb62fcfb570ff28627110528c37cce4d685299e328e2d299d,Optimism,0x5e9a5c3be9f862cad58bd21bc263c9ea1c5e3d92a74d6befb9514507fd719447,0x970b5051dc71f30fd66c797e33861778a58e31f9,2023/4/17 23:14,Stargator,0,0
BNB Chain,0x6d767501e2a2804d58f6b92e8d3a9c12948a8f1c762393579757a6c8f89ad4bf,Optimism,0xb0b23ccc56d9926c670c71464e5d6cfefc4bdd429849c7e65be1951fd9e57a86,0xa2f7f0c053eabb6508e725e1d990bb6bf951b57a,2022/9/29 13:06,Stargate,0,199.7937314
Optimism,0x9c4a5b32819b82cd0fda33876f6471eb84775910eef4794ad93dfc9cd4536aa0,Arbitrum,0x9bf0893cb1b83676fac4086b63cb9dc5714d8869e4c422e1cafab3f139393d3b,0xa2f7f0c053eabb6508e725e1d990bb6bf951b57a,2022/10/16 1:43,Stargate,0,199.7903449
Optimism,0x5e134258f86ddc9b7a4e3486b04000037aaea873e0a2a6fbae4f001e7d855a12,Polygon,0xf317d41bd10c24e872e3854e00e3925f361ba718ff8b61bf099bddd1cf749a09,0xa2f7f0c053eabb6508e725e1d990bb6bf951b57a,2022/10/23 10:51,Stargator,0,0
Polygon,0xa695e7b034750ba26efb20e275103d45943b0b32ca82ed933e9aedc09ebebcdc,Optimism,0x8ed2630ce7e24067c261499bd9e16311a9ff4011407780cd132f1d3d413cc6bf,0xa2f7f0c053eabb6508e725e1d990bb6bf951b57a,2023/4/17 23:17,Stargator,0,0
Ethereum,0xe7d2a59c482a8b2a8e2fadec2db50f75e320f7fda81cdcf644df27dc977343dc,Manta,0x40d51ec429d56684c8f5870133ca116d6b49dcc00cd71423d3cb1fc33f8d40a9,0xa2f7f0c053eabb6508e725e1d990bb6bf951b57a,2023/12/31 0:41,StakeStone,0,0
BNB Chain,0x419c10ffca16cc7a7ee45f12042e565292fbb15cbe825b4f76d5007bd43c8631,Optimism,0xebafd9360453a440a8b919252d3926ca330e102189daa685ab3d85e53907e5aa,0xc5fcad989ceaadad5a7e31bd1a80aa12de601f52,2022/9/29 4:25,Stargate,0,164.8298284
Optimism,0x9f18709e5eebe35a7908ec04734d529deb4461a924cf7842dd3178821b42a0d2,Arbitrum,0x01de9f92a2e2c6afaa2c00292e590b7db752e13bbe4ea9a91b5748be40a9736b,0xc5fcad989ceaadad5a7e31bd1a80aa12de601f52,2022/10/18 9:18,Stargate,0,164.8315065
Optimism,0x01aa4ae8a59ccc71b0efe6bc53c02586e5a1db6086fbeae340055f940f3f9e48,Fantom,0x0877ff8f19610cbb07590834421b5a8e2447fa9a7adbf2c2f0f6c18c52740a8e,0xc5fcad989ceaadad5a7e31bd1a80aa12de601f52,2022/10/18 9:18,Stargator,0,0
Fantom,0x7e85bd7b864ae92038acb81db194a8392e3d56d6fef84235b7e4114a1b8b8c8e,Optimism,0x39b393a80773f993ce818e3e61e8a52ee9fab5402cec46af9134245b2abb6d6f,0xc5fcad989ceaadad5a7e31bd1a80aa12de601f52,2023/4/18 1:01,Stargator,0,0
BNB Chain,0xa2714fda0ca583ff02b203f6e5689d005c16c8b7c99bda8c0c4d1b9d809e302b,Optimism,0x6ab525bf08a8817d9c9cd2b6d8c348d2d73b4da0f7f2fc3f8a70ca0c29e7c9d0,0xd22e81c3bbfe73983b9fe275350018d8334f9c4c,2022/9/30 1:47,Stargate,0,160.033857
Optimism,0xfe6d850088d7b60d579b104c51a60056d2d23437d5dc213132154b917fc394e3,Arbitrum,0x2a22d9b1baf2e98be9d89e8570efbc32d000b4cc7b13e455cd0222883fb217c8,0xd22e81c3bbfe73983b9fe275350018d8334f9c4c,2022/10/17 21:13,Stargate,0,159.8727252
Optimism,0xcde4379392652683016a6b98981ce83982930731da02684abec28ee6d593e5d5,Polygon,0xc6d1ebd9b1d9316937f0b27c24dc1c21f8d4bef29b00ab957f30f99661d6f8be,0xd22e81c3bbfe73983b9fe275350018d8334f9c4c,2022/10/17 21:13,Stargator,0,0
Polygon,0x5b48b7aa2b5425d2bae1636ba18192ce86c8610aeca04a781fe34772085085e2,Optimism,0xc5d152abbb4e48510300b9cdce3ca1b8bb65595551b9bb180d0a245558862932,0xd22e81c3bbfe73983b9fe275350018d8334f9c4c,2023/4/17 23:57,Stargator,0,0
BNB Chain,0x174312008682eb43a60d00384971295db711ff504cadde07e36697066acf1492,Optimism,0x32c3b6560115027ffaaf49de7f578c591eaef81def9c8bafa40f1a8a05b49dc8,0xd25abf64ff13d7d074d862660f1147a961c61bc1,2022/10/1 9:11,Stargate,0,110.0683392
Optimism,0xc108cf1ab3b372f31488faa299f10c2031ff94020c16969f85d5127a7a6d2377,Polygon,0xd075d416df53d0a906061c772f0537cdbb52f86eab633fba4897f885b9973335,0xd25abf64ff13d7d074d862660f1147a961c61bc1,2022/10/16 1:44,Stargator,0,0
Optimism,0x8acd34948f100496452ce72d0238c0ef5be9936451559bf388213a966c53707a,Arbitrum,0x577dd28874dd460c71f57fd4e611730abe7610b28210c089e259418961cc428c,0xd25abf64ff13d7d074d862660f1147a961c61bc1,2022/10/16 1:45,Stargate,0,109.8846901
