chain,hash,from,to,value,method,chain_tx_time
eth,0xbd0e6519fb72b662e6ede16dffe57040aa33a08fc6372ea1e9111997c93bff06,0xe95f6604a591f6ba33accb43a8a885c9c272108c,0x493ea6d1ad54b6170aa22b7df82c4f999db531d5,0.039,Transfer,2022/11/21 22:13
eth,0xcf73d78a29087653c5436d06c92c32910a7a35c700b2bbf8af0fe7b06b98c5f2,0xe95f6604a591f6ba33accb43a8a885c9c272108c,0xadd99ffc5436952e96984841e667e11034a3a2a6,0.039,Transfer,2022/11/21 22:13
eth,0x9d4add73043a0cedb7b865c460c860b1f972a09fc33ef8a2fe80d09b672ff5a9,0xe95f6604a591f6ba33accb43a8a885c9c272108c,0x3259c8ee2e33fc554a90e18a24e1136ebfb21d34,0.039,Transfer,2022/11/21 22:13
eth,0xe57c7d8a463923228ed622286f9b243df942cfc03bcb9539a237fafe73e22650,0xe95f6604a591f6ba33accb43a8a885c9c272108c,0x82b02b2e81b23c3bf71735084ec60e821262b948,0.039,Transfer,2022/11/21 22:13
eth,0x9829bfbc73b5c99a999cbde8b7d913057caaf0c721235a6c61b34534beba8a93,0xe95f6604a591f6ba33accb43a8a885c9c272108c,0xbe2f85aa4c8badf2e1a1c14918f4717b0504fbfb,0.039,Transfer,2022/11/21 22:14
eth,0xb697dfe46a14466621e6493112bae277610105b02ba0cf94635ae61d063b5f54,0xe95f6604a591f6ba33accb43a8a885c9c272108c,0x1bc8ac52c2bef71c573e4ff69594b48cb7feb652,0.039,Transfer,2022/11/21 22:14
eth,0x9ae25bd3c5c07d513ea0f4fbdbe992127cf99600e43e907501e0924db48dd88d,0xe95f6604a591f6ba33accb43a8a885c9c272108c,0x7f141a2b3da12ab6d8a9964d1393d7c2a71951ec,0.039,Transfer,2022/11/21 22:14
eth,0x6ca8a9ae14dfb9527e9c475839948e35aee8762d1df33e7013d5561e69fe7701,0xe95f6604a591f6ba33accb43a8a885c9c272108c,0xf1a20aa07b70d06ae9d5905e5737393ffa28e5b6,0.039,Transfer,2022/11/21 22:14
eth,0xdbe460c366cb7018db9f1d08933165428d64389775842e8f575ad8b892f4071c,0xe95f6604a591f6ba33accb43a8a885c9c272108c,0x6b5bb9e2817a3a80e7579fe996d076a22dbb72b2,0.039,Transfer,2022/11/21 22:15
eth,0x4ed4b496cbc44ff9ad1f0acf5d5ccc3a06ec3a63d50220f4073650f0d03e13d8,0xe95f6604a591f6ba33accb43a8a885c9c272108c,0x59bab55da469ed96d7aeb3f4745be8390c36e98c,0.039,Transfer,2022/11/21 22:15
eth,0xc52e23321b33f05798ac7e122cab4f769ecdf2077a4c191fb0416e76d2a25c1a,0xe95f6604a591f6ba33accb43a8a885c9c272108c,0x479e94842533bac4ea9e2ced05346ebbfa55007b,0.039,Transfer,2022/11/21 22:16
eth,0x8da618999acf2d612146f9baf15b80a855ff441ec0bb43e2769ca752920ca9a6,0xe95f6604a591f6ba33accb43a8a885c9c272108c,0x74f91e37d2d6e762ec61977cc7d4c14a486f1c47,0.039,Transfer,2022/11/21 22:16
eth,0x93383ead4b2815a3b4d8bb9b0083d16f4f02fb8dde48657d873742dd45a07a5d,0xe95f6604a591f6ba33accb43a8a885c9c272108c,0xf4310728160a30441f7e4274b2ee48c75d66be9d,0.039,Transfer,2022/11/21 22:17
eth,0xeaf2c05c8e0da2c0fab0822bee4ad1f3aa12a4d1623bc97278374cb6f4d6b00b,0xe95f6604a591f6ba33accb43a8a885c9c272108c,0xedd7e6a109613b91a62d50639ecdc8676cd62c49,0.039,Transfer,2022/11/21 22:17
eth,0xf53fe9f8f0d59fe1033a3324a070c4dab8c33b15e3c675309996f1de5545b202,0xe95f6604a591f6ba33accb43a8a885c9c272108c,0x803e1b8445b54f3b6759ab2c207ae8e212c24f51,0.039,Transfer,2022/11/21 22:17
eth,0xe633666e6eb33298d5236f3cef444be78d9fbb620b8eae398f6a2afd7616fa8e,0xe95f6604a591f6ba33accb43a8a885c9c272108c,0x348e38d4b6e1f2650bb463928dcb1612b0795d5b,0.039,Transfer,2022/11/21 22:17
eth,0x4cf3ecbdbc6dabcc41403b38a9bd73cad2d3b217970d411cffbba049836f46f6,0xe95f6604a591f6ba33accb43a8a885c9c272108c,0xb1d8b0aad425d2e3461ba651e531f42e4d9b83b9,0.039,Transfer,2022/11/21 22:17
