chain,hash,from,to,value,method,chain_tx_time
ftm,0xc1c1bed1e31bbdf508b08ebdb38fe403599d7574adca366e48855624d41b8c70,0x0f7f0769a31f9b3f8811b0e9d98c00602933c889,0x2f6f07cdcf3588944bf4c42ac74ff24bf56e7590,6.782712909,"sendTokens(uint16 _dstChainId, bytes _to, uint256 ",2023/5/8 0:01
ftm,0xe64be831cccb70288d81098cd4fff4a649960d9249d19ffd9dbcf26665524f7c,0x0f7f0769a31f9b3f8811b0e9d98c00602933c889,0x2f6f07cdcf3588944bf4c42ac74ff24bf56e7590,0.872063072,"sendTokens(uint16 _dstChainId, bytes _to, uint256 ",2023/5/8 1:57
ftm,0x87a61529e385c8708ff7833d14fdd43cd2e7b2392c9debec38931ab4cf386e07,0x0f7f0769a31f9b3f8811b0e9d98c00602933c889,0x2f6f07cdcf3588944bf4c42ac74ff24bf56e7590,0.936618042,"sendTokens(uint16 _dstChainId, bytes _to, uint256 ",2023/5/11 0:21
ftm,0x653a11ed7a9a1c6dfdddfd0e60739ba078857eadceb2b8fe263189f3ac0a7b08,0x0f7f0769a31f9b3f8811b0e9d98c00602933c889,0x2f6f07cdcf3588944bf4c42ac74ff24bf56e7590,2.985155002,"sendTokens(uint16 _dstChainId, bytes _to, uint256 ",2023/6/11 22:58
ftm,0x63a4f95fca6f914cff960190a9360f846ea1558f8475cda4643aa05ea4a4db00,0x12b9f114a3a27e04b55d5daba9d6fe2b097213c3,0x2f6f07cdcf3588944bf4c42ac74ff24bf56e7590,6.782712909,"sendTokens(uint16 _dstChainId, bytes _to, uint256 ",2023/5/8 0:00
ftm,0x74a8a4063499f3d839db2e3653d845a06586ca942cc31b64f4703a4e7a351f41,0x12b9f114a3a27e04b55d5daba9d6fe2b097213c3,0x2f6f07cdcf3588944bf4c42ac74ff24bf56e7590,0.872063072,"sendTokens(uint16 _dstChainId, bytes _to, uint256 ",2023/5/8 1:57
ftm,0xfb18f46525a5967cf504be920444577cc92a47a83ae5ea730a28a2f2c8afea1d,0x12b9f114a3a27e04b55d5daba9d6fe2b097213c3,0x2f6f07cdcf3588944bf4c42ac74ff24bf56e7590,0.936618042,"sendTokens(uint16 _dstChainId, bytes _to, uint256 ",2023/5/11 0:20
ftm,0x0039db0e80ed61f92d34304c4a11e723a81d66469d9ee06ab352b3e5363b1535,0x12b9f114a3a27e04b55d5daba9d6fe2b097213c3,0x2f6f07cdcf3588944bf4c42ac74ff24bf56e7590,2.985155002,"sendTokens(uint16 _dstChainId, bytes _to, uint256 ",2023/6/11 22:58
ftm,0x38195f9539da470dc72e535a0877bb62e13f834fb9c91c1aa09e8d241b1302f6,0x1aefc717c909c4f1f8e3d11019d9b0d9f03379a2,0x2f6f07cdcf3588944bf4c42ac74ff24bf56e7590,6.782712909,"sendTokens(uint16 _dstChainId, bytes _to, uint256 ",2023/5/7 23:45
ftm,0x1d8bfeab098ea9c6ee4e18828912872c1f7273be553d7942ed968282ced2f86f,0x1aefc717c909c4f1f8e3d11019d9b0d9f03379a2,0x2f6f07cdcf3588944bf4c42ac74ff24bf56e7590,0.872063072,"sendTokens(uint16 _dstChainId, bytes _to, uint256 ",2023/5/8 1:47
ftm,0xc9ae52e19102ee9959d6ea0ba9050e3f3fc753669d5ed8bf1068f8b406a7ca2a,0x1aefc717c909c4f1f8e3d11019d9b0d9f03379a2,0x2f6f07cdcf3588944bf4c42ac74ff24bf56e7590,0.936618042,"sendTokens(uint16 _dstChainId, bytes _to, uint256 ",2023/5/10 23:57
ftm,0xe38e68fa5f5cca4f7453a2f66f46a5b421955654ed65e265461e1ef3d43e988d,0x1aefc717c909c4f1f8e3d11019d9b0d9f03379a2,0x2f6f07cdcf3588944bf4c42ac74ff24bf56e7590,2.985155002,"sendTokens(uint16 _dstChainId, bytes _to, uint256 ",2023/6/11 22:45
ftm,0x20ab945f25c7e2cf3dc0ca8f10eb10cd492e5b076f951a6ed49ab5d2d94011db,0x1b2abb1314c26de734914a047ec9d106582a672f,0x2f6f07cdcf3588944bf4c42ac74ff24bf56e7590,6.782712909,"sendTokens(uint16 _dstChainId, bytes _to, uint256 ",2023/5/7 23:56
ftm,0xefc92fe0efac2db29c5eef33207919f202ddd397903b9773fea632d1941121e8,0x1b2abb1314c26de734914a047ec9d106582a672f,0x2f6f07cdcf3588944bf4c42ac74ff24bf56e7590,0.872063072,"sendTokens(uint16 _dstChainId, bytes _to, uint256 ",2023/5/8 1:54
ftm,0xed6c78675b507efffc84a28d2123973e41b08b83d09ff3453ae8f5917cf2d5e7,0x1b2abb1314c26de734914a047ec9d106582a672f,0x2f6f07cdcf3588944bf4c42ac74ff24bf56e7590,0.936618042,"sendTokens(uint16 _dstChainId, bytes _to, uint256 ",2023/5/11 0:16
