address,tx_count,first_relate_chain,first_relate_chain_usegas,second_relate_chain,second_relate_chain_usegas,angles_tx_count,angle_firsttime,angle_lasttime,bitcoinbridge_tx_count,bitcoinbridge_firsttime,stargate_tx_count,stargate_firsttime,stargate_lasttime,harmonybridge_tx_count,harmonybridge_firsttime,sum_stargate_swap_usd
0x6b17894deaf6482c16dafac2876c510347a96aad,27,ftm,7.78152472,eth,2.56235028,2,2023/6/20 12:30,2023/6/20 12:30,6,2023/6/20 13:56,13,2022/11/23 13:43,2024/4/12 6:19,1,2023/6/15 12:17,15968.21726
0xae6dad01f1d75b933524c2ab48fd45cfdfd8374e,27,ftm,7.78152472,eth,2.56235028,2,2023/6/20 12:30,2023/6/20 12:30,6,2023/6/20 13:56,13,2022/11/23 13:43,2024/4/12 6:20,1,2023/6/15 12:17,16035.20276
0x59bab55da469ed96d7aeb3f4745be8390c36e98c,30,ftm,7.78152472,eth,2.56235028,2,2023/6/20 13:07,2023/6/20 13:07,7,2023/6/20 13:54,12,2022/11/20 0:40,2023/8/5 4:29,1,2023/6/15 12:17,2215.744419
0xf1a20aa07b70d06ae9d5905e5737393ffa28e5b6,30,ftm,7.78152472,eth,2.56235028,2,2023/6/20 13:07,2023/6/20 13:07,7,2023/6/20 13:54,12,2022/11/20 0:41,2023/8/5 4:28,1,2023/6/15 12:17,2214.940547
0x1bc8ac52c2bef71c573e4ff69594b48cb7feb652,30,ftm,7.78152472,eth,2.56235028,2,2023/6/20 12:24,2023/6/20 12:24,7,2023/6/20 13:54,12,2022/11/20 0:40,2023/8/5 4:28,1,2023/6/15 12:17,2208.378125
0x6b5bb9e2817a3a80e7579fe996d076a22dbb72b2,30,ftm,7.78152472,eth,2.56235028,2,2023/6/20 12:24,2023/6/20 12:24,7,2023/6/20 13:54,12,2022/11/20 0:41,2023/8/5 4:29,1,2023/6/15 12:17,2208.45493
0xff0d491683fbccb6d369af226bb0a5b6cbd9e9f7,30,ftm,7.78152472,eth,2.56235028,2,2023/6/20 12:34,2023/6/20 12:34,6,2023/6/20 13:58,11,2022/11/23 13:45,2023/8/5 6:24,1,2023/6/15 12:17,2100.721498
0x82b02b2e81b23c3bf71735084ec60e821262b948,30,ftm,7.78152472,eth,2.56235028,2,2023/6/20 12:22,2023/6/20 12:22,7,2023/6/20 13:53,12,2022/11/20 0:40,2023/8/5 4:26,1,2023/6/15 12:17,2205.94436
0xadd99ffc5436952e96984841e667e11034a3a2a6,30,ftm,7.78152472,eth,2.56235028,2,2023/6/20 12:22,2023/6/20 12:22,7,2023/6/20 13:53,12,2022/11/20 0:40,2023/8/5 4:25,1,2023/6/15 12:17,2215.125268
0x7f141a2b3da12ab6d8a9964d1393d7c2a71951ec,30,ftm,7.78152472,eth,2.56235028,2,2023/6/20 12:23,2023/6/20 12:23,7,2023/6/20 13:54,12,2022/11/20 0:41,2023/8/5 4:27,1,2023/6/15 12:17,2196.746686
0x3fa5b3f958dacbfcd423d0a62da4faedf049535e,36,ftm,7.78152472,eth,2.56235028,2,2023/6/20 12:38,2023/6/20 12:38,7,2023/6/20 13:59,11,2022/11/27 16:27,2023/8/5 8:51,1,2023/6/15 12:17,2064.809723
0x2f5ac1e616416103d6e31df9a344735b7df3533d,36,ftm,7.78152472,eth,2.56235028,2,2023/6/20 13:11,2023/6/20 13:11,7,2023/6/20 13:59,11,2022/11/27 16:27,2023/8/5 8:51,1,2023/6/15 12:17,2083.080957
0xdb0ab6e6a94d65d7296517c51db00df657595d10,36,ftm,7.78152472,eth,2.56235028,2,2023/6/20 12:36,2023/6/20 12:36,7,2023/6/20 13:59,11,2022/11/27 16:27,2023/8/5 8:50,1,2023/6/15 12:17,2119.683754
0xbe2f85aa4c8badf2e1a1c14918f4717b0504fbfb,32,ftm,7.78152472,eth,2.56235028,2,2023/6/20 12:23,2023/6/20 12:23,7,2023/6/20 13:53,12,2022/11/20 0:40,2023/8/5 4:27,1,2023/6/15 12:17,2215.039353
0xb3658cca391a52855bf6685f9094ee3f349d6d11,36,ftm,7.78152472,eth,2.56235028,2,2023/6/20 12:39,2023/6/20 12:39,7,2023/6/20 14:28,11,2022/11/27 16:29,2023/8/5 8:58,1,2023/6/15 12:17,2119.682278
0xb01f291fe18266b83440b6b501cd2dc6dac6f62d,32,ftm,7.78152472,eth,2.56235028,2,2023/6/20 12:36,2023/6/20 12:36,6,2023/6/20 14:27,11,2022/11/23 13:46,2023/8/5 6:26,1,2023/6/15 12:17,2301.731513
0xc87beec0cc354c8c8996eaeaff6074afeb7d8b1a,31,ftm,7.78152472,eth,2.56235028,2,2023/6/20 12:32,2023/6/20 12:32,6,2023/6/20 13:57,11,2022/11/23 13:44,2023/8/5 6:22,1,2023/6/15 12:17,2082.451765
0x1aefc717c909c4f1f8e3d11019d9b0d9f03379a2,32,ftm,7.78152472,eth,2.56235028,2,2023/6/20 13:10,2023/6/20 13:10,6,2023/6/20 13:57,11,2022/11/23 13:44,2023/8/5 6:23,1,2023/6/15 12:17,2100.724335
0xcbb3d5b2325b0eb71dbaaa2c6a9de232d2876288,32,ftm,7.78152472,eth,2.56235028,2,2023/6/20 12:33,2023/6/20 12:33,6,2023/6/20 13:57,11,2022/11/23 13:44,2023/8/5 6:23,1,2023/6/15 12:17,2118.992922
0x9ce043e3ce84d2f409b2e973fdeeb586052bbef8,35,ftm,7.78152472,eth,2.56235028,2,2023/6/20 12:40,2023/6/20 12:40,7,2023/6/20 14:00,12,2022/11/27 16:27,2024/4/13 16:26,1,2023/6/15 12:17,12762.4087
0x37bd683e17b10917c4b7724c23c6ca5768639d74,32,ftm,7.78152472,eth,2.56235028,2,2023/6/20 13:11,2023/6/20 13:11,6,2023/6/20 13:58,11,2022/11/23 13:45,2023/8/5 6:25,1,2023/6/15 12:17,2374.846576
0x99c2a246e5fc580f3c4cdf30943cb69340797ec3,36,ftm,7.78152472,eth,2.56235028,2,2023/6/20 12:38,2023/6/20 12:39,7,2023/6/20 13:59,11,2022/11/27 16:27,2023/8/5 8:51,1,2023/6/15 12:17,2101.351138
0x990342ba9930d6442886ee8f5f3af1ec18c91750,35,ftm,7.78152472,eth,2.56235028,2,2023/6/20 12:39,2023/6/20 12:39,7,2023/6/20 14:28,12,2022/11/27 16:27,2024/4/13 16:33,1,2023/6/15 12:17,13732.86004
0x12b9f114a3a27e04b55d5daba9d6fe2b097213c3,36,ftm,7.78152472,eth,2.56235028,2,2023/6/20 13:12,2023/6/20 13:12,7,2023/6/20 14:29,11,2022/11/27 16:45,2023/8/5 9:04,1,2023/6/15 12:17,2100.688947
